Eastern Lombard	Walloon	probability
u	ɔ	1.0
w	w	1.0
ʋ	v	1.0
ʤ	-	1.0
b	p	0.061
ɡ	-	0.71
ʧ	j	0.781
ˈa	ˈe	0.191
ˈi	ˈɛ	0.091
ˈi	ʀ	0.1
ˈo	ˈu	0.101
ˈu	ˈuː	0.241
ˈø	ˈy	0.081
ˈø	ˈɛ	0.11
ˈø	ˈuː	0.531
n	n	0.492
o	ɔ	0.152
t	t	0.732
ˈi	ˈiː	0.272
ˈɔ	ˈɔ	0.522
a	j	0.543
i	-	0.833
l	l	0.633
r	ʀ	0.83
ˈa	ˈɔː	0.093
ˈa	ˈiː	0.103
ˈa	ˈa	0.33
ˈi	-	0.243
ˈo	-	0.113
a	a	0.114
j	j	0.104
ɲ	n	0.054
ˈa	ˈɛ	0.084
ˈe	ˈɛ	0.24
ˈe	ˈɛ̃	0.334
k	k	0.455
n	-	0.455
s	s	0.705
z	ʤ	0.685
ŋ	ˈɔ̃	0.185
ŋ	-	0.815
ˈa	ˈɑ̃	0.055
ˈa	ˈɛ̃	0.105
ˈɔ	ˈyː	0.05
ˈɔ	ˈa	0.35
ˈɛ	j	0.315
a	-	0.266
f	f	0.956
j	-	0.216
k	ʧ	0.536
r	-	0.146
ɲ	ɲ	0.946
ˈe	ˈiː	0.076
ˈi	ˈi	0.166
ˈu	ˈɔ̃	0.206
ˈu	ˈøː	0.486
a	ɛ	0.077
e	-	0.657
i	i	0.167
l	-	0.097
l	ˈa	0.27
p	p	0.987
s	ʃ	0.207
z	-	0.257
ˈu	w_ˈɛ	0.067
ˈɔ	ɔ	0.077
d	d	0.238
e	w	0.108
m	m_w	0.098
t	-	0.268
ˈe	ˈeː	0.098
ˈe	ˈi	0.208
ˈo	ˈoː	0.398
ˈø	ˈu	0.088
b	b	0.939
d	-	0.719
e	ɛ	0.219
j	l	0.679
m	m	0.869
o	-	0.809
s	ʧ	0.069
ɡ	ɡ	0.29
ʧ	-	0.219
ˈi	ˈẽ	0.099
ˈo	ˈɔ	0.189
ˈo	w	0.199
ˈø	ˈɔ	0.189
ˈɛ	ˈɛ̃	0.129
ˈɛ	ˈɛ	0.439
