Sassarese	Gallurese	probability
β_i	i	1.0
ˈɔ_β	ˈɔ	1.0
ˈu_dː	ˈu_t	1.0
ˈu	ˈu	1.0
ˈa	ˈa	1.0
ʧː	cː	1.0
ʧ	c	1.0
ʤː	ɟː	1.0
ʣ	ʣ	1.0
ʒ	ʒ	1.0
ʎː	ɖː	1.0
ʃː	ʃː	1.0
ɲː	ɲː	1.0
ɮ	l	1.0
ŋ	ŋ	1.0
z	z	1.0
xː	s_k	1.0
x	k	1.0
v	v	1.0
u	u	1.0
tː	tː	1.0
t_ˈo	t_ˈu	1.0
t	t	1.0
sː	sː	1.0
s	s	1.0
rː	rː	1.0
r_ˈɛ	r_ˈi	1.0
r_ˈa	ˈa	1.0
r_u	l_u	1.0
r_i	i	1.0
pː	p	1.0
p	p	1.0
o	o	1.0
nː	nː	1.0
n_u	n_u	1.0
n	n	1.0
lː	ɖː	1.0
l	l	1.0
kː	kː	1.0
k	k	1.0
i_ɡː	i_k	1.0
fː	fː	1.0
f	f	1.0
dː_a	t_a	1.0
d_ˈa	t_ˈa	1.0
d_u	d_u	1.0
d_a	d_a	1.0
d	d	1.0
bː	p	1.0
a_n	a_n	1.0
a	a	0.991
ˈɔ	ˈɔ	0.96
m	m	0.957
ˈɛ	ˈɛ	0.931
ʦ	ʧ	0.924
i	i	0.916
ˈi	ˈi	0.909
b	b	0.892
r	r	0.839
ˈe	ˈe	0.773
ɡ	ɡ	0.748
β	-	0.746
j	j	0.679
ˈo	ˈo	0.678
ʤ	ɟ	0.673
mː	m	0.666
u_r	u_l	0.634
w	w	0.585
ʦː	l_ʦ	0.567
ɡː	k	0.526
ɬ	s	0.516
dː	ɖː	0.499
ɬ	l	0.484
ɡː	ɡ	0.474
ʦː	ʦː	0.433
w	-	0.415
dː	t	0.4
u_r	u_r	0.366
mː	mː	0.334
ʤ	-	0.327
β	b	0.254
ɡ	k	0.252
ˈo	ˈu	0.184
j	l	0.17
r	l	0.161
j	-	0.15
ˈo	ˈɔ	0.138
ˈe	ˈɛ	0.125
b	v	0.108
ˈe	ˈi	0.101
dː	tː	0.101
ˈi	-	0.091
ʦ	ʦ	0.076
ˈɛ	ˈa	0.069
