Nuorese	Nuorese	probability
β_ɛ_ɾ_ɛ_#>	f_#>	1.0
β_u_#>	#>	1.0
ˈɛ_ɣ	ˈɛ	1.0
ˈɛ_n	ˈe	1.0
ˈɔ_ɾ	ˈu_r	1.0
ˈɔ_n	ˈu	1.0
ˈu_n	ˈy	1.0
ˈi_ɾ	ˈi	1.0
ˈi_n	ˈi	1.0
ˈa_ɾ	ˈa	1.0
ˈa_s	ˈa_s	1.0
ˈa_n	ˈa	1.0
ʦ	s	1.0
ʣ_u	j	1.0
ʣ	l	1.0
ɾ_ˈa	ˈa	1.0
ɾ_u_#>	r_#>	1.0
ɲ	ɲ	1.0
ɛ̆_#>	#>	1.0
ɛ_ɾ	d	1.0
ɛ_#>	#>	1.0
ɖː	l	1.0
ŋ	n	1.0
ð_ɛ	ˈa	1.0
z_u	s	1.0
z	-	1.0
ŭ	-	1.0
u_z_ŭ_#>	#>	1.0
u_#>	#>	1.0
u	o	1.0
t_ɛ	ʧ	1.0
t_a	d_a	1.0
s	s	1.0
n_ʣ	ɲ	1.0
n_ɛ_#>	#>	1.0
n	n	1.0
m_i	m	1.0
l	l	1.0
k_ɾ	ʧ	1.0
k_u_#>	k_#>	1.0
j	-	1.0
i_ð	j	1.0
f	f	1.0
d	d	1.0
b_ˈi	ˈe	1.0
ă	-	1.0
a_ɾ	a_r	1.0
<#_ˈo	<#_ˈø	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʣ	<#_z	1.0
<#_ɾ	<#_r	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_i	<#	1.0
<#_b	<#	1.0
<#_a	<#	1.0
a	a	0.887
p	p	0.825
t	t	0.81
ˈa	ˈa	0.8
r	r	0.8
k_ɛ_#>	s_#>	0.778
ˈe	ˈɛ	0.773
e	e	0.75
m	m	0.739
ɾ_a	r_a	0.714
ð	-	0.714
b	b	0.682
k	k	0.654
nː	n	0.556
β	-	0.538
ɾ	r	0.526
ɣ	ɡ	0.5
ɣ	-	0.5
ɡ	z	0.5
o	o	0.5
o	-	0.5
#>	t_#>	0.5
#>	l_#>	0.5
ˈɛ	ˈɛ	0.476
nː	ɲ	0.444
ˈi	ˈi	0.438
ˈɛ	ˈe	0.429
ɛ	e	0.423
ɔ	o	0.4
ɔ	-	0.4
i	-	0.389
ɛ	-	0.385
ɡ	ɡ	0.375
ˈo	ˈɔ	0.357
ˈo	ˈø	0.357
i	i	0.333
ˈɔ	ˈɔ	0.31
β	f	0.308
ˈu	ˈo	0.286
ˈo	-	0.286
ɾ_a	a	0.286
ð	d	0.286
ˈi	ˈɛ	0.281
i	e	0.278
ˈɔ	ˈø	0.276
ˈu	ˈø	0.257
ˈu	ˈy	0.257
e	-	0.25
ˈe	ˈe	0.227
k_ɛ_#>	#>	0.222
ˈɔ	ˈu	0.207
ɔ	u	0.2
r	r_n	0.2
ˈi	ˈe	0.188
ɾ	-	0.175
p	-	0.175
β	b	0.154
k	s	0.154
ˈu	ˈu	0.143
ˈɔ	ˈo	0.138
b	ɡ	0.136
m	ŋ	0.13
m	-	0.13
ɡ	ʤ	0.125
ɛ	ˈe	0.115
k	-	0.115
a	-	0.113
ɾ	j	0.105
ˈa	-	0.1
ˈɛ	ˈi	0.095
t	d	0.095
ˈi	-	0.094
b	ʋ	0.091
b	p	0.091
ɛ	ˈi	0.077
k	ɡ	0.077
ˈɔ	o	0.069
ˈu	ˈɔ	0.057
ɾ	l	0.053
