Eastphalian	Eastphalian	probability
ˈɛː	-	1.0
ˈɛə̯	ˈɒ	1.0
ˈɒː_n	n	1.0
ˈyː	ˈiː	1.0
ˈeː	-	1.0
ˈeo̯_ɣ	ˈœ	1.0
ˈaː	ˈɒː	1.0
ˈaʊ̯	ˈʊː	1.0
ʃ	ʃ	1.0
ɪ_ç	i	1.0
ɣ̊	-	1.0
ɡ	-	1.0
ə	-	1.0
ɒː	eː	1.0
ŋ	ŋ	1.0
ç	ʃ	1.0
z̥	z̥	1.0
z_ə	z̥	1.0
z	s	1.0
x	x	1.0
w	w	1.0
t_ə	t	1.0
t_n	s_ə	1.0
s	ʃ	1.0
r	ʁ	1.0
p_#>	f_#>	1.0
l	l	1.0
k_ə	x	1.0
h	h	1.0
f_#>	b̥_#>	1.0
f	f	1.0
b_m	f_ə	1.0
b	b̥	1.0
<#_r	<#_ʁ	1.0
#>	d̥_#>	1.0
v	ʋ	0.913
m	m	0.905
ˈa	ˈɒ	0.842
ˈøː	-	0.75
ɣ	ɡ̊	0.75
ˈuː	ˈyː	0.727
ˈɪ	ˈi	0.72
ˈeo̯	ˈoː	0.7
d	d̥	0.667
n	n	0.642
d̥	t	0.636
ˈɔʏ̯	ˈiː	0.6
ˈɒː	ˈoː	0.6
ˈʏ	ˈu	0.556
k	kʰ	0.55
ˈʊ	ˈu	0.5
ˈœ	ˈe	0.5
ˈœ	-	0.5
ˈiː	ˈiː	0.5
ɐ	ə_ʁ	0.486
ɐ	ʁ	0.457
ˈʏ	ˈi	0.444
ˈɛ	-	0.444
ˈɔ	ˈu	0.444
ˈoː	-	0.429
ˈɔʏ̯	-	0.4
ˈɒː	ˈɒ	0.4
t	ʦ	0.4
p	p͡f	0.4
p	f	0.4
d̥	d̥	0.364
ˈɛɪ̯	ˈəi̯	0.35
ˈʊ	ˈo	0.333
ˈɛ	ˈe	0.333
ˈɔ	ˈɒ	0.333
j	ʋ	0.333
j	ɡ̊	0.333
j	j	0.333
d	t	0.333
t	s	0.314
ˈeo̯	ˈʊː	0.3
n	ə	0.299
ˈoː	ˈu	0.286
ˈoː	ˈo	0.286
t	t	0.286
ˈɛɪ̯	ˈiː	0.25
ˈøː	ˈai̯	0.25
ˈiː	ˈei̯	0.25
ˈiː	-	0.25
ɣ	k	0.25
ˈɛ	ˈi	0.222
ˈɔ	ˈo	0.222
p	p	0.2
k	ʃ	0.2
ˈʊ	-	0.167
ˈa	ˈɒː	0.158
ˈɛɪ̯	ˈeː	0.15
ˈɛɪ̯	ˈei̯	0.15
k	k	0.15
ˈɪ	ˈiː	0.12
ˈɛɪ̯	ˈæː	0.1
k	i_ʃ	0.1
m	m_ə	0.095
ˈuː	ˈɔi̯	0.091
ˈuː	ˈøi̯	0.091
ˈuː	ˈø	0.091
v	b̥	0.087
ˈɪ	ˈe	0.08
ˈɪ	-	0.08
ɐ	ˈiː_ʁ	0.057
