Ladin	Franco-Provençal	probability
b	b	1.0
f	f	1.0
s	s	1.0
ŋ	-	1.0
ʥ	ʒ	1.0
ʧ	s	1.0
a	ə	0.201
e	ʁ_ə	0.081
n	n	0.831
ʒ	-	0.051
ʨ	s	0.201
ˈa	ˈɑ̃	0.301
ˈe	ˈaː	0.091
ˈɔ	ˈoː	0.401
ˈɔ	ˈɔ	0.41
ˈɛ	ˈe	0.491
r	ð	0.232
r	ʁ	0.752
ɡ	ɡ	0.752
ˈe	ˈɛː	0.052
ˈo	-	0.192
ˈɔ	-	0.082
o	o	0.703
v	v	0.963
w	-	0.653
ʃ	ʃ	0.433
ˈa	ˈa	0.563
ˈo	ˈu	0.063
ˈɔ	ˈø	0.083
a	a	0.644
e	ə	0.454
i	i	0.204
j	-	0.664
m	m	0.814
t	t_ʁ	0.094
ʒ	ð	0.854
d	-	0.475
d	d	0.525
e	-	0.275
j	j	0.295
k	k	0.955
ɲ	ˈɛ̃	0.225
ɲ	ɲ	0.775
ʒ	z	0.095
ʦ	s	0.225
ʦ	-	0.775
ˈe	ˈa	0.095
ˈe	ˈɛ	0.335
ˈi	ˈi	0.425
ˈi	ˈe	0.575
ˈo	ˈoː	0.165
ˈu	ˈu	0.455
ˈu	w	0.545
ˈɛ	ˈɛː	0.065
ˈɛ	ˈaː	0.095
a	-	0.086
i	-	0.796
l	-	0.066
m	-	0.186
t	t	0.6
ˈe	o_#>	0.066
ˈe	ˈi	0.126
ˈo	ˈø	0.06
ˈo	ˈo	0.346
ˈɛ	ˈoː	0.076
n	-	0.057
o	ɔ	0.297
t	-	0.307
w	w	0.347
ʃ	-	0.567
ˈe	-	0.077
ˈo	ˈɔ	0.077
ˈo	w	0.097
l	l	0.888
p	p	0.988
ɡ	-	0.248
ˈɛ	ˈɛ	0.108
e	o	0.19
n	ˈĩ	0.069
ʨ	ʃ	0.799
ˈe	ˈe	0.159
