West Frisian	Swabian	probability
b	b	0.951
d	d	1.0
f	f	0.93
f	b	0.07
h	h	0.983
j	-	0.553
j	ˈəi̯	0.173
j	ˈiə̯	0.149
k	ç	0.265
k	-	0.233
k	kʰ	0.205
k	x	0.174
k	ɡ	0.124
l	l	1.0
m	m	0.94
m	-	0.06
n	n	0.615
n	-	0.315
n	ŋ	0.061
p	f	0.834
p	b	0.106
p	b̥͡f	0.06
r	ʁ	0.408
r	ʕ	0.368
r	d_ʌ	0.148
r	ʌ	0.055
s	ʃ	0.519
s	s	0.475
t	d	0.443
t	s	0.308
t	ʦ	0.149
v	ʋ	0.73
v	-	0.098
v	b	0.065
v	f	0.062
z	ɡ	0.696
z	s	0.256
ŋ	ŋ	0.755
ŋ	ɡ	0.171
ŋ	n	0.074
ɕ	s	1.0
ə	a	0.521
ə	ʌ	0.209
ə	-	0.167
ɡ	ɡ	1.0
ɣ	ɡ	0.956
ɪ	eə̯	0.509
ɪ	i	0.313
ɪ	ɪ	0.178
ʋ	ʋ	1.0
ʦ	kʰ	0.473
ʦ	d	0.412
ʦ	ʦ	0.115
ˈa	ˈa	0.595
ˈa	ˈɔː	0.186
ˈa	ˈaː	0.093
ˈa	ˈɛ	0.092
ˈaː	ˈa	0.255
ˈaː	a	0.234
ˈaː	ˈɛ	0.159
ˈaː	ˈɔe̯	0.147
ˈaː	ˈaː	0.095
ˈaː	ˈɔː	0.074
ˈeː	ˈeː	0.756
ˈeː	ˈao̯	0.181
ˈeː	ˈɛː	0.063
ˈi	ˈi	0.214
ˈi	ˈeː	0.209
ˈi	ˈəi̯	0.204
ˈi	ˈe	0.129
ˈi	ˈae̯	0.122
ˈi	ˈuə̯	0.071
ˈiə̯	ˈɔː	0.225
ˈiə̯	ˈɔe̯	0.224
ˈiə̯	ˈeə̯	0.185
ˈiə̯	ˈɛː	0.101
ˈiə̯	ˈiː	0.092
ˈiə̯	ˈeː	0.061
ˈiː	ˈəi̯	0.349
ˈiː	ˈɛ	0.169
ˈiː	ˈaː	0.167
ˈiː	ˈɪ	0.112
ˈiː	ˈiə̯	0.078
ˈiː	ˈo	0.058
ˈoə̯	ˈoː	0.242
ˈoə̯	ˈɔ	0.211
ˈoə̯	ˈi	0.195
ˈoə̯	ˈo	0.166
ˈoə̯	ˈu	0.076
ˈoə̯	ˈa	0.068
ˈoː	ˈɔə̯	0.383
ˈoː	ˈuə̯	0.288
ˈoː	ˈao̯	0.165
ˈoː	ˈuː	0.165
ˈu	ˈo	0.693
ˈu	ˈoː	0.307
ˈuə̯	ˈuə̯	0.538
ˈuə̯	ˈi	0.103
ˈuə̯	ˈu	0.089
ˈuə̯	ˈaː	0.08
ˈuə̯	ˈuː	0.08
ˈuə̯	ˈao̯	0.059
ˈuə̯	ˈo	0.051
ˈuː	ˈao̯	0.488
ˈuː	-	0.161
ˈuː	ˈoː	0.133
ˈuː	ˈae̯	0.095
ˈuː	ˈɔ	0.065
ˈuː	ˈo	0.058
ˈu̯o	ˈiə̯	1.0
ˈy	ˈoː	0.942
ˈy	ˈu	0.058
ˈyː	ˈo	0.252
ˈyː	ˈəi̯	0.252
ˈyː	ˈao̯	0.248
ˈyː	ˈu	0.248
ˈø	ˈɛ	0.779
ˈø	ˈɔː	0.221
ˈøə̯	ˈae̯	1.0
ˈɔ	ˈo	0.434
ˈɔ	ˈɔ	0.164
ˈɔ	ˈae̯	0.124
ˈɔ	-	0.081
ˈɔ	ˈɪ	0.066
ˈɔ	ˈu	0.062
ˈɔu̯	ˈo	0.537
ˈɔu̯	ˈi	0.463
ˈɔː	ˈa	0.598
ˈɔː	ˈaː	0.256
ˈɔː	ˈiː	0.146
ˈɛ	ˈʌ	0.293
ˈɛ	ˈɛ	0.228
ˈɛ	-	0.175
ˈɛ	ˈae̯	0.13
ˈɛ	ˈa	0.08
ˈɛ	ˈi	0.061
ˈɛi̯	ˈeː	0.379
ˈɛi̯	ˈaː	0.233
ˈɛi̯	ˈe	0.109
ˈɛi̯	ˈɛ	0.109
ˈɛi̯	ˈa	0.086
ˈɛi̯	ˈɛː	0.052
ˈɛː	ˈu	0.41
ˈɛː	ˈa	0.267
ˈɛː	ˈaː	0.143
ˈɛː	ˈɔe̯	0.093
ˈɛː	ˈe	0.088
ˈɪ	ˈe	0.215
ˈɪ	ˈiː	0.163
ˈɪ	ˈɛ	0.149
ˈɪ	ˈɪ	0.111
ˈɪ	ˈi	0.097
ˈɪ	ˈeː	0.089
ˈɪə̯	ˈa	0.249
ˈɪə̯	ˈoː	0.204
ˈɪə̯	ˈɛː	0.151
ˈɪə̯	ˈao̯	0.108
ˈɪə̯	ˈae̯	0.101
ˈɪə̯	ˈeː	0.087
ˈɪə̯	ˈiə̯	0.067
χ	x	0.474
χ	ɡ	0.396
χ	ç	0.089
