Swabian	West Flemish	probability
a	n	0.905
a	-	0.053
a	ə	0.048
b	b	0.635
b	f	0.192
b	v	0.167
b̥	p	1.0
b̥͡f	p	0.512
d	t	0.579
d	d	0.352
d	-	0.065
e	ə	1.0
f	v	0.732
f	p	0.143
f	v_ə	0.119
h	-	0.803
h	z	0.099
h	ɦ	0.088
h_ˈao̯	ˈoː	1.0
h_ˈo	ˈu	1.0
i	ɪ	0.263
j	j	1.0
k	s	0.512
kʰ	k	0.91
kʰ	-	0.082
l	l	0.926
l	w	0.055
l	-	0.037
l_d	t	0.512
m	m	0.873
m	-	0.113
n	n	0.92
n	-	0.075
p͡f	p	0.338
p͡f	f	0.173
s	z	0.343
s	t	0.334
s	s	0.283
s	-	0.04
t	t	1.0
x	h	0.721
x	k	0.274
ç	k	0.871
ç	h	0.082
ŋ	ŋ	1.0
ɐ	-	0.263
ə	ə	0.512
ɡ	ɦ	0.503
ɡ	ɦ_ə	0.164
ɡ	h	0.158
ɡ	-	0.106
ɡ	ç	0.037
ɡ	k	0.037
ɡ	ŋ	0.037
ɪ	m	0.388
ɪ	ə	0.199
ʁ	ɾ	0.832
ʁ	-	0.117
ʁ	z	0.05
ʃ	s	0.631
ʃ	z	0.189
ʃ	ʃ	0.087
ʃ	ɾ_s	0.076
ʋ	ʋ	0.946
ʋ	-	0.059
ʌ	ɾ	0.824
ʌ	ə_ɾ	0.102
ʌ	ɾ_ə	0.068
ʕ	ɾ	1.0
ʦ	t	0.855
ʦ	t_ə	0.126
ˈa	ˈɑ	0.646
ˈa	ˈɒː	0.22
ˈa	ˈiə̯	0.05
ˈa	ˈæ	0.05
ˈa	ˈɔ	0.05
ˈa_l	ˈu	1.0
ˈae̯	ˈeː	0.265
ˈae̯	ˈiə̯	0.206
ˈae̯	ˈyː	0.156
ˈae̯	ˈɛ	0.105
ˈae̯	ˈɛː	0.105
ˈao̯	ˈyː	0.541
ˈao̯	ˈoː	0.29
ˈao̯	ˈu	0.14
ˈaː	ˈɑ_n	0.322
ˈaː	ˈɑ	0.297
ˈaː	ˈɒː	0.253
ˈaː	ˈɛ	0.116
ˈe	ˈɪ	0.394
ˈe	ˈæ	0.254
ˈe	ˈɔ	0.168
ˈe	ˈɛ	0.168
ˈeə̯	ˈuə̯	0.425
ˈeə̯	ˈeː	0.25
ˈeə̯	ˈiə̯	0.147
ˈeː	ˈoː	0.297
ˈeː	ˈiə̯	0.201
ˈeː	w	0.144
ˈeː	ˈɪ	0.133
ˈeː	ˈeː	0.097
ˈi	ˈɛ	0.311
ˈi	ˈæ	0.183
ˈi	ˈoː	0.135
ˈi	ˈiə̯	0.124
ˈi	ˈœ	0.069
ˈi	ˈi	0.047
ˈiə̯	ˈiə̯	0.525
ˈiə̯	ˈuə̯	0.447
ˈiː	ˈiə̯	0.608
ˈiː	ˈeː	0.179
ˈiː	ˈuə̯	0.114
ˈo	ˈœ	0.296
ˈo	ˈu	0.279
ˈo	ˈɔ	0.166
ˈo	ˈɒː	0.1
ˈo	ˈoː	0.098
ˈoː	ˈoː	0.717
ˈoː	ˈøː	0.154
ˈoː	ˈɛː	0.093
ˈoː	ˈɒː	0.044
ˈu	ˈɔ	0.401
ˈu	ˈuə̯	0.265
ˈu	ˈœ	0.265
ˈu	ˈʏ	0.052
ˈuə̯	ˈuə̯	1.0
ˈuː	ˈuə̯	0.263
ˈɔ	ˈoː	0.598
ˈɔ	ˈɔ	0.372
ˈɔe̯	ˈɛː	0.345
ˈɔe̯	ˈɛː_n	0.277
ˈɔe̯	ˈeː	0.171
ˈɔe̯	j	0.124
ˈɔə̯	ˈuə̯	1.0
ˈɔː	ˈɒː	0.827
ˈɔː	ˈøː	0.173
ˈəi̯	ˈi	0.482
ˈəi̯	ˈiə̯	0.249
ˈəi̯	ˈyː	0.174
ˈəi̯	ˈɛ	0.069
ˈɛ	ˈæ	0.247
ˈɛ	ˈeː	0.21
ˈɛ	ˈœ	0.169
ˈɛ	ˈɒː	0.111
ˈɛ	ˈɑ	0.089
ˈɛ	ˈɛ	0.07
ˈɛ	ˈɛː	0.07
ˈɛː	ˈeː	0.407
ˈɛː	ˈɒː	0.26
ˈɛː	ˈæ	0.171
ˈɪ	ˈɪ	1.0
ˈʌ	ˈæ_ɾ	1.0
