Upper Franconian	Upper Franconian	probability
β	β	1.0
ˈɪ	ˈɪ	1.0
ˈɛː	ˈɛː	1.0
ˈɘ	ˈɛ_ɐ	1.0
ˈɒː	ˈɑ	1.0
ˈoː_n	ˈoː_n	1.0
ˈiː_n	ˈĩː	1.0
ˈaː_x	ˈeː_ʃ	1.0
ˈaɪ̯_#>	ˈɑ̃ɪ̯_#>	1.0
ˈaɪ̯	ˈaɪ̯	1.0
ˈa	ˈɑ	1.0
ʦ	ʣ̥	1.0
ʃ	ʃ	1.0
ɾ	r	1.0
ɣ̊	-	1.0
ə	ə	1.0
ɐ_n	r_ə	1.0
ɐ_d̥	ɐ_d̥	1.0
ɐ	ɐ	1.0
ç	ʃ	1.0
z̥_ɐ	s_ɐ	1.0
z̥_n	s_ə	1.0
v̥	f	1.0
v	β	1.0
t	d̥	1.0
s_d̥	ʃ_d̥	1.0
s	s	1.0
r	r	1.0
n_ʃ	n_ʃ	1.0
l	l	1.0
j	j	1.0
i	-	1.0
h	h	1.0
f	f	1.0
eː	eː	1.0
b̥	b̥	1.0
#>	ə_#>	1.0
d̥	d̥	0.974
ˈɒ	ˈɑ	0.926
ˈɛ	ˈɛ	0.913
ˈaʊ̯	ˈau̯	0.909
m	m	0.909
ˈʊ	ˈu	0.833
x	x	0.833
ˈɔ	ˈɔ	0.789
b̥͡v̥	b̥	0.75
n	n	0.672
ɡ̊	ɡ̊	0.667
ˈiː	ˈiː	0.64
a	ə	0.556
ˈuː	ˈuː	0.55
ŋ	ŋ	0.5
ˈoː	ˈɑː	0.474
ˈaː	ˈɑː	0.471
ˈaː	ˈɛː	0.412
ˈuː	ˈoː	0.4
a	-	0.389
ˈoː	ˈoː	0.368
ˈeː	ˈeː	0.364
ɡ̊	kʰ	0.333
ˈeː	ˈɛ	0.273
b̥͡v̥	pʰ	0.25
ˈiː	ˈɪ	0.2
ŋ	n	0.188
ŋ	j	0.188
n	ə	0.188
ˈeː	ˈẽː	0.182
ˈeː	-	0.182
ˈʊ	ˈɔ	0.167
x	ɡ̊	0.167
n	-	0.141
ŋ	ə	0.125
ˈiː	ˈeː	0.12
ˈaː	-	0.118
ˈɔ	ˈɑ	0.105
ˈɔ	-	0.105
ˈoː	ˈɑ̃ː	0.105
ˈaʊ̯	ˈau̯̯	0.091
m	β_ə	0.091
ˈɛ	ˈɛː	0.087
ˈɒ	ˈɑː	0.074
a	ɑ	0.056
ˈoː	ˈo	0.053
