Sixian	Sixian	probability
⁵	²	1.0
ʨ	ʦ	1.0
ɨ	iː	1.0
ŋ̍	ŋ̍	1.0
ŋ	ŋ	1.0
¹¹	²¹	1.0
s	s	1.0
p̚	t̚	1.0
pʰ	pʰ	1.0
o_n	yː_n	1.0
o_j	ɔː_j	1.0
n	n	1.0
m	m	1.0
l	l	1.0
k̚	k̚	1.0
j_u	ɐ_w	1.0
h	h	1.0
e_t̚	k̚	1.0
<#	<#_w	1.0
t̚	t̚	0.846
³¹	³⁵	0.815
²⁴	⁵⁵	0.783
ɕ	s	0.75
w	w	0.727
f	f	0.727
j	-	0.72
k	k	0.692
tʰ	tʰ	0.667
ʦʰ	ʦʰ	0.636
p	p	0.625
a	aː	0.613
o	ɔː	0.6
ʦ	ʦ	0.571
ɲ	-	0.571
v	w	0.571
²	³	0.524
⁵⁵	²²	0.522
ʨʰ	ʧʰ	0.5
ʨʰ	ʦʰ	0.5
t	ʦ	0.5
t	t	0.5
⁵⁵	³³	0.478
ʦ	ʧ	0.429
ɲ	j	0.429
v	m	0.429
u	ʊ	0.387
p	f	0.375
kʰ	h	0.375
ʦʰ	ʧʰ	0.364
e	ɐ	0.364
e	iː	0.364
²	⁵	0.333
tʰ	t	0.333
j	j	0.28
w	-	0.273
f	-	0.273
e	yː	0.273
i	e_j	0.259
ɕ	ʃ	0.25
kʰ	kʰ	0.25
kʰ	k	0.25
u	ɐ	0.194
³¹	¹³	0.185
i	ɐ	0.185
o	œː	0.167
o	o_w	0.167
a	ɛː	0.161
t̚	k̚	0.154
k	kʷ	0.154
k	-	0.154
²	²	0.143
²⁴	¹³	0.13
a	-	0.129
kʰ	kʷʰ	0.125
i	ɵ_ɥ	0.111
i	ɐ_j	0.111
i	iː	0.111
u	ɵ	0.097
u	uː	0.097
u	o_w	0.097
a	ɪ	0.097
i	j_ɐ	0.074
i	j_iː	0.074
i	j	0.074
o	-	0.067
u	ɐ_w	0.065
u	u	0.065
