Latin	Corsican	probability
ˈɪ_ɡ	ˈɛ	1.0
ˈɔ_n	ˈɔ_n	1.0
ˈyː	ˈi	1.0
ˈuː	ˈu	1.0
ˈu	ˈɔ	1.0
ˈoː_t	ˈu_tː	1.0
ˈoe̯	ˈɛ	1.0
ˈo	-	1.0
ˈĩː	ˈi	1.0
ˈiː_r	e	1.0
ˈi	ˈi	1.0
ˈeː_r	ˈɛ_r	1.0
ˈe	ˈi	1.0
ˈaː	ˈa	1.0
ˈae̯	ˈe	1.0
ˈa_ɫ	ˈa_l	1.0
ˈa_r	ˈa	1.0
ˈa_m	ˈa_m	1.0
ˈa	ˈa	1.0
ʊ̃ː	u	1.0
ɫ_ãː	a	1.0
ɪ̃	i	1.0
ɡʷ	ɡ_w	1.0
ɡ_ɪ	dː	1.0
ɛ̃	e	1.0
ŋ_n	ɲ	1.0
ŋ_k	n	1.0
ŋ	ŋ	1.0
uː	u	1.0
tː	tː	1.0
tʰ	d	1.0
t_ʊ̃ː	t_u	1.0
t_ɛ̃ː	t_e	1.0
t_r	t_r	1.0
t_i	ʦː	1.0
sː	sː	1.0
s_k	ʃː	1.0
s_i	ʒ	1.0
rː	rː	1.0
r_ˈaː	r_ˈa	1.0
r_ʊ̃ː	r_u	1.0
r_t	r_t	1.0
p_ʊ̃ː	p_u	1.0
p_ɫ	p_j	1.0
p_t	tː	1.0
oː	u	1.0
nː	-	1.0
n_i	ɲ	1.0
n_e	ɲ	1.0
mː	mː	1.0
lʲː	lː	1.0
lʲ_i	ʎ	1.0
lʲ	l	1.0
kː	kː	1.0
k_ʊ	c	1.0
k_ɛ̃ː	ʧ_e	1.0
k_t	tː	1.0
k_r	k_r	1.0
k_a	k_a	1.0
j	ɟ	1.0
ĩː	i_m	1.0
iː	i	1.0
f	f	1.0
e	-	1.0
d_ɪ	d_i	1.0
b_ʊ	bː	1.0
ãː	a	1.0
au̯	a	1.0
ae̯	e	1.0
a	a	1.0
ˈiː	ˈi	0.949
n	n	0.93
m	m	0.927
r	r	0.908
p	p	0.892
ˈɔ	ˈɔ	0.822
ɛ̃ː	e	0.822
w	v	0.814
ɔ	u	0.809
d	d	0.807
s	s	0.776
aː	a	0.761
t	t	0.757
ʊ	u	0.749
ˈeː	ˈɛ	0.71
b	b	0.683
ɛ_r	e	0.666
ɫ	l	0.651
eː	i	0.62
ˈau̯	ˈɔ	0.609
k	k	0.574
ˈoː	ˈɔ	0.537
d_ʊ̃ː	u	0.537
ˈɪ	ˈɛ	0.528
i	j	0.507
ɪ	-	0.505
ɪ	i	0.495
i	-	0.493
ɡ	ɟ	0.484
ˈɛ	ˈɛ	0.479
ɛ	e	0.47
ˈoː	ˈo	0.463
d_ʊ̃ː	d_u	0.463
ˈɛ	ˈe	0.45
ˈʊ	ˈɔ	0.418
kʷ	w	0.405
ˈau̯	ˈo	0.391
eː	-	0.38
kʷ	k_w	0.345
ˈʊ	ˈu	0.32
ɡ	-	0.317
ˈɪ	-	0.297
ˈeː	-	0.29
ɛ_r	e_r	0.267
ˈʊ	ˈo	0.262
k	ʧ	0.261
ɛ	a	0.254
ʊ	-	0.251
kʷ	ʧ	0.25
aː	-	0.239
ɫ	j	0.219
ɛ	ˈɛ	0.213
t	-	0.201
b	v	0.197
d	-	0.193
ɔ	ˈɔ	0.191
w	-	0.186
ˈɔ	ˈo	0.178
ˈɪ	ˈe	0.175
s	z	0.156
ɛ̃ː	u	0.133
k	-	0.125
b	-	0.121
ɡ	ʤ	0.108
p	-	0.108
ɡ	ɡ	0.092
r	e	0.092
ɫ	-	0.086
m	-	0.073
ˈɛ	-	0.071
n	-	0.07
ɛ_r	r	0.067
ɛ	i	0.063
ˈiː	ˈɛ	0.051
s	ʃ	0.05
