Spanish	Spanish	probability
θ_#>	ʒ_e_#>	1.0
ˈu_ɾ	ˈyː	1.0
ˈo_ð	ˈy_t	1.0
ˈo_l	ˈuː	1.0
ˈi_ʝ	ˈe_l	1.0
ˈi_ɾ	ˈiː	1.0
ˈe_β	v	1.0
ˈe_ɾ	e	1.0
ˈe_ð	ˈiː	1.0
ˈe_n	ŋ	1.0
ˈe_j	ˈɛ	1.0
ˈa_ɾ	ˈaː	1.0
ʧ	t	1.0
ʝ_a	l_a	1.0
ɾ_ð	r_d	1.0
ɾ_t	r_t	1.0
ɾ_n	r_n	1.0
ɾ_e	ˈɛː	1.0
ð_ˈa	ɥ	1.0
u	u	1.0
t	t	1.0
s_ˈo	j_ˈaː	1.0
s_#>	j_#>	1.0
r	r	1.0
p	p	1.0
o_ɾ	w	1.0
o_s	i	1.0
o_#>	#>	1.0
n_o_#>	ŋ_#>	1.0
n_#>	ŋ_#>	1.0
m_ˈo	ˈɛ_l	1.0
l_ˈe	l_ˈe	1.0
l_#>	#>	1.0
k_ɾ	k_r	1.0
k	k	1.0
f	f	1.0
e_ɾ	b	1.0
e_s	s	1.0
d	d	1.0
a_β	a_v	1.0
a_ɾ	ˈɛ	1.0
<#_θ	<#_s	1.0
<#_ˈa	<#_ˈɛː	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɟ͡ʝ	<#	1.0
<#_w	<#_ˈøː	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_o	<#_ɔː	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#_a	1.0
ɣ	ɡ	0.889
s	s	0.882
m	m	0.882
a	a	0.867
j	-	0.846
n	ŋ	0.839
o	u	0.828
<#	<#_f	0.8
ˈa	ˈa	0.762
ŋ	ŋ	0.75
x	ʤ	0.75
i	i	0.714
ʝ	l	0.667
ɾ_#>	#>	0.667
ɟ͡ʝ	ʧ	0.667
e	e	0.667
#>	e_#>	0.667
l	-	0.647
ˈa_ð	w	0.6
ɾ	r	0.6
ɡ	ɡ	0.6
β	v	0.579
ɾ_o	r_u	0.571
ɾ_a	j_a	0.571
ɲ	ɲ	0.556
j_ˈe	ˈeː	0.538
ˈi	ˈi	0.52
ˈa_l	ˈaː_r	0.5
ˈa_l	ˈaː	0.5
ð	t	0.5
ð	-	0.5
w	w	0.5
b	v	0.486
j_ˈe	ˈe	0.462
ˈe	ˈe	0.45
ɲ	n	0.444
ɾ_o	u	0.429
ɾ_a	a	0.429
ˈa_ð	ˈɛː	0.4
ɡ	-	0.4
ˈo	ˈu	0.361
ʝ	ʤ	0.333
ɾ_#>	e_#>	0.333
ɟ͡ʝ	z	0.333
#>	u_#>	0.333
θ	s	0.312
w_ˈe	ˈɔː	0.304
ˈu	ˈy	0.294
ˈu	-	0.294
i	-	0.286
b	b	0.286
β	-	0.263
w_ˈe	ˈøː	0.261
ŋ	-	0.25
w	ˈøː	0.25
w	-	0.25
ˈi	ˈiː	0.24
ˈa	ˈaː	0.238
ˈu	ˈyː	0.235
l	l	0.235
w_ˈe	ˈɔ	0.217
w_ˈe	ˈu	0.217
ɾ	-	0.2
<#	<#_z	0.2
ˈo	ˈuː	0.194
θ	ʒ	0.188
θ	ʃ	0.188
θ	z	0.188
x	-	0.188
ˈu	ˈu	0.176
ˈe	ˈeː	0.175
b	-	0.171
ˈo	ˈɔː	0.167
ˈo	ˈø	0.167
ˈi	-	0.16
β	b	0.158
j	ˈe	0.154
ˈe	ˈɛː	0.15
ˈe	-	0.15
θ	-	0.125
m	ŋ	0.118
l	r	0.118
ˈo	-	0.111
ɣ	-	0.111
e	j	0.111
a	-	0.107
n	n	0.097
o	-	0.092
e	u	0.089
e	-	0.089
ɾ	j	0.086
ˈi	ˈe	0.08
ˈe	j	0.075
n	-	0.065
x	sː	0.062
s	z	0.059
s	s_e	0.059
ɾ	ˈaː	0.057
ɾ	d	0.057
b	ʒ	0.057
