Hessian	Hessian	probability
ˈɛ̃ː	ˈɪə̯_n	1.0
ˈɛː	ˈiə̯	1.0
ˈɔ_ɐ	ˈoə̯	1.0
ˈɔ	-	1.0
ˈɑ̃i̯	ˈi_n	1.0
ˈɑː_ɣ̊	ˈɛi̯	1.0
ˈɑː_#>	ˈiə̯_r_#>	1.0
ˈæː	-	1.0
ˈõː	ˈoə̯	1.0
ˈoĩ̯	ˈɔ_ɣ	1.0
ˈĩː	ˈiə̯_n	1.0
ˈãː	ˈiə̯_n	1.0
ʦ	t	1.0
ʤ̥	k_ə	1.0
ʒ̊	-	1.0
ʃ_d̥	s_t	1.0
ɣ̊	ɣ	1.0
ɛː	ɪ_n	1.0
ə_#>	#>	1.0
ɑ	ə	1.0
ŋ	ŋ	1.0
z̥	t	1.0
v̥	p	1.0
v_ə	n	1.0
s_#>	t_#>	1.0
pʰ	p	1.0
p	b	1.0
oː	ˈɪə̯	1.0
m_#>	m_#>	1.0
m	m	1.0
kʰ	ʦ	1.0
i_ʃ	ə_χ	1.0
h	h	1.0
f_#>	p_#>	1.0
b̥_#>	#>	1.0
<#_ʀ	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_k	1.0
<#_d̥	<#_d	1.0
f	f	0.917
ə	ə	0.906
ʀ	r	0.895
s	s	0.879
l	l	0.829
t	t	0.789
ɐ	r	0.786
ˈuː	ˈuə̯	0.778
ˈo	ˈɔ	0.75
n	n	0.75
b̥	b	0.688
ˈɑ	ˈa	0.667
#>	ə_#>	0.654
ˈɛ	-	0.636
v	ʋ	0.615
ˈeː	ˈeː	0.6
ˈau̯	ˈuː	0.6
ʃ_#>	k_#>	0.6
ɡ̊	ɡ	0.571
x	χ	0.556
d̥_#>	d̥_#>	0.529
ʃ	s_k	0.524
æ̆	ə_r	0.524
ˈi	ˈɪ	0.516
j	n	0.5
j	j	0.5
d̥	t	0.5
d̥_#>	#>	0.471
x	k	0.444
ˈaː	ˈɪə̯	0.429
ˈeː	ˈiə̯	0.4
ˈau̯	-	0.4
ʃ_#>	#>	0.4
ˈu	-	0.385
v	v	0.385
æ̆	r	0.381
ˈe	ˈɪ	0.375
ˈe	-	0.375
k	ɡ	0.375
k	-	0.375
ˈiː	ˈiə̯	0.357
ˈaː	-	0.357
ˈæ	ˈɛ	0.333
ˈæ	j_ˈɛ	0.333
ˈæ	-	0.333
ˈoi̯	ˈuː	0.333
ˈoi̯	j_ˈuə̯	0.333
d̥	-	0.312
ˈu	ˈu	0.308
ˈa	-	0.308
ˈoː	ˈɪə̯	0.3
ˈoː	-	0.3
ɡ̊	k	0.286
ˈɑː	ˈiə̯	0.25
ˈɑː	ˈaː	0.25
ˈo	-	0.25
ˈe	ˈɛ	0.25
k	ɣ	0.25
ʃ	χ	0.238
ʃ	s	0.238
ˈa	ˈɪə̯	0.231
ˈa	ˈaː	0.231
ˈa	ˈa	0.231
#>	n_#>	0.231
ˈuː	ˈoː	0.222
ˈiː	j_ˈɪ	0.214
ˈaː	ˈaː	0.214
ɐ	-	0.214
t	d	0.211
ˈɑ	ˈɔː	0.2
ˈoː	ˈuː	0.2
ˈoː	ˈoə̯	0.2
ˈai̯	ˈɪ	0.2
ˈai̯	ˈɛ_j	0.2
ˈai̯	ˈiː	0.2
ˈai̯	ˈi	0.2
ˈai̯	j	0.2
d̥	d	0.188
b̥	f	0.188
ˈɛ	ˈɛ	0.182
ˈɛ	ˈaː	0.182
ˈɑː	ˈɛː	0.167
ˈɑː	ˈa	0.167
ˈɑː	-	0.167
ˈoi̯	ˈøə̯	0.167
ˈoi̯	ˈu̯o	0.167
n	-	0.167
ˈu	ˈyː	0.154
ˈu	ˈuə̯	0.154
ˈiː	ˈɪə̯	0.143
ˈiː	ˈɪ	0.143
ˈiː	j	0.143
ɡ̊	j	0.143
ˈɑ	-	0.133
ˈi	ˈiː	0.129
ˈi	ˈi	0.129
ˈi	-	0.129
b̥	-	0.125
#>	d̥_#>	0.115
l	-	0.114
ʀ	-	0.105
ˈi	ˈɔ	0.097
æ̆	-	0.095
ə	j_ə	0.094
n	n_d	0.083
f	p	0.083
s	ɕ	0.061
s	t	0.061
l	ə_l	0.057
