Bellunese	Asturian	probability
b	b	1.0
f	f	1.0
i	i	1.0
k	k	1.0
m	m	1.0
z	θ	1.0
ʧ	ʝ	1.0
θ	θ	1.0
n	ɲ	0.1
n	n	0.821
w	w	0.641
ŋ	m	0.051
ɡ	ɣ	0.521
ˈa	ˈa	0.941
ˈi	ˈi	0.931
ˈo	ˈo	0.691
ˈɔ	ˈo	0.391
a	a	0.992
e	ˈe	0.102
e	-	0.322
j	ʎ	0.202
j	-	0.222
l	ʎ_u	0.112
o	o	0.292
r	ɾ	0.762
t	t	0.422
ð	-	0.252
ˈe	ˈe	0.902
ˈu	ˈu	0.882
ˈɛ	-	0.152
d	ð	0.153
d	d	0.563
l	l_u	0.063
l	ʎ	0.403
t	t_u	0.063
t	t_e	0.213
ŋ	n_u	0.273
ˈo	w_ˈe	0.173
d	-	0.284
l	l	0.284
o	ˈo	0.074
p	-	0.24
s	s	0.774
ɡ	-	0.214
o	e	0.175
v	β	0.495
v	b	0.505
ˈo	ˈu	0.135
e	e	0.576
o	u	0.46
p	p	0.76
s	θ	0.206
t	ð	0.056
t	-	0.086
t	ʧ	0.16
ɡ	ɡ	0.266
r	r	0.067
ˈɛ	ˈe	0.07
j	ʝ	0.248
j	j	0.328
n	-	0.08
ð	ʃ	0.748
ŋ	ŋ	0.448
ˈe	j_ˈe	0.098
ˈu	ˈo	0.118
ˈɛ	j_ˈe	0.778
l	-	0.139
r	ð_ɾ	0.059
w	-	0.359
ŋ	-	0.069
ŋ	n	0.159
ˈa	a	0.059
ˈi	ˈe	0.069
ˈɔ	w_ˈe	0.609
