Nynorsk Norwegian	Nynorsk Norwegian	probability
ˈʊ	ˈo	1.0
ˈɪ_nː	ˈɔi̯	1.0
ˈœ	-	1.0
ˈæ	ˈæ	1.0
ˈyː	ˈiː	1.0
ˈuː_#>	ˈʊː_t_#>	1.0
ˈeː_#>	#>	1.0
ʰtː	t	1.0
ʰpː	f	1.0
ʋ_#>	f_#>	1.0
ʂ	ʃ	1.0
ɲ	ŋ	1.0
ɡː	k	1.0
ɛ	-	1.0
ə	ə	1.0
ŋː	ŋ	1.0
çː	-	1.0
ç	-	1.0
tː	-	1.0
t_#>	ʦ_#>	1.0
t	s	1.0
sː	n_z̥	1.0
s_ˈɑ	s_ˈɒ	1.0
s_t	ʃ_t	1.0
s_e	z̥	1.0
s_#>	z̥_#>	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
kʰ_ʋ	ʋ	1.0
k_#>	#>	1.0
k	ʃ	1.0
h	h	1.0
f	f	1.0
e_ɾ	ə_ʁ	1.0
e	-	1.0
b	b̥	1.0
<#_ˈɑ	<#_ˈɒ	1.0
<#_ɾ	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
ɑ	ə	0.935
ˈɪ	ˈi	0.833
p	f	0.833
ɾ	ʁ	0.83
ˈæɪ̯	ˈəi̯	0.778
kʰ	kʰ	0.778
ˈɑ	ˈɒ	0.75
n	n	0.75
<#	<#_ʋ	0.75
ˈæʉ̯	ˈoː	0.714
j	-	0.714
ˈʉ	ˈu	0.667
ˈœʏ̯	-	0.667
ˈeː	ˈæ	0.667
ˈiː	ˈiː	0.636
d	d̥	0.632
ˈøː	ˈiː	0.6
ʋ	ʋ	0.6
ˈoː	ˈoː	0.583
ˈuː	ˈʊː	0.556
s	s	0.542
ˈʉː	ˈyː	0.538
nː	n	0.533
#>	t_#>	0.522
ˈʏ	ˈu	0.5
ˈɔ	-	0.5
ˈɑː	ˈɒː	0.5
ˈɑː	ˈɒ	0.5
tʰ	ʦ	0.5
tʰ	d̥	0.5
<#_j	<#_l	0.5
<#_j	<#	0.5
ɡ	ɡ̊	0.474
nː	n_d̥	0.467
ˈoː	-	0.417
ˈøː	ˈeː	0.4
ˈʉː	-	0.385
s	ʃ	0.375
d	t	0.368
ˈiː	ˈi	0.364
ˈɛ	ˈi	0.357
ˈɛ	ˈe	0.357
ˈœʏ̯	ˈai̯	0.333
ˈeː	ˈei̯	0.333
ˈʏ	-	0.3
ˈɛ	-	0.286
ˈæʉ̯	ˈʊː	0.286
j	ɡ̊	0.286
ʋ	-	0.267
#>	n_#>	0.261
ˈʉ	ˈo	0.25
ˈɔ	ˈu	0.25
ˈɔ	x	0.25
ˈɑ	ˈɒː	0.25
<#	<#_j	0.25
ˈæɪ̯	ˈei̯	0.222
ˈuː	ˈøː	0.222
ˈuː	-	0.222
kʰ	-	0.222
ɡ	j	0.211
ɡ	-	0.211
ˈʏ	w	0.2
ˈɪ	-	0.167
p	p	0.167
n	-	0.167
ʋ	f	0.133
#>	d̥_#>	0.13
ɡ	i	0.105
#>	f_#>	0.087
ˈʉ	ˈø	0.083
s	ʃ_t	0.083
n	ʁ	0.083
ˈʉː	ˈøi̯	0.077
ɑ	-	0.065
ɾ	ə_ʁ	0.064
ɾ	-	0.064
