Upper Sorbian	Standard Croatian	probability
ʧ	ʧ	1.0
ʥ	d	1.0
ʒ̊	ʒ	1.0
ʒ	ʒ	1.0
ʀ_ɪ	a_r	1.0
ɦ	ɡ	1.0
ɥ_a	ʋ_eː	1.0
ɔ_ʀ	r̩ː	1.0
z̥	-	1.0
z	z	1.0
w_o	l_aː	1.0
w_a	l_a	1.0
t_ɔ	t_oː	1.0
t_a	t_a	1.0
t	t	1.0
s	s	1.0
pʲ	p	1.0
p	p	1.0
n	n	1.0
m	m	1.0
kʲ	a	1.0
d_w	l	1.0
d	d	1.0
bʲ	b	1.0
b	b	1.0
k	k	0.919
ʦ	ʦ	0.817
a	a	0.817
x	x	0.79
ʀ	r	0.781
ʀʲ	r	0.745
ɥ	ʋ	0.709
ɲ	n	0.703
mʲ	m	0.696
u	uː	0.629
ɔ	o	0.596
ʨ	t	0.505
ʨ	t_i	0.495
i	i	0.478
l	l	0.469
w	ʋ	0.46
o	oː	0.418
ʃ	-	0.386
ɛ	e	0.386
e	j_eː	0.345
l	l_j	0.343
ʃ	r	0.341
e	e_̂	0.326
o	-	0.318
mʲ	m_j	0.304
ɲ	ɲ	0.297
ɥ	ʋ_j	0.291
e	-	0.282
ɪ	i_̂	0.278
ʃ	ʃ	0.274
ɛ	e_̌	0.272
o	o_̂	0.264
ʀʲ	r̩	0.255
ɛ	eː	0.233
w	l	0.229
ʀ	r̩ː	0.219
u	u	0.212
x	a	0.21
w	o	0.202
ʦ	ʨ	0.183
i	iː_̂	0.178
ɪ	iː	0.164
ɪ	a	0.164
u	-	0.159
ɪ	iː_̂	0.147
ɪ	i	0.143
i	k	0.126
a	aː_̂	0.125
l	ʎ	0.121
i	-	0.118
ɔ	e	0.115
ɛ	-	0.109
ɪ	-	0.104
ɔ	a	0.103
i	iː	0.101
k	-	0.081
w	u	0.07
l	-	0.068
a	eː	0.058
