Štokavian	Štokavian	probability
̌_z	w̃_z	1.0
̌_s	s	1.0
̌_r	ʐ	1.0
̌	-	1.0
̂_t	t	1.0
̂	-	1.0
ʨ	ʦ	1.0
ʧ	ʈ͡ʂ	1.0
ʎ_e	l_a	1.0
ʎ	l	1.0
ʋ_#>	v_ɨ_#>	1.0
ɲ	ɲ	1.0
ɡ̊	z̥_ɡ̊	1.0
ɡ_#>	ɡ̊_#>	1.0
ɡ	ɡ	1.0
u_̂	w	1.0
u	u	1.0
t_i	ʨ	1.0
t_a	t_a	1.0
r̩ː	a_r	1.0
r̩	ɛ_r	1.0
r_j	ʐ	1.0
r_a	r_ɔ	1.0
p	p	1.0
l_aː	w_ɔ	1.0
l_a	w_a	1.0
l_#>	w_#>	1.0
k	k	1.0
j_eː	a	1.0
e_̌	ɛ	1.0
d̥	d̥	1.0
d_#>	d̥_#>	1.0
b_#>	b̥_#>	1.0
b	b	1.0
a_r	r_ɨ	1.0
a_n	n_ɨ	1.0
a_m	ɛ_m	1.0
a_#>	#>	1.0
<#_u	<#_v	1.0
<#_r	<#_r	1.0
<#_o	<#_ɔ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#_j	1.0
<#_d	<#_d	1.0
o_#>	ɔ_#>	0.867
m	m	0.833
o	ɔ	0.812
iː	ɨ	0.727
r	r	0.722
ʦ	ʦ	0.714
ʒ	ʐ	0.714
ʋ	v	0.679
x	x	0.667
n	n	0.667
j	j	0.667
eː_̌	ɛ	0.667
s	s	0.656
d	d	0.647
<#_t	<#_ʨ	0.625
a	a	0.615
i	ɛ	0.6
e	ɛ	0.577
t	ʨ	0.556
i_̂	i	0.556
#>	ɨ_#>	0.545
z	z	0.5
oː	ɔ	0.5
oː	u	0.5
l	w	0.5
eː_̂	ɛ	0.5
eː_̂	j_ɛ	0.5
aː	a	0.5
t	t	0.444
i_̂	ɨ	0.444
uː	u	0.438
i	ɨ	0.4
<#_t	<#_t	0.375
z	ʑ	0.357
l	l	0.357
d	ʥ	0.353
s	ɕ	0.344
x	x_ɨ	0.333
n	ɲ	0.333
j	-	0.333
eː_̌	a	0.333
eː	u	0.333
ʦ	k	0.286
ʒ	ʐ̊	0.286
iː	i	0.273
#>	i_#>	0.273
aː	ɔ	0.25
aː	u	0.25
e	ɔ	0.231
eː	ɛ_ɲ	0.222
eː	ɛ	0.222
eː	a	0.222
ʋ	f	0.214
uː	ɔ	0.188
o	u	0.188
#>	w̃_#>	0.182
r	ʐ̊	0.167
m	m_j	0.167
z	-	0.143
l	d_w	0.143
a	ɛ	0.135
o_#>	#>	0.133
uː	ɔ_w̃	0.125
uː	ɔ_m	0.125
uː	-	0.125
e	a	0.115
a	j_ɛ	0.115
r	ʐ	0.111
ʋ	v_j	0.107
a	-	0.096
e	-	0.077
