Walloon	Walloon	probability
ˈɛ̃ː	-	1.0
ˈɑ̃	ˈa_ŋ	1.0
ˈœ̃	ˈo_ɲ	1.0
ˈy	-	1.0
ˈu	ˈɔ	1.0
ˈoː	-	1.0
ˈeː	ˈiː	1.0
ˈa_ʀ	r_t	1.0
ˈa_s	r_θ	1.0
ʤ	ð	1.0
ʒ	z	1.0
ɲː	ð_n	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ɔ̃	u_ŋ	1.0
w_ˈɛ	ˈiː	1.0
v	v	1.0
uː	u	1.0
m_#>	m_a_#>	1.0
m	m	1.0
k_l	ʧ	1.0
i_n	ɲ	1.0
i	-	1.0
ẽ	i	1.0
b	b	1.0
a	a	1.0
<#_ʀ	<#_r	1.0
<#_t	<#_t	1.0
<#_d	<#_d	1.0
<#_a	<#	1.0
ʀ	r	0.957
n	n	0.913
k	k	0.85
<#_l	<#_l	0.833
j_#>	a_#>	0.818
f	f	0.808
p	p	0.8
t	t	0.789
ˈuː	ˈɔː	0.778
ˈɛː	e	0.667
ˈi	ˈiː_r	0.667
ˈẽ	ˈe_ŋ	0.667
ˈa	ˈaː	0.667
ɛ	-	0.667
ˈa_#>	l_#>	0.636
s	s	0.606
ʧ	k	0.556
ɔ	-	0.545
ˈe	ˈɛ_r	0.538
ˈøː	ˈʌu̯	0.5
j_ˈɛ	ˈɛː	0.5
j_ˈɛ	ˈɛ_s	0.5
l	l	0.474
ˈe	ˈɛ	0.462
ɔ	u	0.455
ˈiː	ˈɛ	0.389
#>	a_#>	0.387
ˈɔ	ˈo	0.375
l	j	0.368
ˈɔː	ˈaː	0.364
ˈa_#>	#>	0.364
w	ˈɔː	0.36
ˈɛː	ˈɛ_d	0.333
ˈɔ̃	ˈʌ_ŋ	0.333
ˈɔ̃	ˈo_ŋ	0.333
ˈøː	ˈuː	0.333
ˈi	-	0.333
ˈẽ	ŋ	0.333
ʃ	s	0.333
ɛ	a	0.333
j	ˈɛ	0.3
ˈɛ̃	ˈæ_ŋ	0.294
ˈɛ̃	ŋ	0.294
ˈiː	ˈiː	0.278
ʧ	k_a	0.278
ˈɔː	ˈɛ	0.273
s	θ	0.273
ˈɔ	ˈʌ	0.25
ˈɔ	ˈɔ	0.25
ʃ	z	0.25
ʃ	s_k	0.25
j	j	0.25
ˈɛ	ˈe	0.238
ˈɛ	ˈaː	0.238
ˈuː	-	0.222
w	ˈa	0.2
w	-	0.2
j	-	0.2
f	v	0.192
ˈɔː	ˈɛ_ɡ	0.182
ˈɔː	j	0.182
j_#>	#>	0.182
ˈɛ̃	ˈa_ŋ	0.176
#>	t_#>	0.175
ˈɔ̃	ŋ	0.167
ˈɔ̃	-	0.167
ˈøː	j	0.167
ˈiː	ˈe	0.167
ˈiː	-	0.167
ˈa	ˈa	0.167
ˈa	-	0.167
ʧ	-	0.167
ʃ	s_e	0.167
<#_l	<#	0.167
w	w	0.16
l	-	0.158
k	ɡ	0.15
j	l_a	0.15
ˈɛ	ˈɛ	0.143
ˈɛ	ˈa	0.143
ˈɛ	-	0.143
ˈɔ	-	0.125
#>	r_#>	0.125
p	p_ˈa	0.12
ˈɛ̃	ˈa	0.118
ˈɛ̃	-	0.118
t	θ_a	0.105
t	-	0.105
j	l	0.1
ˈɛ	ˈɛ_d	0.095
#>	l_#>	0.088
n	ŋ	0.087
w	ˈaː	0.08
p	b_e	0.08
#>	d_#>	0.062
s	t_a	0.061
s	s_ˈa	0.061
