East Low German	Yiddish	probability
ae̯	-	1.0
b	b	0.992
d	t	0.508
d	d	0.476
f	f	0.88
f	b	0.104
h	h	1.0
j	ɡ	0.853
j	j	0.147
k	χ	0.618
k	k	0.343
kʰ	k	1.0
l	l	1.0
m	m	0.781
m	n	0.116
m	b	0.092
n	n	0.955
p	f	0.927
p	p	0.073
r	ʀ	1.0
s	z	0.501
s	s	0.162
s	d_z	0.15
s	ʃ	0.111
s	k_s	0.075
t	t	0.425
t	s	0.377
t	ʦ	0.133
t	ʀ_ʦ	0.064
tʰ	ʦ	1.0
v	v	0.961
w	v	1.0
x	χ	0.624
x	ɡ	0.376
z	z	1.0
æ	ʀ	0.466
æ	ə	0.452
ç	k	0.412
ç	χ	0.317
ç	ɡ	0.202
ç	-	0.069
ŋ	ŋ	0.644
ŋ	ɡ	0.234
ŋ	n	0.122
ɡ	ɡ	1.0
ɣ	-	1.0
ɪ	ɪ	1.0
ɾ	t	0.504
ɾ	d	0.336
ɾ	ə	0.16
ʃ	ʃ	0.984
ˈa	ˈa	0.883
ˈa	ˈɔ	0.101
ˈae̯	ˈɛɪ̯	0.477
ˈae̯	ˈɪ	0.276
ˈae̯	ˈɛ	0.154
ˈae̯	ˈaɪ̯	0.094
ˈaɪ̯	ˈɪ	1.0
ˈaʊ̯	ˈʊ	0.532
ˈaʊ̯	ˈɔɪ̯	0.396
ˈaʊ̯	ˈa	0.071
ˈaː	ˈa	0.756
ˈaː	ˈɔ	0.244
ˈiː	ˈaɪ̯	0.626
ˈiː	ˈɪ	0.289
ˈiː	ˈɛ	0.084
ˈoː	ˈɔ	0.766
ˈoː	ˈɛ	0.234
ˈuː	ˈɔɪ̯	0.71
ˈuː	ˈɔ	0.203
ˈuː	ˈʊ	0.087
ˈyː	ˈaɪ̯	0.717
ˈyː	ˈɛ	0.283
ˈøː	ˈɛ	1.0
ˈœ	ˈɛ	0.513
ˈœ	ˈɔ	0.254
ˈœ	ˈɔɪ̯	0.234
ˈœː	ˈɪ	0.414
ˈœː	ˈʊ	0.347
ˈœː	ˈɛ	0.158
ˈœː	ˈa	0.082
ˈɒː	ˈɔ	0.555
ˈɒː	ˈɛɪ̯	0.146
ˈɒː	ˈa	0.115
ˈɒː	ˈʊ	0.104
ˈɒː	ˈɔɪ̯	0.08
ˈɔ	ˈɔ	0.487
ˈɔ	ˈʊ	0.354
ˈɔ	ˈa	0.159
ˈɔʏ̯	ˈɪ	0.537
ˈɔʏ̯	ˈʊ	0.246
ˈɔʏ̯	ˈɔɪ̯	0.112
ˈɔʏ̯	ˈɛɪ̯	0.105
ˈɛ	ˈɛ	0.566
ˈɛ	ˈɪ	0.256
ˈɛ	ˈɔ	0.178
ˈɛɪ̯	ˈɛ	1.0
ˈɛː	ˈɛ	0.677
ˈɛː	ˈɔ	0.21
ˈɛː	ˈaɪ̯	0.074
ˈɪ	ˈɪ	0.803
ˈɪ	ˈa	0.076
ˈɪ	ˈɛ	0.064
ˈʊ	ˈʊ	0.858
ˈʊ	ˈɔɪ̯	0.087
ˈʊ	ˈɔ	0.054
ˈʏ	ˈɪ	0.483
ˈʏ	ˈaɪ̯	0.342
ˈʏ	ˈɛ	0.126
