Franco-Provençal	Franco-Provençal	probability
ˈɛː_#>	ˈe_#>	1.0
ˈy	ˈo_r	1.0
ˈĩ	ˈi_ŋ	1.0
ˈa_n	ˈa_n	1.0
ˈa_#>	ˈaː_#>	1.0
ʦ	ʧ	1.0
ʃ_j	c	1.0
ʃ_#>	s_#>	1.0
ʁ_ə	i	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ɛ̃	n_ʤ	1.0
ɛː	-	1.0
ɛ_ʁ	e_r	1.0
ɔ̃	-	1.0
ɔ	o	1.0
ɑ̃	a_n	1.0
ɑː	i_s	1.0
ð_ə_#>	#>	1.0
ð_ə	i	1.0
y	r_u	1.0
w_ˈe	ˈɔ	1.0
w_ˈa	ˈuː_k	1.0
u	-	1.0
p	p	1.0
n_o	ŋ	1.0
m	m	1.0
l_#>	l_#>	1.0
k_ʁ	k_r	1.0
f_#>	f_#>	1.0
f	f	1.0
b	b	1.0
<#_ʒ	<#_j	1.0
<#_ʁ	<#_r	1.0
<#_w	<#_v	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#	<#_d	1.0
l	l	0.895
k	k	0.895
d	d	0.875
<#_l	<#_l	0.875
a	e	0.851
v	v	0.829
t	t	0.818
ʃ	c	0.8
e	s	0.778
n	n	0.769
ð	r	0.714
<#_ð	<#_ʤ	0.714
s	s	0.688
ʁ	r	0.675
ʁ_#>	r_#>	0.667
ˈɑː	ˈa	0.6
j	-	0.6
<#_a	<#	0.6
ə	e	0.593
ˈa	ˈa	0.588
ˈɔ̃	ˈo_ŋ	0.5
ˈɑ̃	ˈa_ŋ	0.5
ˈi	ˈi	0.5
o	-	0.5
j_ˈe	ˈiː	0.5
j_ˈe	ˈaː	0.5
i	e	0.5
i	-	0.5
ˈo	ˈo	0.455
ˈø	-	0.444
ˈɑː	ˈaː_s	0.4
ˈaː	ˈaː	0.4
ˈaː	ˈa	0.4
j	j	0.4
<#_a	<#_a	0.4
ʎ	-	0.385
ˈɛː	-	0.381
ˈi	ˈiː	0.35
ˈɛː	ˈeː	0.333
ˈɔ	ˈo	0.333
ˈɔ	w_ˈi	0.333
ˈɔ	-	0.333
ˈø	ˈɛ	0.333
ˈu	-	0.333
ʁ_#>	#>	0.333
z	ʧ	0.333
z	s	0.333
z	-	0.333
s	ʧ	0.312
ʎ	l_i	0.308
ʎ	l	0.308
ˈɔ̃	ˈu_ŋ	0.3
ˈɑ̃	ˈa	0.3
ˈa	ˈaː	0.294
<#_ð	<#	0.286
ˈɛ	ˈe	0.278
ˈɛ	-	0.278
ˈo	ˈoː	0.273
ˈo	-	0.273
o	i	0.269
ˈɛ̃	ˈi	0.267
ə	i	0.259
ˈoː	ˈa_l	0.25
ˈoː	-	0.25
n	ɲ	0.231
ˈe	j_ˈɛ	0.229
w	w	0.227
ˈø	ˈoː	0.222
e	-	0.222
#>	s_#>	0.219
#>	n_t_#>	0.219
ˈɛ̃	ɲ	0.2
ˈɔ̃	ˈo_n	0.2
ˈɑ̃	ˈa_m	0.2
ˈaː	ˈaː_t	0.2
ˈɛː	ˈe	0.19
ˈoː	w_ˈa	0.188
ˈoː	w	0.188
w	ˈu	0.182
w	ˈo	0.182
w	-	0.182
ˈe	ˈa	0.171
ˈe	-	0.171
ˈɛ	ˈɛ	0.167
ˈɛ	j_ˈɛ	0.167
ˈu	ˈuː	0.167
ˈu	ˈu	0.167
ˈu	w_ˈɛ	0.167
ˈu	w	0.167
#>	k_#>	0.156
ˈi	-	0.15
a	a	0.149
ə	-	0.148
ˈe	ˈɛ	0.143
ð	d	0.143
ð	-	0.143
ˈɛ̃	ˈi_n	0.133
ˈɛ̃	ˈe_ŋ	0.133
ˈɛ̃	ŋ	0.133
ˈɛ̃	n_t	0.133
ˈoː	ˈuː	0.125
ʁ	-	0.125
d	-	0.125
<#_l	<#	0.125
#>	ʧ_#>	0.125
ˈa	ˈa_t	0.118
o	u	0.115
o	o	0.115
ˈe	ˈi	0.114
v	-	0.114
ˈɛ	j	0.111
l	-	0.105
k	-	0.105
ʃ	c_ˈa	0.1
ʃ	-	0.1
ʁ	r_t	0.1
ʁ	a_r	0.1
ˈɛː	j_ˈɛ	0.095
#>	l_#>	0.094
w	ˈɔ	0.091
w	ˈoː	0.091
t	s_t	0.091
t	c	0.091
#>	r_#>	0.062
#>	p_#>	0.062
#>	f_#>	0.062
ˈe	ˈɔ	0.057
ˈe	ˈaː	0.057
ˈe	k	0.057
v	f	0.057
