Upper Franconian	Upper Franconian	probability
β	v	1.0
ˈɛː	-	1.0
ˈɘ	ˈyː	1.0
ˈɔ_ɐ	ˈɔː	1.0
ˈɒː	ˈa	1.0
ˈoː_n	n	1.0
ˈaː_#>	ˈeː_n_#>	1.0
ˈa	ˈɛ	1.0
ʦ	ʦ	1.0
ɾ	d	1.0
ɪ	ə	1.0
ɡ̊_n	k	1.0
ə	ə	1.0
ɐ_n	ʀ_ə	1.0
ɐ_d̥	d̥	1.0
ŋ_#>	#>	1.0
ç_d̥	ɕ	1.0
ç	ɕ	1.0
z̥	s	1.0
x_d̥	x	1.0
v̥	f	1.0
v_ˈɔ	ʋ	1.0
v	ʋ	1.0
t	t	1.0
r	ʀ	1.0
n_s	n_z̥	1.0
n_d̥	ŋ_ɡ̊	1.0
n_a	n	1.0
m_ˈʊ	m	1.0
j	j	1.0
h	h	1.0
f_a	ə_f	1.0
eː	e	1.0
d̥_ɐ	t_ɐ	1.0
b̥͡v̥	p	1.0
b̥_#>	v̥_#>	1.0
b̥	b	1.0
<#_ˈʊ	<#_ˈʊ	1.0
<#_ˈɒ	<#_ˈɛ	1.0
<#_n	<#_n	1.0
ʃ	ʃ	0.931
ɐ	ɐ	0.917
m	m	0.903
f	f	0.9
ˈʊ	ˈo	0.818
ˈɒ	ˈa	0.783
ˈɔ	ˈɔ	0.727
ˈaʊ̯	ˈuː	0.727
ɡ̊	k	0.636
ˈuː	ˈoː	0.611
ŋ	ŋ	0.6
a	ə	0.6
ˈɛ	ˈɛ	0.588
l	l	0.529
d̥	d	0.492
l	ɫ	0.471
n	n	0.468
s	z	0.463
ˈɪ	ˈe	0.462
a	-	0.4
ˈuː	ˈuː	0.389
#>	ə_#>	0.385
ˈoː	ˈoː	0.368
ˈiː	ˈeː	0.357
d̥	d̥	0.349
ˈeː	ˈɛ	0.333
ˈaː	ˈɔʊ̯	0.333
x	x	0.333
n	ə	0.319
s	s	0.317
ˈoː	ˈaː	0.316
ɡ̊	j	0.303
ˈɛ	ˈɛː	0.294
ˈaɪ̯	ˈiː	0.286
ˈɔ	-	0.273
ˈaʊ̯	ˈɔʊ̯	0.273
ˈaː	ˈeː	0.267
ˈaː	ˈeɪ̯	0.267
x	ɕ	0.25
x	-	0.25
#>	ɡ̊_#>	0.231
#>	n_#>	0.231
ˈeː	ˈiː	0.222
ˈeː	ˈeː	0.222
ˈeː	-	0.222
s	z̥	0.22
ˈɒ	ˈaː	0.217
ˈoː	ˈa	0.211
ŋ	ɣ	0.2
ŋ	j_ə	0.2
ˈɪ	ˈɪ	0.192
ˈɪ	ˈœ	0.192
ˈaɪ̯	ˈyː	0.19
ˈʊ	ˈɔ	0.182
ˈiː	ˈiː	0.179
x	ɣ̊	0.167
#>	ɕ_#>	0.154
ˈiː	ˈɪ	0.143
ˈiː	ˈøː	0.143
ˈaɪ̯	ŋ	0.143
ˈaɪ̯	-	0.143
ˈaː	ˈoː	0.133
n	-	0.128
ˈɛ	-	0.118
ˈiː	ˈe	0.107
ˈoː	-	0.105
f	p	0.1
m	v_ə	0.097
ˈaɪ̯	ˈɪ	0.095
ˈaɪ̯	ˈeɪ̯	0.095
d̥	t	0.095
n	ŋ	0.085
ɐ	-	0.083
ˈɪ	ˈʏ	0.077
ˈɪ	-	0.077
ˈiː	-	0.071
ʃ	-	0.069
ɡ̊	-	0.061
