Luxembourgish	Old English	probability
b	b	0.956
d	d	0.472
d	θ	0.404
d	ð	0.067
d	-	0.057
e	iːy̯	0.669
e	i	0.331
f	f	0.624
f	p	0.273
f	-	0.054
h	h	1.0
j	j	1.0
k	ʤ	0.544
k	k	0.239
k	ɡ	0.124
k	ʧː	0.067
kʰ	ʧ	0.487
kʰ	k	0.476
l	l	0.585
l	ɫ	0.311
m	m	0.915
m	-	0.07
n	n	0.869
n	-	0.061
p	pː	0.656
p	p	0.223
p	d	0.121
s	t	0.588
s	s	0.355
t	d	0.486
t	t	0.359
t	θ	0.094
v	w	0.625
v	v	0.24
v	ʍ	0.119
w	w	1.0
z	s	0.987
ŋ	ŋ	0.62
ŋ	n	0.29
ŋ	ɣ	0.09
ɐ	r	0.408
ɐ	e	0.309
ɐ	o	0.119
ɐ	ˈeː	0.074
ɕ	ʧ	0.278
ɕ	x	0.22
ɕ	ç	0.188
ɕ	j	0.123
ɕ	k	0.106
ə	ɑ	0.626
ə	-	0.171
ə	i	0.104
ɡ	ɡ	0.585
ɡ	j	0.398
ʀ	r	0.925
ʃ	s	0.515
ʃ	ʃ	0.384
ʃ	ʃː	0.081
ʑ	ɣ	1.0
ʦ	t	0.951
ˈaː	ˈæɑ̯	0.265
ˈaː	ˈo	0.192
ˈaː	ˈæːɑ̯	0.174
ˈaː	ˈæ	0.141
ˈaː	ˈɑ	0.075
ˈaː	ˈiy̯	0.051
ˈe	ˈi	0.5
ˈe	ˈy	0.234
ˈe	ˈiːy̯	0.19
ˈe	ˈeː	0.077
ˈeː	ˈɑː	0.634
ˈeː	ˈe	0.17
ˈeː	ˈiːy̯	0.132
ˈeː	ˈæː	0.064
ˈi	ˈeːo̯	0.257
ˈi	ˈiy̯	0.245
ˈi	ˈo	0.171
ˈi	ˈy	0.135
ˈi	ˈeː	0.126
ˈi	ˈi	0.065
ˈiə̯	ˈe	0.682
ˈiə̯	ˈeo̯	0.198
ˈiə̯	ˈi	0.121
ˈiː	ˈeːo̯	0.193
ˈiː	ˈe	0.19
ˈiː	ˈi	0.155
ˈiː	ˈeo̯	0.112
ˈiː	j	0.104
ˈiː	rː	0.073
ˈiː	ˈo	0.073
ˈo	ˈu	0.668
ˈo	ˈo	0.248
ˈoː	ˈæːɑ̯	0.341
ˈoː	ˈæː	0.333
ˈoː	ˈe	0.155
ˈoː	ˈɑː	0.102
ˈoː	ˈæ	0.069
ˈu	ˈɑ	0.314
ˈu	ˈoː	0.297
ˈu	ˈu	0.264
ˈu	ˈeː	0.073
ˈu	ˈuː	0.052
ˈuə̯	ˈi	0.525
ˈuə̯	ˈɑ	0.303
ˈuə̯	ˈo	0.172
ˈuː	ˈo	0.586
ˈuː	ˈy	0.414
ˈæ	ˈæ	0.427
ˈæ	ˈoː	0.287
ˈæ	ˈɛ	0.287
ˈæɪ̯	ˈiː	1.0
ˈæːɪ̯	ˈiː	0.782
ˈæːɪ̯	ˈeːo̯	0.218
ˈæːʊ̯	ˈuː	0.885
ˈæːʊ̯	ˈyː	0.085
ˈɑ	ˈi	0.494
ˈɑ	ˈɑ	0.358
ˈɑɪ̯	ˈuː	0.284
ˈɑɪ̯	ˈeː	0.228
ˈɑɪ̯	ˈiː	0.174
ˈɑɪ̯	ˈyː	0.149
ˈɑɪ̯	ˈiːy̯	0.112
ˈɔ	ˈuː	0.616
ˈɔ	ˈu	0.384
ˈə	ˈi	0.234
ˈə	ˈu	0.161
ˈə	ˈiː	0.11
ˈə	ˈy	0.1
ˈə	ˈyː	0.1
ˈə	ˈeo̯	0.071
ˈə	ˈeːo̯	0.07
ˈəʊ̯	ˈoː	0.497
ˈəʊ̯	ˈæːɑ̯	0.449
ˈəʊ̯	ˈuː	0.055
ˈɛ	ˈe	0.415
ˈɛ	ˈi	0.302
ˈɛ	ˈɛ	0.181
ˈɛ	ˈɑː	0.102
ˈɛː	ˈeo̯	1.0
ˈɜɪ̯	ˈeːo̯	0.433
ˈɜɪ̯	ˈiːy̯	0.243
ˈɜɪ̯	ˈɑː	0.117
ˈɜɪ̯	ˈæːɑ̯	0.094
ˈɜɪ̯	ˈeː	0.081
ˈʊ	ˈoː	0.831
ˈʊ	ˈu	0.169
ˈʊɪ̯	ˈo	1.0
χ	ʧ	0.486
χ	j	0.205
χ	ç	0.147
χ	k	0.113
