Aromanian	Aromanian	probability
ˈɨ_n_i_#>	ˈa_#>	1.0
ˈɨ	ˈa	1.0
ˈə	ˈi	1.0
ˈu_n	ˈɒ_n	1.0
ˈa_v	ˈɒ	1.0
ʧ	s_ˈi	1.0
ʦ_i	w	1.0
ʤ	ʤ	1.0
ʃ_t	ʃ	1.0
ɨ	-	1.0
ə_m	mː	1.0
ə_#>	#>	1.0
ŋ	-	1.0
ç	f	1.0
z	v	1.0
v	v	1.0
u_r	ɾ	1.0
t_u	t	1.0
s_t	s_t	1.0
r_n	r_n	1.0
r_i_#>	l_#>	1.0
r_i	r	1.0
r_#>	l_#>	1.0
n_#>	#>	1.0
l_e̯ˈa	l_ˈa	1.0
k_ʎ	ʎ	1.0
k_u	k_o	1.0
k_e̯ˈa	p_ˈe	1.0
i_n	e_n	1.0
i_d	ˈæ	1.0
i_#>	#>	1.0
e̯a	-	1.0
e_#>	#>	1.0
a_r	r	1.0
<#_ˈa	<#_ˈa	1.0
<#_u	<#_o	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_ʎ	1.0
<#_a	<#	1.0
<#	<#_a	1.0
#>	s_#>	1.0
s	s	0.909
k	k	0.903
ˈo	ˈɒ	0.889
f	f	0.818
k_#>	k_#>	0.778
ˈa	ˈa	0.75
ʃ	s	0.75
ɡ	ɡ	0.75
w	w	0.75
p	p	0.741
m	m	0.706
u	-	0.682
ˈi	ˈi	0.643
l	l	0.643
n	n	0.591
b	b	0.583
r	ɾ	0.574
d	d	0.571
t	t	0.56
ʦ	s	0.5
ʣ	ʤ	0.5
ʣ	d	0.5
ʎ	ʎ	0.5
ʎ	l	0.5
ɲ	m	0.5
ɲ	-	0.5
p_t	ˈi_t	0.5
p_t	t	0.5
ˈe	ˈæ	0.471
o̯ˈa	ˈɒ	0.467
ˈu	ˈo	0.444
e̯ˈa	ˈæ	0.444
a	a	0.429
ə	ɐ	0.41
ˈu	ˈu	0.407
j	v	0.4
l	ʎ	0.357
ˈe	ˈe	0.353
e̯ˈa	ˈe	0.333
t	ð	0.32
d	-	0.286
a	ˈa	0.286
a	r	0.286
r	r	0.277
o̯ˈa	ˈu	0.267
i	e	0.256
ʃ	-	0.25
ɡ	ɣ	0.25
w	-	0.25
b	-	0.25
ə	ɜ	0.231
u	o	0.227
n	ɲ	0.227
ʦ	-	0.222
k_#>	#>	0.222
ə	ɞ	0.205
i	-	0.205
j	-	0.2
f	-	0.182
ˈi	-	0.179
i	ɜ	0.179
m	-	0.176
ʦ	t	0.167
b	β	0.167
p	-	0.148
d	t	0.143
ˈa	ˈæ	0.139
o̯ˈa	ˈæ	0.133
o̯ˈa	-	0.133
j	ʤ	0.133
j	s	0.133
j	l_t	0.133
t	-	0.12
ˈe	-	0.118
m	n	0.118
ˈo	z_ˈa	0.111
ˈa	ˈe	0.111
ʦ	k	0.111
p	β	0.111
e̯ˈa	ˈe_j	0.111
e̯ˈa	w	0.111
ˈi	ˈe	0.107
ə	a	0.103
i	ɐ	0.103
k	ɣ	0.097
u	u	0.091
s	-	0.091
n	ŋ	0.091
n	-	0.091
r	-	0.085
i	w	0.077
i	s	0.077
ˈu	ˈɒ	0.074
ˈu	-	0.074
ˈi	a	0.071
r	l	0.064
ˈe	ˈɛ	0.059
ə	-	0.051
i	r	0.051
i	d	0.051
