Danish	East Franconian	probability
ˈʌ_j	ˈɒː	1.0
ˈɛˀ	-	1.0
ˈɔː	ˈoː	1.0
ˈɔ	-	1.0
ˈɒˀ	ˈoː	1.0
ˈɑː	ˈɒ_ɾ	1.0
ˈɑˀ	-	1.0
ˈœː	ˈɛ	1.0
ˈøː	-	1.0
ˈøˀ_ð̞ˠ	s	1.0
ˈæˀ	ˈoː	1.0
ˈæ_nˀ	ˈoː	1.0
ˈyː	ˈiː	1.0
ˈy	-	1.0
ˈuː	-	1.0
ˈoː	-	1.0
ˈi	-	1.0
ˈeː	-	1.0
ʨ	d̥	1.0
ʁ	r	1.0
ɡ̊_ˈɑ	ˈa	1.0
ɡ̊_ə	n	1.0
ə_n	eː	1.0
ɕ	s	1.0
ɐˀ_n	ɐ_n	1.0
ŋˀ	ŋ	1.0
ð̞ˠ_ə	z̥_n	1.0
wˀ	m	1.0
w	ç	1.0
s_ɡ̊	ʃ	1.0
pʰ	b̥͡v̥	1.0
n_ˈeˀ	n_ˈiː	1.0
mˀ	m	1.0
l	l	1.0
kʰ	kʰ	1.0
jˀ_n	ŋ	1.0
jˀ	ɣ	1.0
j_ˈɛ	ˈɛ	1.0
h	h	1.0
e	ɪ	1.0
b̥_ə	f	1.0
b̥	b̥	1.0
m	m	0.904
f	f	0.873
ˈæ	ˈɒ	0.859
ʋ	v	0.834
d̥	d̥	0.825
ɡ̊	ɡ̊	0.823
ˈiˀ	ˈaɪ̯	0.818
ɐ	ɐ	0.793
ˈoˀ	ˈuː	0.777
n	n	0.77
lˀ	l	0.754
ˈu	ˈʊ	0.715
ˈœˀ	-	0.713
ˈø	ˈɪ	0.709
ɐˀ	ɐ	0.702
ʦʰ	d̥	0.687
n_ə	n	0.686
nˀ	n_d̥	0.685
ˈɔˀ	ˈoː	0.674
ˈe	ˈɪ	0.667
ˈo	-	0.663
ˈuˀ	ˈaʊ̯	0.636
ˈɛ	ˈɛ	0.632
ð̞ˠ	d̥	0.615
w_ə	m	0.6
ˈiː	-	0.571
ˈʌ	-	0.57
ˈøˀ	-	0.567
ŋ	ŋ	0.516
ˈeˀ	ˈaː	0.49
ŋ	ç	0.484
s	s	0.469
ˈɑ	-	0.453
ˈyˀ	ˈiː	0.444
ˈøˀ	ˈuː	0.433
s	ʃ	0.433
ˈiː	ˈaɪ̯	0.429
w_ə	ŋ	0.4
ð̞ˠ	s	0.385
ˈɑ	ˈɒ	0.377
j	-	0.364
ˈo	ˈɔ	0.337
ˈyˀ	ˈaɪ̯	0.333
ˈe	ˈɛ	0.333
ə	a	0.333
ˈɔˀ	ˈɒ	0.326
ˈœ	ˈɪ	0.326
nˀ	n	0.315
n_ə	n_d̥	0.314
ɐˀ	ɐ_d̥	0.298
ˈœ	-	0.296
ˈø	-	0.291
ˈœˀ	ˈuː	0.287
ə	n	0.287
ˈu	ˈɔ	0.285
ə	-	0.279
j	h	0.253
ʦʰ	ʦ	0.251
lˀ	l_d̥	0.246
ˈʌ	ˈʊ	0.239
ˈoˀ	-	0.223
ˈyˀ	ˈiː_ç	0.222
ˈɛ	-	0.221
j	ˈaː	0.211
ˈeˀ	-	0.196
ˈœ	ˈɔ	0.193
ˈʌ	ˈɒ	0.191
ˈœ	ˈɛː	0.185
ˈuˀ	-	0.184
ˈiˀ	-	0.182
ˈuˀ	ˈuː	0.18
j	ˈaː_ɣ̊	0.171
ˈɑ	ˈaɪ̯	0.17
ˈeˀ	ˈiː	0.157
ˈeˀ	n	0.157
n	-	0.148
ˈɛ	ˈɪ	0.147
ˈæ	ˈoː	0.141
ɐ	ɾ_ɐ	0.14
ɡ̊	-	0.135
f	f_ˈiː	0.127
d̥	x_d̥	0.122
ʋ	v_ˈɪ	0.115
ə	ŋ	0.101
m	m_ˈʊ	0.096
n	d̥	0.082
ɐ	ˈɘ	0.067
ʦʰ	ʦ_v	0.062
s	d̥	0.054
d̥	ʦ	0.053
ʋ	f	0.051
