Romagnol	Romagnol	probability
ˈʌ̃_n	ã	1.0
ˈɛ̃	j	1.0
ˈɛə̯_s	ɛɪ̯	1.0
ˈɛə̯_l	oʊ̯	1.0
ˈɛ_n	ã	1.0
ˈɔ_s	o	1.0
ˈu_ɡ	øʏ̯	1.0
ˈu_v	ɥ	1.0
ˈu	y	1.0
ˈõũ̯	ɒ̃ʊ̯̃	1.0
ˈou̯_t	u	1.0
ˈou̯_n	ɒ̃ʊ̯̃	1.0
ˈi_ɡ	i	1.0
ˈi_#>	#>	1.0
ˈeə̯_l	oʊ̯	1.0
ˈeə̯_d	æɛ̯	1.0
ˈeə̯_#>	e_#>	1.0
ˈe	æɛ̯	1.0
ˈaː	l_a	1.0
ɡ_ɐ	ɛ	1.0
ɐ_n_#>	#>	1.0
ɐ_n	ã	1.0
ɐ_d	æɛ̯	1.0
ɐ_#>	#>	1.0
z	-	1.0
v_ɐ_#>	#>	1.0
t_ɐ_#>	#>	1.0
t_#>	#>	1.0
s_ɐ	s_a	1.0
s_#>	#>	1.0
p_#>	#>	1.0
p	p	1.0
n_ɐ_#>	#>	1.0
n_t_#>	#>	1.0
l_#>	#>	1.0
k_v	k	1.0
k_#>	#>	1.0
j̃	ẽɪ̯̃	1.0
j_ˈʌ̃	l	1.0
j_ˈɔə̯	ɪ	1.0
j_ˈeː_t_ɐ_r_#>	#>	1.0
f	f	1.0
e	-	1.0
d_ˈo	d	1.0
d_ɐ	ɛ	1.0
d_#>	#>	1.0
<#_ˈɔə̯	<#_œ	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɐ	<#_a	1.0
<#_t	<#_t	1.0
<#_s	<#_e	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#	<#_a	1.0
r	ʁ	0.971
v	v	0.929
b	b	0.905
m	m	0.893
t	t	0.882
s	s	0.87
<#_l	<#_l	0.8
θ	s	0.722
ˈɛə̯	-	0.7
ˈɔ	-	0.667
v_#>	f_#>	0.667
n	n	0.667
l	l	0.64
ˈeː	w	0.636
ˈʌ̃	ẽɪ̯̃	0.625
z_#>	#>	0.6
a	-	0.6
ˈi	i	0.579
ð	ʒ	0.571
i	-	0.571
ˈẽ	-	0.556
ˈeə̯	æɛ̯	0.538
ˈɔə̯	ɑɔ̯	0.533
k	ʃ	0.514
ˈa	æɛ̯	0.5
ʧ	k_l	0.5
ʧ	-	0.5
ʤ	ɡ	0.5
ʤ	-	0.5
ɲ	ɲ	0.5
ɡ	ɡ	0.5
ɡ	-	0.5
ŋ	ã	0.5
ŋ	-	0.5
u	u	0.5
d	d	0.5
k	k	0.486
ð	-	0.429
i	i	0.429
j	l	0.417
j	j	0.417
z_#>	ɛ_#>	0.4
a	a	0.4
ˈo	-	0.389
#>	ʁ_#>	0.375
ˈɔ	u	0.333
ˈa	a	0.333
v_#>	#>	0.333
ˈou̯	-	0.312
#>	e_#>	0.312
ˈɛə̯	i	0.3
ɐ	-	0.296
ˈɛ	w_ɛ	0.28
θ	-	0.278
ˈʌ̃	æɛ̯	0.25
ˈou̯	w	0.25
ɲ	ẽɪ̯̃	0.25
ɲ	-	0.25
d	ʣ	0.25
d	-	0.25
ˈeə̯	ɛ	0.231
ˈeə̯	e	0.231
ˈẽ	ɪ	0.222
ˈẽ	ẽɪ̯̃	0.222
u	-	0.214
n	-	0.208
ˈɛ	ɛ	0.2
ˈɔə̯	-	0.2
l	ɛ_l	0.2
<#_l	<#	0.2
ˈou̯	aœ̯	0.188
#>	ɛ_ʁ_#>	0.188
ɐ	a	0.185
ˈeː	æɛ̯	0.182
ˈeː	j_ɛ	0.182
ˈo	ʊ	0.167
ˈo	ɔ	0.167
ˈo	ɒ̃ʊ̯̃	0.167
ˈa	ɑ	0.167
j	-	0.167
ˈɛ	æɛ̯	0.16
ˈɛ	-	0.16
l	-	0.16
ˈi	ɪ	0.158
ˈi	w	0.158
ɐ	œ	0.148
ɐ	æɛ̯	0.148
ɐ	i	0.148
u	ɔ	0.143
u	ɑɔ̯	0.143
ˈɔə̯	œ	0.133
ˈɔə̯	oʊ̯	0.133
s	-	0.13
ˈʌ̃	ã	0.125
ˈou̯	ɔ	0.125
ˈou̯	u	0.125
n	ã	0.125
#>	j_#>	0.125
ˈɛ	l	0.12
t	ʁ	0.118
ˈo	ɥ	0.111
m	-	0.107
ˈi	j	0.105
b	-	0.095
ˈɛ	ɪ	0.08
ɐ	j	0.074
v	-	0.071
