Mainland North Frisian	Mainland North Frisian	probability
ˈɒː_d	ˈɒː_t	1.0
ˈœi̯	-	1.0
ˈu	ˈɪ	1.0
ˈaː	-	1.0
ˈai̯	ˈɪ	1.0
ʃ_#>	s_#>	1.0
ʀ_n	ɾ_n	1.0
ɡ	ɦ	1.0
ɛi̯	iə̯	1.0
ə_ʀ	ɾ	1.0
ə_n	ə	1.0
ə_l	ə_l	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
ç	-	1.0
z̥	d̥	1.0
z	-	1.0
tʲ	t	1.0
t_ə	t	1.0
s_#>	z̥_#>	1.0
p	p	1.0
n_ˈɔː	n	1.0
lʲ	d̥	1.0
l_ə	w	1.0
f_j	v	1.0
dʲ	d̥	1.0
b	b	1.0
<#_ʀ	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_h	<#	1.0
k	k	0.909
f	v	0.905
m	m	0.895
l	l	0.871
d	d	0.867
ʀ	ɾ	0.844
t	t	0.837
n	n	0.815
x	h	0.778
v	ʋ	0.778
d̥	d̥	0.778
#>	ə_#>	0.762
ʃ	ʃ_h	0.75
ˈɔu̯	-	0.714
ˈeː	-	0.714
v̥	v̥	0.714
ˈɔː	-	0.667
ˈɔ	ˈoː	0.667
ˈɒː	ˈɑ	0.667
nʲ	n	0.667
ˈuː	ˈoː	0.636
ˈɒ	ˈɑ	0.625
ˈœː	-	0.6
<#	<#_ˈɑ	0.6
ə	n	0.581
s	z	0.579
ˈyː	ˈoː	0.571
j	ɦ	0.556
ˈa	-	0.529
ˈɛ	ˈuə̯	0.5
ˈɛ	-	0.5
i	ɪ	0.5
i	ç	0.5
ˈʏ	ˈyː	0.462
ˈi	ˈi	0.45
j	-	0.444
ˈɛː	ˈeː	0.429
ˈɛi̯	ˈɒː	0.429
ˈyː	-	0.429
s	s	0.421
ˈiː	ˈiə̯	0.417
ˈœː	ˈyː	0.4
<#	<#_ʋ	0.4
ˈʏ	-	0.385
ˈɒ	-	0.375
ˈuː	-	0.364
ˈœ	ˈuə̯	0.357
ə	ə	0.355
ˈɔː	ˈɔ	0.333
ˈɔ	-	0.333
ˈɒː	ˈɒː	0.333
nʲ	n_d̥	0.333
ˈa	ˈæ	0.294
ˈʊ	ˈœ	0.286
ˈɛː	ˈɒː	0.286
ˈɛː	-	0.286
ˈɛi̯	ˈɑ	0.286
ˈɛi̯	ˈuə̯	0.286
ˈɔu̯	ˈoː_v	0.286
ˈœ	ˈɑ	0.286
ˈeː	ˈɑ	0.286
v̥	v_ə	0.286
ˈi	-	0.25
ʃ	s	0.25
x	ɦ_ə	0.222
d̥	d_ə	0.222
ˈʊ	ˈu	0.214
ˈʊ	-	0.214
ˈœ	-	0.214
ˈiː	ˈɛː	0.208
ˈi	ˈɪ	0.2
n	n_ə	0.185
ˈa	ˈɛ	0.176
t	d	0.163
ˈʏ	ˈœ	0.154
ˈʊ	ˈɑ	0.143
ˈʊ	ˈæ	0.143
ˈœ	ˈu	0.143
#>	d̥_#>	0.143
d	-	0.133
l	w	0.129
ˈiː	ˈeː	0.125
v	v	0.111
v	-	0.111
m	ˈoː_m	0.105
ˈi	ˈeː	0.1
f	-	0.095
#>	n_#>	0.095
k	-	0.091
ˈiː	ˈoː	0.083
ˈiː	ˈiə̯_ɦ	0.083
ˈiː	j	0.083
ʀ	ˈæ_ɾ	0.067
ə	d_n	0.065
