Sicilian	Asturian	probability
b	b	1.0
c	ʎ	1.0
cː	ʝ	1.0
d	d	1.0
f	f	1.0
kː	k	1.0
m	m	1.0
s	s	1.0
u	o	1.0
ŋ	ŋ	1.0
ɕ	θ	1.0
ɟː	ʝ	1.0
ɲː	ɲ	1.0
ɽ	ɾ	1.0
ʃ	s	1.0
ʈ	ð	1.0
ʐ	r	1.0
ʤ	ʃ	1.0
ˈe	ˈe	1.0
ˈo	ˈo	1.0
p	β	0.241
r	r	0.081
ɾ	-	0.401
ɾ	ɾ	0.561
ˈi	ˈe	0.651
n	n	0.892
nː	ɲ	0.472
ɖː	ʎ	0.742
ɡ	ɡ	0.692
ʊ	u	0.842
ˈu	ˈu	0.472
a	a	0.943
t	ð	0.493
ˈɔ	w_ˈe	0.533
ˈɛ	ˈe	0.213
i	-	0.104
j	ʃ	0.4
k	-	0.144
tː	t	0.284
v	b	0.574
ɪ	e	0.584
ˈɔ	ˈo	0.434
ɪ	-	0.055
ʊ	e	0.055
i	e	0.896
j	-	0.6
tː	ʧ	0.716
v	β	0.426
w	l	0.196
ɪ	u	0.096
a	e	0.057
k	k	0.707
l	ʎ	0.597
t	t	0.507
w	w	0.337
w	-	0.467
ʊ	-	0.067
ˈa	ˈe	0.077
ˈɛ	j_ˈe	0.787
k	ɣ	0.148
n	-	0.108
nː	n	0.528
ɖː	l	0.258
ɡ	ɣ	0.308
ɪ	ˈe	0.218
ˈa	ˈa	0.888
ˈu	ˈo	0.528
l	l	0.359
p	p	0.759
r	ɾ	0.919
ˈi	ˈi	0.349
