Mainland North Frisian	Pennsylvania German	probability
ˈɔ_ʀ	ˈa	1.0
ˈɔ_j	ˈɔɪ̯	1.0
ˈɔ	ˈaː	1.0
ˈɒː_d	ˈa_s	1.0
ˈœi̯	-	1.0
ˈiː_nʲ	ˈeː	1.0
ˈa_ʀ	ɾ	1.0
ʃ	ʃ	1.0
ʀ_ˈɔu̯	ɾ	1.0
ʀ_ˈiː	ɾ	1.0
ʀ_n	n	1.0
ɡ	ɡ	1.0
ɛi̯	eː	1.0
ə_ʀ	ɑ	1.0
ə_n	ə	1.0
ç	k	1.0
z̥	d̥	1.0
z	s	1.0
w	ˈiː_ɡ	1.0
v̥	b̥	1.0
t_ə	d	1.0
s_l	ʃ_l	1.0
l	l	1.0
h	h	1.0
d̥	d̥	1.0
b	b	1.0
m	m	0.95
f	f	0.94
d	d	0.921
v	ʋ	0.87
tʲ	s	0.84
n	n	0.837
p	f	0.806
ə	ə	0.805
ŋ	ŋ	0.758
i	ɪ	0.738
ˈyː	ˈoː	0.688
s	s	0.66
ˈiː	ˈeː	0.64
dʲ	d̥	0.625
lʲ	l_d̥	0.618
ˈɒ	ˈa	0.602
nʲ	n_d̥	0.6
ˈai̯	ˈɪ	0.598
ˈɒː	-	0.588
ˈɛː	-	0.573
ˈaː	ˈʊ	0.537
ˈɔu̯	ˈoː	0.535
j	-	0.528
ˈi	ˈaɪ̯	0.51
x	x	0.488
ʀ	ɾ	0.474
ˈʊ	ˈʊ	0.466
ˈɔu̯	-	0.465
ˈaː	-	0.463
k	k	0.463
ʀ	ɑ	0.452
ˈœː	ˈaɪ̯	0.451
ˈɛ	-	0.446
ˈeː	ˈɛ	0.44
ˈʏ	ˈaʊ̯	0.432
ˈœ	ˈa	0.428
ˈɛː	ˈɛ	0.427
ˈɒː	ˈa	0.412
ˈai̯	-	0.402
nʲ	n	0.4
ˈɒ	-	0.398
ˈuː	ˈɔː	0.382
lʲ	l	0.382
ˈa	-	0.379
ˈi	ˈɪ	0.377
t	ʦ	0.376
dʲ	d	0.375
ˈiː	ˈiː	0.36
ˈɛi̯	ˈoː	0.348
ˈɛi̯	ˈiː	0.326
ˈɛi̯	ɡ̊	0.326
ˈœː	ˈaʊ̯	0.312
ˈyː	-	0.312
x	ç	0.311
s	ʃ	0.301
j	ɡ	0.295
ˈuː	-	0.292
t	d	0.274
k	ç	0.274
ˈɔː	ˈɔː	0.268
ˈœ	-	0.265
i	ɪ_ç	0.262
ˈɔː	-	0.255
ŋ	ç	0.242
ˈœː	-	0.237
ˈeː	ˈɪ	0.232
ˈa	ˈɛ	0.223
t	s	0.223
k	x	0.222
ˈœ	ˈuː	0.221
ˈʏ	-	0.216
ˈuː	ˈoː	0.212
ˈʏ	ˈaɪ̯	0.208
ˈa	ˈɪ	0.207
x	ɡ̊	0.202
ˈɔː	ˈa	0.195
ə	-	0.195
p	p	0.194
ˈɛ	ˈuː	0.185
ˈɛ	ˈiː	0.185
ˈɛ	ˈeː_ɑ	0.185
j	j	0.178
ˈeː	ˈɔː	0.164
ˈeː	ˈa	0.164
ˈʊ	ˈɪ	0.162
ˈʊ	-	0.162
tʲ	d	0.16
ˈʊ	ˈa	0.154
ˈʏ	ˈʊ_n	0.144
ˈɔː	ˈɪ	0.141
ˈɔː	ˈɔ	0.141
t	t	0.127
ˈa	ˈaɪ̯	0.12
ˈuː	ˈa	0.113
ˈi	ˈɛ	0.112
n	-	0.087
ˈœ	ˈɔ	0.086
d	-	0.079
n	ə	0.075
ʀ	-	0.074
v	-	0.074
ˈa	ˈʊ	0.072
f	-	0.06
ˈʊ	ˈɔ	0.055
v	ʋ_ˈɪ	0.055
m	ə_m	0.05
