Franco-Provençal	Logudorese	probability
a	a	1.0
b	b	1.0
i	a	1.0
j	-	1.0
k	k	1.0
m	m	1.0
n	n	1.0
ɔ	o	1.0
ɡ	ɡ	1.0
ɲ	n	1.0
ʃ	k	1.0
ʒ	-	1.0
ˈaː	ˈa	1.0
ˈĩ	ˈi	1.0
ˈoː	ˈo	1.0
ˈø	ˈo	1.0
ˈɑː	ˈa	1.0
ˈɑ̃	ˈa_n	1.0
ˈɔ	ˈo	1.0
ˈɔ̃	ˈo_n	1.0
ˈɛ̃	ˈe_n	1.0
f	f	0.851
ʁ	r	0.561
ˈa	ˈa_r	0.231
ˈu	ˈo	0.41
d	d	0.852
l	-	0.182
o	o	0.102
o	e	0.402
w	ˈo	0.332
ʁ	e_r	0.062
ˈi	ˈi	0.692
ˈɛ	ˈi	0.372
l	l	0.573
p	p	0.883
s	-	0.113
s	s	0.533
t	s_t	0.133
ð	r	0.443
ə	e	0.543
ʁ	rː	0.073
ʁ	r_e	0.193
ʎ	ʣ	0.153
ʎ	r	0.803
e	i	0.254
s	k	0.354
w	ˈo_ɣ	0.124
ð	e_r	0.094
ð	-	0.284
ˈo	ˈo	0.424
o	u	0.495
p	u_#>	0.05
v	-	0.245
w	-	0.225
ˈe	-	0.205
ˈɛː	ˈe	0.25
ˈɛː	ˈi	0.75
e	i_s	0.746
ˈe	ˈe	0.206
ˈo	ˈu	0.576
ˈɛ	ˈe	0.6
l	l_u	0.057
t	t_e	0.067
v	b	0.597
ə	a	0.457
d	-	0.148
l	r	0.188
t	t	0.78
v	β	0.158
ð	ð	0.18
ʁ	-	0.088
ˈi	ˈe	0.308
f	-	0.149
w	ˈu	0.319
ˈa	ˈa	0.769
ˈe	ˈa	0.589
ˈu	ˈu	0.59
