Bavarian	Bavarian	probability
ˈou̯	ˈaʊ̯	1.0
ˈi_n	ˈʏ_n	1.0
ˈeɐ̯	-	1.0
ˈe_ɐ	ˈaː	1.0
ˈau̯	ˈuː	1.0
ʦ_#>	t_#>	1.0
ɡ̊_s	s	1.0
ɡ̊_#>	#>	1.0
ə	-	1.0
ɑ	-	1.0
ɐ_d̥	æ_d̥	1.0
ç	k	1.0
x_d̥	ç	1.0
s_n	t_n	1.0
n_d̥	n	1.0
m_a	m	1.0
kʰ_ˈe	kʰ	1.0
kʰ	kʰ	1.0
j_β	l	1.0
j_#>	l_#>	1.0
j	l	1.0
h	h	1.0
f_a	p_n	1.0
eɐ̯	ae̯	1.0
d̥_a	æ	1.0
d̥_#>	#>	1.0
b̥_#>	v̥_#>	1.0
<#_j	<#_j	1.0
<#_d̥	<#_d	1.0
n	n	0.918
l	l	0.917
b̥	b	0.905
r	r	0.885
ʋ	v	0.864
ʃ	ʃ	0.857
m	m	0.857
ˈoɐ̯	ˈae̯	0.846
ˈuɐ̯	ˈaʊ̯	0.818
ˈiɐ̯	ˈae̯	0.8
ˈɑ	ˈa	0.778
ʦ	tʰ	0.75
ŋ	ŋ	0.737
ˈa	-	0.714
f	f	0.697
a	æ	0.679
ˈɑː	ˈɒː	0.667
ˈoː	ˈɒː	0.667
ˈi	ˈɪ	0.667
b̥͡v̥	p	0.667
ɡ̊_a	ç	0.6
x	k	0.571
ˈaː	-	0.556
ˈai̯	ˈiː	0.524
d̥	d̥	0.511
ˈiː	ˈɪ	0.5
ˈiː	-	0.5
n_a	n_n	0.5
n_a	n	0.5
#>	n_#>	0.5
s	z	0.487
ɐ	æ	0.462
x	x	0.429
ɡ̊_a	k_n	0.4
ˈɒː	ˈa	0.385
ɡ̊	ɡ	0.36
ˈɑː	-	0.333
ˈoː	-	0.333
ˈe	ˈɛ	0.333
ˈaː	ˈaʊ̯	0.333
s	t	0.333
b̥͡v̥	pʰ	0.333
d̥	t	0.319
#>	ç_#>	0.312
ˈeː	ˈɛ	0.286
ˈeː	-	0.286
ˈa	ˈa	0.286
ˈu	ˈʊ	0.273
ˈe	-	0.267
ˈo	ˈɔ	0.25
ʦ	t	0.25
ˈɒː	ˈɒː	0.231
ˈɒː	ˈaː	0.231
ɐ	-	0.231
ˈu	ˈʏ	0.227
ˈu	-	0.227
ˈɑ	ˈɒː	0.222
ˈeː	ˈae̯	0.214
ˈo	ˈuː	0.208
ˈo	ˈa	0.208
ˈiɐ̯	ˈɔʏ̯	0.2
ˈai̯	ˈyː	0.19
#>	v̥_#>	0.188
ˈuɐ̯	ˈɔʏ̯	0.182
ˈu	ˈɔ	0.182
f	p	0.182
s	z̥	0.179
ˈo	ˈʊ	0.167
ˈo	-	0.167
ɡ̊	ç	0.16
ɡ̊	k	0.16
ɡ̊	j	0.16
ŋ	n	0.158
ˈɒː	-	0.154
ˈoɐ̯	ˈɪ	0.154
ɐ	ˈoː_æ	0.154
ɐ	ˈaː	0.154
ˈeː	ˈeː	0.143
ˈai̯	ˈae̯	0.143
ʃ	s	0.143
a	n	0.143
ʋ	w	0.136
ˈe	ˈɛː	0.133
ˈe	ˈœ	0.133
ˈe	ˈiː	0.133
d̥	ɾ	0.128
ˈi	ˈiː	0.125
f	-	0.121
r	-	0.115
ˈaː	ˈɛɪ̯	0.111
a	m	0.107
ŋ	ɡ_n	0.105
ˈai̯	ˈʏ	0.095
b̥	-	0.095
ˈu	ˈuː	0.091
ˈi	ˈɛ	0.083
ˈi	ˈœː	0.083
l	l_ˈaʊ̯	0.083
n	-	0.082
ɡ̊	ɪ	0.08
ɡ̊	ɣ̊	0.08
ˈeː	ˈaɪ̯	0.071
m	b_m	0.071
m	-	0.071
a	-	0.071
