Limburgish	Swedish	probability
b	b	0.965
d	d	0.413
d	tʰ	0.337
d	-	0.162
d	ɕ	0.087
f	v	0.63
f	l_v	0.266
f	m	0.104
i	ɔ	1.0
j	-	0.618
j	a	0.165
j	l	0.086
j	tː	0.083
k	k	0.329
k	kʰ	0.287
k	ɡː	0.132
k	kː	0.115
k	ɕ	0.095
l	l	0.867
l	j	0.076
m	m	0.722
m	mː	0.219
m	-	0.059
n	n	0.772
n	nː	0.179
p	p	0.658
p	pː	0.169
p	-	0.07
p	v	0.066
s	s	0.677
s	sː	0.126
s	-	0.081
s	ɧ	0.053
t	t	0.379
t	d	0.287
t	tː	0.115
t	-	0.108
t	tʰ	0.097
v	f	0.712
v	v	0.194
v	-	0.088
w	l	1.0
x	ɡ	0.442
x	tː	0.224
x	s	0.116
x	ɡː	0.116
x	k	0.08
z	s	0.742
z	ɧ	0.258
ŋ	ŋː	0.555
ŋ	ŋ	0.445
ə	a	0.453
ə	ɛ	0.249
ə	-	0.184
ɡ	ɡː	0.679
ɡ	jː	0.321
ɣ	ɡ	0.766
ɣ	j	0.147
ɣ	-	0.057
ɦ	h	0.922
ɦ	-	0.078
ɪ	ɵ	0.679
ɪ	-	0.321
ʀ	r	0.784
ʀ	-	0.085
ʀ	ɳ	0.057
ʃ	ɧ	0.723
ʃ	s	0.2
ʃ	f	0.077
ˈaː	ˈa	0.387
ˈaː	ˈɑː	0.318
ˈaː	ˈoː	0.132
ˈaː	-	0.073
ˈaː	ˈæː	0.073
ˈeː	ˈʉː	0.234
ˈeː	ˈɛː	0.194
ˈeː	ˈyː	0.126
ˈeː	ˈɛ	0.084
ˈeː	ˈiː	0.082
ˈeː	j	0.078
ˈeː	ˈæː	0.077
ˈi	ˈoː	0.355
ˈi	ʊ	0.225
ˈi	ˈøː	0.137
ˈi	j	0.118
ˈi	ˈɪ	0.082
ˈi	ˈɛ	0.082
ˈiː	ˈiː	0.811
ˈiː	ˈeː	0.08
ˈiː	ˈʉː	0.065
ˈoː	ˈoː	0.393
ˈoː	ˈuː	0.338
ˈoː	ˈɵ	0.177
ˈoː	ˈɔ	0.093
ˈu	ˈøː	1.0
ˈuː	ˈʉː	0.932
ˈyː	ˈœː	0.384
ˈyː	ˈyː	0.22
ˈyː	ˈøː	0.196
ˈyː	ˈʏ	0.127
ˈæ	ˈa	0.521
ˈæ	ˈæː	0.268
ˈæ	ˈɔ	0.131
ˈæ	ˈɛ	0.08
ˈæː	ˈɛ	0.435
ˈæː	ˈa	0.341
ˈæː	ˈæ	0.223
ˈøː	ˈøː	0.283
ˈøː	ˈuː	0.167
ˈøː	ˈœː	0.167
ˈøː	ˈiː	0.158
ˈøː	ˈɵ	0.087
ˈøː	ˈœ	0.08
ˈøː	ˈyː	0.059
ˈœ	ˈʏ	0.749
ˈœ	ˈɑː	0.146
ˈœ	ˈʉː	0.106
ˈœi̯	ˈœ	0.367
ˈœi̯	ˈɵ	0.293
ˈœi̯	ˈʏ	0.255
ˈœi̯	ˈyː	0.085
ˈœː	ˈɔ	0.679
ˈœː	ˈʊ	0.321
ˈɑ	ˈɛ	0.459
ˈɑ	ˈa	0.291
ˈɑ	ˈæ	0.071
ˈɑ	ˈɑː	0.07
ˈɑ	ˈeː	0.068
ˈɑː	ˈa	0.976
ˈɒː	ˈoː	0.756
ˈɒː	ˈa	0.117
ˈɒː	ˈɑː	0.082
ˈɔ	ˈɵ	0.37
ˈɔ	ˈʊ	0.22
ˈɔ	ˈɔ	0.204
ˈɔ	ˈʉː	0.13
ˈɔ	ˈœ	0.076
ˈɔu̯	ˈʉː	0.355
ˈɔu̯	ˈʏ	0.355
ˈɔu̯	a	0.187
ˈɔu̯	ˈøː	0.104
ˈɔː	ˈɔ	0.348
ˈɔː	ˈœ	0.249
ˈɔː	ˈɵ	0.168
ˈɔː	ˈøː	0.146
ˈɔː	ˈɛː	0.09
ˈɛ	ˈiː	0.509
ˈɛ	ˈɛ	0.231
ˈɛ	ˈɪ	0.197
ˈɛ	ˈeː	0.063
ˈɛː	ˈeː	0.608
ˈɛː	ˈɛ	0.171
ˈɛː	ˈœ	0.126
ˈɛː	ˈʏ	0.094
ˈɛːi̯	ˈɛː	0.663
ˈɛːi̯	ˈɛ	0.179
ˈɛːi̯	ˈeː	0.158
ˈɪ	ˈøː	0.315
ˈɪ	ˈɵ	0.184
ˈɪ	ˈɪ	0.168
ˈɪ	ˈiː	0.111
ˈɪ	ˈɔ	0.111
ˈɪ	ˈɛ	0.11
ˈɪː	ˈɪ	0.717
ˈɪː	ˈɵ	0.117
ˈɪː	ˈʉː	0.082
ˈʊ	ˈʊ	1.0
ˈʊː	ˈuː	0.249
ˈʊː	ˈɵ	0.227
ˈʊː	ˈoː	0.161
ˈʊː	ˈœ	0.12
ˈʊː	ˈʊ	0.096
ˈʊː	-	0.09
ˈʏ	ˈɵ	0.679
ˈʏ	ˈɪ	0.321
ˈʏː	ˈɛ	0.653
ˈʏː	ˈɔ	0.212
ˈʏː	ˈʏ	0.135
β	v	0.762
β	-	0.209
