Teochew	Teochew	probability
⁵²	²¹⁴	1.0
⁴⁴	w_⁵⁵	1.0
⁴	⁵¹	1.0
ʨʰ	ʨʰ_j	1.0
ʔ_⁴	⁵¹	1.0
ʔ_²	⁵⁵	1.0
ʔ	-	1.0
ɡ	-	1.0
ŋ̍	w_ɑ	1.0
¹¹	⁵¹	1.0
³⁵_#>	⁵¹_#>	1.0
³⁵	²¹⁴	1.0
³³	⁵⁵	1.0
²⁴	w_³⁵	1.0
²¹³	⁵¹	1.0
ũ	a	1.0
u_j	i	1.0
tʰ	tʰ	1.0
p̚	-	1.0
pʰ	pʰ	1.0
õ	ŋ	1.0
o_ʔ	w_ɔ	1.0
o_k̚	u	1.0
o_j	i	1.0
n	l	1.0
l	l	1.0
h_w	f	1.0
h_u	y	1.0
ã	n	1.0
a_w	o_w	1.0
<#_m	<#_w	1.0
<#_l	<#_n	1.0
<#_k	<#	1.0
<#_i	<#_i	1.0
<#_h	<#	1.0
<#	<#_x	1.0
⁵⁵	³⁵	0.946
k̚	-	0.8
h	x	0.75
j	j	0.733
o_w	u	0.667
m	n	0.625
k	ʨ	0.583
w	w	0.52
ŋ	n	0.513
o	ɑ_w	0.5
kʰ	kʰ	0.5
ĩ	j_ɛ	0.5
ĩ	j	0.5
ẽ	ŋ	0.5
ẽ	i_ŋ	0.5
b	m	0.5
b	-	0.5
ŋ	ŋ	0.487
t	t	0.455
ʦʰ	ʈ͡ʂʰ	0.444
k	k	0.417
ʦ	ʦ	0.4
p	p	0.385
p	f	0.385
ɯ	ɑ	0.375
ɯ	-	0.375
m	m	0.375
e	a	0.35
ʦʰ	ʦʰ	0.333
ʣ	ʐ	0.333
ʣ	ɤ	0.333
ʣ	-	0.333
s	ʂ	0.333
s	ɕ	0.333
s	s	0.333
o_w	y	0.333
kʰ	ʨʰ	0.333
a	a	0.317
u	ə	0.308
u	u	0.308
ʦ	ʈ͡ʂ	0.3
ʦ	ʂ	0.3
²	⁵⁵	0.286
²	⁵¹	0.286
t	ʈ͡ʂʰ	0.273
t	ʈ͡ʂ	0.273
j	-	0.267
i	ʐ̩	0.263
i	i	0.263
ɯ	w_a	0.25
o	w_ɔ	0.25
o	u	0.25
h	f	0.25
u	a	0.231
p	pʰ	0.231
ʦʰ	-	0.222
²	³⁵	0.214
²	²¹⁴	0.214
i	-	0.211
w	-	0.2
k̚	o	0.2
a	ɑ	0.195
kʰ	-	0.167
i	z̩	0.158
u	y	0.154
e	ɤ	0.15
e	j	0.15
e	-	0.15
a	ʊ	0.146
a	-	0.122
w	o_w	0.12
i	ɻ	0.105
e	i	0.1
e	e_j	0.1
a	ɤ	0.098
w	o	0.08
w	e	0.08
a	j	0.073
⁵⁵	ŋ_³⁵	0.054
