Hessian	Hessian	probability
ˈɛ̃ː	ˈeː	1.0
ˈɑ̃i̯	ˈəi̯_n	1.0
ˈɑː_ɣ̊	ˈeː	1.0
ˈæː	-	1.0
ˈæ_ɐ	r	1.0
ˈõː	ˈɪ_n	1.0
ˈoĩ̯	ˈəi̯_n	1.0
ˈo_l	ˈuː	1.0
ˈĩː	ˈi_n	1.0
ˈi_m	ˈaːɪ̯	1.0
ˈẽː	-	1.0
ˈãː	ˈe_n	1.0
ˈa_l	ˈɑː	1.0
ʒ̊	-	1.0
ʃ_d̥	s_t	1.0
ʃ_#>	#>	1.0
ɣ̊_ə	k	1.0
ɣ̊	-	1.0
ɡ̊_ə	k	1.0
ɛː	i_n	1.0
ŋ	ŋ	1.0
z̥	t	1.0
v̥	p	1.0
t_ʀ	d_r	1.0
pʰ	pʰ	1.0
p	b	1.0
oː	ˈe	1.0
m	m	1.0
h	h	1.0
f_#>	#>	1.0
b̥_#>	f_#>	1.0
b̥	b	1.0
<#_ʀ	<#_r	1.0
#>	ˈiː_#>	1.0
l	l	0.921
ə	-	0.897
n	n	0.868
ʀ	r	0.857
t	t	0.818
ˈi	ˈɪ	0.8
kʰ	kʰ	0.8
æ̆	ə_r	0.783
ɡ̊	ɡ	0.778
ˈoː	-	0.75
s	s	0.727
ˈoi̯	-	0.714
ˈau̯	ˈu	0.7
f	f	0.69
ɐ	r	0.688
ˈɛː	ˈɛ	0.667
ˈe	ˈɛ	0.667
i_ʃ	i	0.667
v	w	0.655
ˈɔ	ˈo	0.6
ˈeː	ˈiː	0.6
d̥	d	0.596
ʦ	tʰ	0.583
x	-	0.571
ˈo	ˈʌ	0.5
ˈo	-	0.5
n_ə	n_d	0.5
n_ə	n	0.5
j	j	0.5
j	-	0.5
ˈu	ˈʌ	0.467
ˈiː	ˈi	0.462
ʃ	ʃ	0.45
ˈa	ˈe	0.444
k	ɡ	0.444
k	k	0.444
x	k	0.429
ʦ	t	0.417
ˈɛ	ˈɛ	0.4
ˈɔ	ˈɪ	0.4
ˈeː	ˈɑː	0.4
ˈiː	ˈiː	0.385
ˈuː	ˈø	0.375
ˈɑː	ˈeː_r	0.357
ˈɛː	ˈɛː	0.333
ˈe	ˈa	0.333
ˈai̯	ˈəi̯	0.333
ˈa	-	0.333
i_ʃ	e	0.333
ˈɑ	ˈɑː	0.308
ˈɑ	ˈa	0.308
ˈau̯	ˈuː	0.3
ˈɑː	ˈi	0.286
ˈoi̯	ˈi	0.286
ˈu	-	0.267
ˈuː	ˈɪ	0.25
ˈuː	ˈuː	0.25
ˈoː	ˈø	0.25
ʃ	s	0.25
d̥	θ	0.234
ˈɑ	ˈɪ	0.231
s	t	0.227
ˈai̯	ˈɪ	0.222
ˈai̯	ˈiː	0.222
ˈai̯	-	0.222
ˈa	ˈa	0.222
ɡ̊	j	0.222
ˈɑː	-	0.214
ˈaː	ˈɑː	0.214
ˈaː	ˈiː	0.214
ˈaː	ˈi	0.214
ˈaː	ˈe	0.214
ˈɛ	ˈɪ	0.2
ˈɛ	ˈa	0.2
ˈɛ	-	0.2
ˈi	-	0.2
ʃ	ç	0.2
kʰ	-	0.2
ɐ	-	0.188
t	θ	0.182
v	-	0.172
f	p	0.172
ˈɑ	-	0.154
ˈiː	-	0.154
ˈɑː	ˈɛ	0.143
ˈaː	-	0.143
ʀ	r_ˈɛ	0.143
ˈu	ˈø	0.133
ˈu	ˈi	0.133
æ̆	r	0.13
d̥	ð	0.128
ˈuː	ˈøː	0.125
ɐ	ˈɪ_r	0.125
k	ʤ	0.111
n	-	0.105
ə	n	0.103
v	v	0.103
ʃ	k	0.1
æ̆	-	0.087
l	l_d	0.079
v	ʍ	0.069
f	pʰ	0.069
f	f_ˈo	0.069
