Polish	Polish	probability
ʨ	ʨ	1.0
ʦ	ʦ	1.0
ʥ	ʥ	1.0
ʑ	z	1.0
ʐ	ʀʲ	1.0
ʈ͡ʂ	ʧ	1.0
ʂ	-	1.0
ɡ̊	x	1.0
ɡ_j	ɦ	1.0
ɡ	ɦ	1.0
ɛ_ɕ	e_s	1.0
ɛ_ŋ	u	1.0
ɛ_w̃	a	1.0
ɛ_#>	ɔ_#>	1.0
ɕ	s	1.0
ɔ_w̃	u	1.0
z̥	z̥	1.0
w	w	1.0
v_j	ɥ	1.0
t	t	1.0
s	s	1.0
r	ʀ	1.0
m_j	mʲ	1.0
l	l	1.0
k_j	x	1.0
j_a	e	1.0
j	-	1.0
f_j	ɥ	1.0
f	-	1.0
d̥	d̥	1.0
d	d	1.0
b̥	b̥	1.0
a_v	a_w	1.0
a_r	ɔ_ʀ	1.0
<#_ʐ	<#_ʒ	1.0
<#_ɔ	<#_w_ɔ	1.0
<#_t	<#_t	1.0
<#_j	<#_j	1.0
n	n	0.889
m	m	0.882
k	k	0.88
v	w	0.875
z	z	0.8
x	x	0.778
ɨ	ɪ	0.759
i	i	0.75
a	a	0.75
b	b	0.727
ɔ	ɔ	0.667
p	p	0.667
ʐ̊	ʒ̊	0.6
w̃	-	0.6
ɲ	ɲ	0.583
ɛ	ɛ	0.429
ɲ	-	0.417
ʐ̊	ʃ	0.4
w̃	u	0.4
u	ɔ	0.333
u	u	0.333
p	pʲ	0.333
#>	ʨ_#>	0.333
#>	ɔ_#>	0.333
#>	j_#>	0.333
b	bʲ	0.273
i	ɪ	0.25
ɨ	i	0.241
u	o	0.238
x	xʲ	0.222
ɛ	e	0.204
z	-	0.2
ɛ	ɔ	0.163
ɔ	o	0.157
a	e	0.154
v	ɥ	0.125
ɛ	-	0.122
k	kʲ	0.12
m	-	0.118
n	-	0.111
ɔ	-	0.098
u	-	0.095
ɔ	u	0.078
a	ɛ	0.058
