Asturian	Franco-Provençal	probability
θ_u	ʦ	1.0
ˈu_β	ˈo	1.0
ˈo_β	ˈy	1.0
ˈo_ŋ	ˈɔ̃	1.0
ˈo_n	ˈɔ̃	1.0
ˈi_ŋ	ˈĩ	1.0
ˈe_β	f	1.0
ˈe_u	ˈa	1.0
ˈe_n	ˈɛ̃	1.0
ˈe_j	ˈɛː	1.0
ˈa_ɣ	ˈa	1.0
ˈa_ŋ	ˈɑ̃	1.0
ˈa_ð	ˈaː	1.0
ˈa_n	ˈɑ̃	1.0
ʧ	-	1.0
ʃ_e	ɔ̃	1.0
ɾ_ˈe	ð_ˈi	1.0
ɾ_t	ʁ	1.0
ɡ	ɡ	1.0
ŋ	-	1.0
w_a	a	1.0
r	-	1.0
p	p	1.0
n_ʃ	ɛ̃	1.0
k_ˈa	ʃ	1.0
k_a	ʃ	1.0
j_ˈe	ˈe	1.0
i	-	1.0
f	f	1.0
e_s	e	1.0
e_m	y	1.0
b_j	v	1.0
a_s	ɑː	1.0
a_n	ɑ̃	1.0
n	n	0.909
w	w	0.846
d	d	0.839
w_ˈe	ˈoː	0.838
ʝ	ʎ	0.809
ʎ	l	0.796
t	t	0.763
ˈa_ɾ	ˈa	0.758
m	m	0.758
ɾ_a	ʁ_a	0.75
l	l	0.702
a	a	0.685
ð	-	0.682
b	v	0.67
ʃ	-	0.653
s	-	0.65
ˈu	w	0.623
ɾ	ʁ	0.615
ɲ	-	0.552
ˈa_l	ˈoː	0.541
u	o	0.535
ɣ	-	0.51
o	o	0.507
ˈe_ɾ	ʁ_ə	0.502
ˈe_ɾ	ʁ	0.498
β	v	0.489
k	ʃ	0.477
ˈa_l	ˈɑː	0.459
ˈa	ˈa	0.449
ɲ	ɲ	0.448
ˈi	ˈi	0.432
j	-	0.396
ˈu	ˈu	0.377
j	j	0.373
o	-	0.355
θ	z	0.352
s	s	0.35
ʃ	ʒ	0.347
e	-	0.333
b	b	0.33
e	ə	0.319
k	k	0.313
ˈi	ˈe	0.311
l	-	0.298
ˈo	ˈɔ	0.294
ɣ	ɡ	0.277
a	ə	0.271
β	-	0.253
ˈe	ˈɛ	0.251
ɾ_a	a	0.25
ˈa_ɾ	ˈɛː_ʁ	0.242
m	-	0.242
θ	ʃ	0.24
θ	s	0.239
ˈe	ˈɛː	0.239
t	-	0.237
j	ˈɛː	0.231
ɣ	v	0.213
ˈo	ˈo	0.202
ð	ð	0.202
u	-	0.201
ʝ	-	0.191
ɾ	ð	0.188
e	ɛ	0.188
β	b	0.17
θ	-	0.169
ˈe	ˈe	0.163
w_ˈe	ˈu	0.162
ˈa	ˈe	0.161
d	-	0.161
ʎ	-	0.158
w	ˈø	0.154
ˈe	ˈi	0.144
ˈi	-	0.142
o	ɔ	0.138
u	ˈe	0.132
u	a	0.132
ð	d	0.116
ˈi	ˈe_n	0.115
k	t	0.112
ˈo	w_ˈe	0.111
ˈo	ˈu	0.099
k	-	0.099
ˈe	-	0.095
n	-	0.091
β	f	0.088
ˈa	j	0.087
ˈo	-	0.086
ˈo	w_ˈɛː	0.083
ˈa	ˈɑ̃	0.081
e	o	0.081
ˈa	ˈaː	0.08
e	e	0.08
ɾ	-	0.076
ɾ	ð_ə	0.068
ˈa	ˈɑː	0.066
ˈo	ˈoː	0.063
ˈo	w	0.063
ˈe	ð	0.063
ɾ	ˈe	0.053
