Old High German	Swabian	probability
ˈɑ_n	ˈaː	1.0
ˈu_n	n	1.0
ˈou̯	ˈao̯	1.0
ˈeː	ˈae̯	1.0
ʦː	ʦ	1.0
ʦ	ʦ	1.0
ɡ_r	ɡ_ʁ	1.0
ɡ	ɡ	1.0
ɛ_r	ʌ	1.0
ɛ_h	eə̯	1.0
ə_n	a	1.0
ɑ_r	ʌ	1.0
ɑ_n	a	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
x_s	ɡ_s	1.0
u_n	a	1.0
u	-	1.0
tː	d	1.0
s̻ː	s	1.0
s̻	s	1.0
s_k	ʃ	1.0
r_n	ʕ_n	1.0
r_i	ʌ	1.0
p͡f	b̥͡f	1.0
p	b	1.0
oː	-	1.0
o	-	1.0
nː	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
kː_ɑ	ɡ	1.0
kː	ɡ	1.0
kʰ	kʰ	1.0
k	ɡ	1.0
j	j	1.0
i_ŋ	i	1.0
i	-	1.0
fː	f	1.0
f	f	1.0
eː_n	a	1.0
e_n	a	1.0
d	d	1.0
t	d	0.972
b	b	0.942
ɑ	-	0.882
ˈuː	ˈao̯	0.816
w	ʋ	0.811
h	h	0.761
ˈei̯	ˈɔe̯	0.759
ˈo	ˈo	0.747
ˈɑ	ˈa	0.701
ˈiː	ˈəi̯	0.664
n	n	0.659
ˈoː	ˈoː	0.65
ˈiu̯	ˈəi̯	0.613
ˈɛ	ˈɛ	0.59
ˈe	ˈɛ	0.59
x	ç	0.572
s	s	0.567
ˈɑː	ˈɔː	0.555
xː	ç	0.552
r	ʕ	0.526
ˈuo̯	ˈuə̯	0.507
ˈio̯	ˈiə̯	0.487
ˈu	ˈo	0.48
xː	x	0.448
s	ʃ	0.433
x	x	0.428
ˈi	ˈi	0.41
ˈe	-	0.41
ˈiu̯	ˈae̯	0.387
ˈu	ˈu	0.382
ˈoː	ˈeː	0.35
ˈiː	ˈae̯	0.336
r	ʁ	0.31
ˈio̯	ˈi	0.257
ˈio̯	-	0.257
ˈi	ˈe	0.239
h	-	0.239
ˈɑː	-	0.23
ˈɑː	n	0.214
ˈɛ	ˈɛː	0.211
n	-	0.196
w	-	0.189
ˈuː	-	0.184
ˈi	ˈɪ	0.169
r	ʌ	0.164
ˈei̯	-	0.162
ˈo	ˈoː	0.159
ˈuo̯	ˈɔə̯	0.157
n	a	0.146
ˈu	ˈi	0.138
ˈɛ	-	0.133
ˈɑ	ˈaː	0.133
ˈuo̯	ˈuː	0.112
ˈuo̯	ˈiə̯	0.112
ˈuo̯	-	0.112
ˈo	ˈɔ	0.095
ˈɑ	ˈɔː	0.094
ˈi	ˈɛ	0.093
ˈi	ˈiː	0.088
ɑ	ɪ	0.084
ˈei̯	ˈae̯	0.079
ˈɑ	ˈɛ	0.072
ˈɛ	ˈeː	0.066
b	-	0.058
