Ripuarian	Luxembourgish	probability
b	b	1.0
f	f	1.0
h	h	1.0
m	m	1.0
v	v	1.0
z	z	1.0
ɐ	ɐ	1.0
ɪ	ə	1.0
ʃ	ʃ	1.0
ʦ	ʦ	1.0
ˈʏ	ˈi	1.0
n	n	0.871
ˈaː	ˈaː	0.741
ˈeː	ˈi	0.11
ˈuː	ˈəʊ̯	0.491
ˈœ	ˈe	0.281
s	s	0.92
t	d̥	0.052
v̥	v̥	0.942
ˈaʊ̯	ˈaː	0.552
ˈeɪ̯	ˈeː	0.782
ˈeː	ˈiː	0.082
ˈoː	ˈoː	0.192
ˈyː	ˈɑɪ̯	0.22
ˈøː	ˈɜɪ̯	0.792
ˈɛ	ˈə	0.072
ˈɛː	ˈɛː_ɐ	0.2
ɕ	ɕ	0.813
ɡ̊	ɡ̊	0.113
ˈa	ˈɑ	0.453
ˈiː	ˈiː	0.053
ˈiː	ˈɜɪ̯	0.593
ˈuː	ˈæːʊ̯	0.323
ˈɪ	ˈɑ	0.603
d̥	t	0.244
k	k	0.44
n	-	0.084
x	χ	0.724
ə	ə	0.144
ʋ	w	0.284
ˈa	t_#>	0.34
ˈe	ˈə	0.264
ˈeː	ˈɜɪ̯	0.334
ˈeː	ˈeː	0.474
ˈo	ˈo	0.714
ˈoː	ˈu	0.224
ˈyː	ˈiː	0.244
ˈɔ	ˈuə̯	0.084
ˈɛ	ˈiə̯	0.404
j	j	0.055
j	ɡ	0.945
ŋ	n	0.495
ŋ	ŋ	0.505
ˈɛ	ˈɛ	0.395
ˈɛː	ˈeː	0.165
d̥	d̥	0.756
k	kʰ	0.56
p	f	0.066
p	p	0.816
x	ɕ	0.276
ə	ə_n	0.856
ʀ	ʀ	0.976
ʋ	v	0.716
ˈo	ˈɔ	0.286
ˈoː	ˈoː_ə	0.106
ˈoː	ˈaː	0.26
ˈuː	ˈɑʊ̯	0.186
ˈyː	ˈɜɪ̯	0.536
ˈɔ	ˈo	0.916
ˈɛː	ˈiə̯	0.16
ˈɛː	ˈiː	0.476
l	l	0.97
p	pʰ	0.117
ɕ	ɕ_t	0.187
ɡ̊	d̥	0.887
d	d	0.978
s	ʃ	0.08
t	t	0.948
v̥	ə_v̥	0.058
ˈa	ˈaː	0.208
ˈaʊ̯	ˈɑʊ̯	0.448
ˈe	ˈe	0.148
ˈe	ˈɑ	0.588
ˈeɪ̯	ˈæːɪ̯	0.218
ˈoː	ˈʊ	0.08
ˈøː	ˈi	0.208
ˈɪ	ˈə	0.208
ˈaː	ˈuə̯	0.259
ˈiː	ˈæːɪ̯	0.319
ˈoː	ˈuː	0.059
ˈoː	ˈəʊ̯	0.079
ˈœ	ˈə	0.719
ˈɛ	ˈæ	0.129
ˈɪ	ˈæːɪ̯	0.189
