Romansch	Romansch	probability
ˈɛ_w	ˈe_u	1.0
ˈɔ_m	ˈa_m	1.0
ˈuɔ̯	ˈo	1.0
ˈu_t	ˈo	1.0
ˈiə̯	j_ˈe	1.0
ˈeː_#>	ˈe_#>	1.0
ˈeː	-	1.0
ˈe	ˈe	1.0
ˈa_w	ˈo	1.0
ˈa_j	ˈe	1.0
ʧ	θ	1.0
ʦ_#>	#>	1.0
ʒ	b	1.0
ʃ_#>	θ_#>	1.0
ɲ	ɲ	1.0
z	-	1.0
w_r	ɾ_u	1.0
t_#>	#>	1.0
r_ˈeː	ɾ_ˈe	1.0
r_ə	ɾ_a	1.0
p	p	1.0
o	o	1.0
m	m	1.0
l_ə	ʎ_a	1.0
k_r	k_ɾ	1.0
k_l	ʎ	1.0
a	a	1.0
<#_ˈe	<#_ˈe	1.0
<#_ʧ	<#_θ	1.0
<#_ʥ	<#	1.0
<#_ə	<#_a	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
ˈaː	ˈa	0.905
ʨ	k	0.862
k	k	0.857
r	ɾ	0.821
s_#>	s_#>	0.818
ˈuː	ˈo	0.8
ˈiː	ˈi	0.8
n	n	0.795
ə	a	0.79
t	t	0.769
<#_l	<#_ʎ	0.769
n_#>	ŋ_#>	0.75
ˈu	ˈo	0.741
f	f	0.737
l	l	0.727
ˈa	ˈa	0.719
w_n	n	0.714
b	b	0.714
ˈi	ˈi	0.692
ʎ	ʝ	0.692
ˈɛː	ˈe	0.667
ˈɔː	w_ˈe	0.667
ʥ	-	0.667
v	b	0.64
#>	u_#>	0.636
e	-	0.6
<#_ˈa	<#_ˈa	0.6
<#	<#_ɡ	0.6
ˈɔ	w	0.571
s	s	0.571
u	o	0.556
ˈɛ	j_ˈe	0.526
ŋ	ŋ_ɡ	0.5
ŋ	ŋ	0.5
d	d	0.48
ʃ	e_s	0.467
ɡ	ɡ	0.455
u	-	0.444
ˈɔ	ˈa	0.429
ə_r	ˈe_ɾ	0.4
ə_r	ɾ	0.4
e	e	0.4
<#_ˈa	<#	0.4
<#	<#_ɡ_w	0.4
i	u	0.375
i	e	0.375
ˈɛ	ˈe	0.368
w	-	0.364
v	β	0.36
d	ð	0.36
ˈɛː	ˈe_ʎ	0.333
ˈɔː	-	0.333
ʥ	ʃ	0.333
ʃ	θ	0.333
ˈi	ˈu	0.308
w_n	ŋ	0.286
s	ˈe_s	0.286
ɡ	ɣ	0.273
ɡ	-	0.273
w	ˈo	0.273
#>	e_#>	0.273
j	w	0.267
n_#>	#>	0.25
i	-	0.25
<#_l	<#	0.231
ˈuː	-	0.2
ˈiː	ˈu	0.2
ʃ	ʃ	0.2
ə_r	ɾ_u	0.2
j	ˈe	0.2
j	ʎ	0.2
j	-	0.2
ˈu	ˈu	0.185
w	β	0.182
w	u	0.182
s_#>	#>	0.182
l	ʎ	0.182
ə	e	0.177
d	-	0.16
f	ˈe_β	0.158
ʎ	ʎ	0.154
ʎ	-	0.154
t	ð	0.154
s	s_ˈa	0.143
k	k_w	0.143
b	β	0.143
b	-	0.143
j	j	0.133
n	ɲ	0.128
ˈɛ	j	0.105
f	β	0.105
ˈaː	-	0.095
ˈa	ˈe	0.094
l	-	0.091
t	t_j	0.077
n	-	0.077
ˈu	-	0.074
ʨ	t_u	0.069
ʨ	-	0.069
#>	a_#>	0.065
ˈa	j	0.062
ˈa	e	0.062
ˈa	a	0.062
r	ɾ_u	0.054
r	r	0.054
