Russian	Slovak	probability
b	b	1.0
bʲ	b	1.0
d	d	1.0
m	m	1.0
mʲ	m	1.0
n	n	1.0
nʲ	ɲ	1.0
pʲ	p	1.0
rʲ	r	1.0
s	s	1.0
sʲ	s	1.0
t	t	1.0
vʲ	ʋ	1.0
x	x	1.0
z	z	1.0
zʲ	z	1.0
ɐ	ˈɔ	1.0
ɡ	ɦ	1.0
ʂ	ʃ	1.0
ʊ	ˈu	1.0
ʐ	ʒ	1.0
ˈɛ	ˈɛ	1.0
ˈɨ	ˈi	1.0
j	j	0.051
lʲ	ʎ	0.531
ə	ɛ	0.1
ˈe	ˈɛ	0.671
ɪ	ˈɛ	0.392
ɫ	d_ɫ	0.062
ʦ	k	0.492
ˈɵ	ˈɛ	0.102
dʲ	d	0.383
ə	a	0.3
ɪ	ɪ̯ˈɛ	0.083
ˈu	ˈuː	0.473
k	k	0.944
r	r	0.94
v	v	0.334
ɪ	ɔ	0.124
ɪ	ɛ	0.154
ʨ	ʦ	0.194
ˈa	ˈa	0.334
ˈe	ɛ	0.174
ˈo	ˈa	0.244
p	f	0.175
p	p	0.825
tʲ	t	0.125
tʲ	c	0.875
ˈe	ɪ̯ˈɛ	0.155
ˈi	-	0.165
ˈi	ˈi	0.835
ˈo	ɔ	0.105
ˈo	ʊ̯ˈɔ	0.105
k	x	0.056
r	ˈr̩	0.06
v	ʋ	0.666
ə	ɔ	0.436
ʨ	ʧ	0.806
ˈa	a	0.666
dʲ	ɟ	0.617
ɪ	-	0.247
ʦ	ʦ	0.47
ˈu	ˈu	0.527
ˈo	ˈɔ	0.468
ˈɵ	-	0.898
j	iː	0.949
lʲ	l	0.469
ə	-	0.149
ɫ	l	0.239
ɫ	ɫ	0.699
