Proto-Germanic	Proto-Germanic	probability
ˈɑi̯_w	j	1.0
ˈɑ_x	ˈɔː	1.0
ˈɑ_s	ˈɛ_r	1.0
ˈɑ_l	ˈɔː	1.0
ˈu_r	ˈʉə̯	1.0
ˈĩː	ˈɪ	1.0
ˈiu̯	ˈʏː	1.0
ˈeː	ˈæː	1.0
ˈe_w	ˈɪː	1.0
ˈe_k	ˈɪː_ɣ	1.0
ɸ_ˈu	f	1.0
ɣ_ɑ	ɣ	1.0
ɡʷ	ɡ	1.0
ɡ	ɡ	1.0
ɔːu̯	ɑ	1.0
ɔː	-	1.0
ɑ̃_#>	#>	1.0
ɑː	-	1.0
ɑi̯	ˈʉː	1.0
ɑ_z_#>	#>	1.0
ɑ_n_ɑ̃_#>	#>	1.0
ŋ_k	kː	1.0
ŋ	ŋ	1.0
z_i	a	1.0
z_#>	#>	1.0
z	-	1.0
x_t	tː	1.0
w_ˈu	ˈʉə̯	1.0
tː	-	1.0
t_s_#>	t_#>	1.0
t_i	t	1.0
s_w	s	1.0
s_l	l̥	1.0
s_#>	#>	1.0
s	s	1.0
r_ˈu	r_ˈʏ	1.0
r_ɑ	r	1.0
r_ð	r_d	1.0
r_#>	r_#>	1.0
pː	-	1.0
nː	nː	1.0
n_θ	nː	1.0
n_s	sː	1.0
n_i	n	1.0
n_#>	#>	1.0
mː	mː	1.0
m	m	1.0
lː	lː	1.0
k_ɑ	k	1.0
k_s	k	1.0
k_i	ʨ	1.0
jː	ɡː	1.0
j	-	1.0
e	-	1.0
d	d	1.0
b	b	1.0
a	-	1.0
<#_ˈɑ	<#_ˈɛ	1.0
<#_ɣ	<#_ɡ	1.0
<#_x	<#	1.0
<#_w	<#	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_ɽ	1.0
<#_k	<#_kʰ	1.0
#>	ɑ_#>	1.0
i	-	0.963
r	r	0.955
u	-	0.857
β	v	0.846
ɸ	f	0.842
ð	ð	0.833
ɑ_n	ɑ	0.824
ˈeu̯	j_ˈʉːə̯	0.818
ɔ̃ː	ɑ	0.818
t	t	0.806
ˈuː	ˈɑːu̯	0.8
ɣ_j	ɡː	0.8
p	p	0.8
w	w	0.75
ˈiː	ˈɑːi̯	0.727
ˈi	ˈɪ	0.692
l_ɑ	ɽ	0.667
n	n	0.647
ɛː	ɛ	0.6
ˈu	ˈʉ	0.581
ˈɛː	-	0.571
ˈɑu̯	ˈœː	0.571
ˈɑi̯	ˈiːe̯	0.562
ˈɔː	ˈʉːə̯	0.556
l	ɽ	0.538
ɣ	ɣ	0.533
ɔːː	ɑ	0.5
ɔːː	-	0.5
xʷ	w	0.5
xʷ	-	0.5
x	-	0.5
kʷ	kʰ	0.5
kʷ	-	0.5
k	ʨ	0.474
ˈɛː	ˈɔː	0.429
θ	tʰ	0.423
k	k	0.421
ɛː	-	0.4
ˈɑ	ˈɑ	0.341
ˈe	-	0.333
l_ɑ	ɛ_ɽ	0.333
ˈe	j	0.3
x	k	0.3
ˈɑu̯	ˈoː	0.286
ˈɔː	ˈyːœ̯	0.278
ˈɑ	ˈɑː	0.268
ɣ	-	0.267
w	-	0.25
θ	ð	0.231
l	l	0.231
ˈuː	ˈʉː	0.2
ˈe	ˈæ	0.2
ɣ_j	ʥː	0.2
ɣ	ʥ	0.2
ɑ	ʉ	0.2
ɑ	ɔ	0.2
ɑ	ɑ	0.2
ɑ	k	0.2
ɑ	-	0.2
x	j	0.2
p	pʰ	0.2
θ	-	0.192
ˈi	ˈɪː	0.192
ˈɑi̯	ˈɛ	0.188
ˈiː	ˈɪː	0.182
ˈeu̯	ˈʉːə̯	0.182
ɔ̃ː	ʉ	0.182
ɑ_n	ɔ	0.176
ˈɔː	-	0.167
ð	-	0.167
ˈu	ˈʉː	0.161
ɸ	v	0.158
θ	d	0.154
β	-	0.154
n	ɛ_n	0.147
ˈɑu̯	ˈæː	0.143
u	ʉ	0.143
ˈu	-	0.129
ˈɑi̯	ˈɔː	0.125
ˈɑi̯	j	0.125
n	-	0.118
ˈi	-	0.115
l	ˈʉːə̯	0.115
l	-	0.115
k	kː	0.105
ˈɑ	ˈɔ	0.098
t	tː	0.097
t	-	0.097
ˈiː	ˈɪ̃ː	0.091
n	nː	0.088
ˈɑ	ˈɛ	0.073
ˈɑ	ˈo	0.073
ˈe	ˈɛː	0.067
ˈe	ˈɛ	0.067
ˈu	ˈʉə̯	0.065
ˈu	ˈo	0.065
