East Franconian	Yiddish	probability
β	b	1.0
ˈʊ	ˈʊ	1.0
ˈɪ	ˈɪ	1.0
ˈɛː	ˈɛ	1.0
ˈɛ_ɐ	ˈa_ʀ	1.0
ˈɛ	ˈɛ	1.0
ˈɘ	-	1.0
ˈɒː	ˈa	1.0
ˈoː	ˈɔ	1.0
ˈiː_ɐ	ˈɪ_ʀ	1.0
ˈaʊ̯	ˈɔɪ̯	1.0
ˈaɪ̯	ˈaɪ̯	1.0
ˈa	ˈa	1.0
ʦ	ʦ	1.0
ʃ_d̥	s_t	1.0
ɪ	-	1.0
ɣ	ɡ	1.0
ə	n	1.0
ɐ_n	ʀ_n	1.0
ç	χ	1.0
z̥_n	s_n	1.0
x	χ	1.0
v̥_n	f_n	1.0
v	v	1.0
r	ʀ	1.0
l_ˈoː	ɫ_ˈɔ	1.0
l	ɫ	1.0
kʰ	k	1.0
j	j	1.0
i	ɪ	1.0
h	h	1.0
f	f	1.0
eː	n	1.0
d̥_r	d_ʀ	1.0
b̥͡v̥	p	1.0
ʃ	ʃ	0.942
b̥	b	0.924
ˈɔ	ˈɔ	0.893
n	n	0.89
ˈiː	ˈɪ	0.888
ˈɒ	ˈa	0.867
z̥	z	0.843
m	m	0.796
ˈeː	ˈɛ	0.785
d̥	t	0.744
ɣ̊	ɡ	0.626
ˈuː	ˈʊ	0.605
ˈaː	ˈɛɪ̯	0.604
s	z	0.586
ɾ	t_ə	0.574
ɡ̊	k	0.555
ɐ	ʀ	0.476
ɡ̊	ɡ	0.445
ɾ	d_ə	0.426
ŋ	ŋ	0.415
s	s	0.414
a	ə_n	0.408
ˈaː	ˈɔɪ̯	0.396
ˈuː	ˈɔɪ̯	0.395
ŋ	ɡ_n	0.381
ɣ̊	-	0.374
ɐ	ə_ʀ	0.357
a	-	0.34
d̥	d	0.256
ˈeː	-	0.215
a	ɡ	0.204
ɐ	ʀ_ə	0.166
z̥	s_ə	0.157
ŋ	n	0.125
ˈiː	ˈɛɪ̯	0.112
m	b_n	0.112
ˈɔ	ˈʊ	0.107
ˈɒ	ˈɔ	0.093
m	n	0.092
ŋ	ŋ_ɡ	0.079
n	-	0.079
b̥	-	0.076
ʃ	ʧ	0.058
