Languedocien	Auvergnat	probability
#>	ŋ_#>	1.0
<#_a	<#_ɒ	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʤ	<#_ʤ	1.0
<#_ˈɔ	<#_w	1.0
a_n	ã_ŋ	1.0
a_w	œ	1.0
d	dʲ	1.0
d_ɾ	d_ʀ	1.0
f	fʲ	1.0
i	i	1.0
j_ɾ	j_ʀ	1.0
k_#>	k_#>	1.0
k_ɔ	ʧ_ɔ	1.0
l_ɔ	l_ɔ	1.0
l_ˈa	l_ˈa	1.0
m	m	1.0
m_#>	m_#>	1.0
n	n	1.0
n_#>	ŋ_#>	1.0
n_ɔ	n_ɔ	1.0
s_#>	s_#>	1.0
s_k	ɪ_k	1.0
s_p	ɪ_p	1.0
t_ɔ	t_ɔ	1.0
t_ɾ	t	1.0
t_ˈa	t_ˈa	1.0
u_l	u_l	1.0
w	w	1.0
w_#>	w_#>	1.0
ð	d	1.0
ŋ	ŋ	1.0
ɔ_#>	ɔ	1.0
ɣ	ɡ	1.0
ɣ_ɔ	ʤ_ɔ	1.0
ɥ	-	1.0
ɥ_ˈɔ	j_ˈɔ	1.0
ɥ_ˈɛ	ˈœ	1.0
ɲ	ɲ	1.0
ɲ_#>	ɲ	1.0
ɾ	ʀ	1.0
ɾ_ɔ	ʀ_ɔ	1.0
ɾ_ˈa	ʀ_ˈa	1.0
ɾ_ˈe	ʀ_ˈɪ	1.0
ʀ	ʀ	1.0
ʀ_#>	ʀ_#>	1.0
ʀ_t	ʀ_#>	1.0
ʎ_ɔ	ʎ_ɔ	1.0
ʤ	ʤ	1.0
ʤ_e	ʧ_ə	1.0
ʦ_#>	s_#>	1.0
ʧ	j_#>	1.0
ˈa_#>	ˈa_#>	1.0
ˈa_j	ˈe_j	1.0
ˈa_w	ˈa_w	1.0
ˈi	ˈi	1.0
ˈu_#>	ˈu_#>	1.0
ˈɔ	w_ˈɔ	1.0
ˈɛ_n	ˈẽ_ŋ	1.0
ˈɛ_s	ˈe	1.0
ˈɛ_ʀ	ˈe_ʀ	1.0
<#_t	<#_t	0.571
s	ɪ	0.1
<#_b	<#_vʲ	0.222
<#_e	<#_ə	0.2
<#_s	<#_s	0.842
a	a	0.182
e_#>	e	0.2
l_#>	l_#>	0.652
t	ʧ	0.182
<#_k	<#_ʧ	0.483
<#_l	<#_ʎ	0.333
l	ʎ	0.133
l	-	0.133
l	l	0.733
u	-	0.333
ˈy	ˈỹ	0.3
e	ɒ	0.214
t	-	0.364
z	-	0.4
ˈa	ˈã	0.44
ˈi_#>	ˈĩ_ŋ_#>	0.4
<#_ˈa	<#	0.25
<#_ˈa	<#_ˈa	0.75
<#_ˈe	<#_z	0.5
<#_ˈe	<#_ˈɪ	0.5
j	ˈe_j	0.5
j	-	0.5
j_ˈɛ	ˈe	0.5
j_ˈɛ	ˈe_j	0.5
m_b	m	0.5
m_b	m_b	0.5
s	s	0.35
s	-	0.55
t	t	0.455
ˈe	-	0.105
ˈu	w_ˈɔ̃	0.15
ˈu	w	0.15
ˈɛ	ˈa	0.125
ˈɛ	ˈɛ	0.125
ˈɛ	ˈe	0.75
β	v	0.25
β	b	0.75
e	ə	0.786
z	z	0.6
ˈa	ˈa	0.56
ˈi_#>	ˈi_#>	0.6
<#_b	<#_b	0.37
<#_b	<#_v	0.407
<#_k	<#_k	0.517
<#_l	<#_l	0.667
u	u	0.667
ˈe	ˈɪ	0.737
ˈu	ˈu	0.7
ˈy	ˈy	0.7
<#_e	<#	0.8
<#_s	<#	0.158
a	ɒ	0.818
e_#>	ə	0.8
l_#>	ʎ_#>	0.348
ˈe	ˈɪ̃	0.158
<#_t	<#_ʧ	0.429
