Icelandic	German	probability
a	ə	0.632
a	n	0.207
a	-	0.16
b̥	b	0.948
b̥	-	0.055
c	k	0.66
c	ç	0.161
cʰ	kʰ	1.0
d̥	tʰ	0.711
d̥	t	0.236
d̥	ʦ	0.051
d̥_ʏ	t	1.0
f	f	0.945
f	p	0.058
f_j	f	0.121
h	h	1.0
j	-	0.884
j	x	0.057
j	ˈeː	0.055
j_a	ə	0.495
j_ˈoːu̯	ˈiː	0.616
j_ˈoːu̯	ˈeː	0.375
j_ˈuː	ˈiː	1.0
j_ˈɛ	ˈɛ	1.0
k	ç	0.474
k	k	0.282
k	x	0.167
kʰ	kʰ	0.619
kʰ	-	0.369
l	l	1.0
l_ʏ	l	1.0
l̥	l	1.0
l̥_ʏ	l	1.0
m	m	0.983
m	n	0.036
m_ʏ	m	1.0
n	n	0.869
n	-	0.082
n	t	0.047
nː	n	0.638
nː	n_d	0.226
nː	l	0.13
n̥	n	0.547
n̥	-	0.337
n̥	m	0.084
p	f	0.758
p	-	0.13
p_ʏ	f	1.0
r	ʁ	0.526
r	ɐ	0.417
r	-	0.042
r	z	0.034
r_j	ʁ	1.0
r_t	ɐ	1.0
rː̥	ɐ	0.495
r̥	-	0.798
r̥	ɐ	0.177
s	z	0.382
s	ʃ	0.319
s	s	0.263
s	ç	0.032
s	ʁ	0.03
s_c	ʃ	1.0
s_k	ʃ	1.0
sː	s	1.0
t	t	0.362
t	s	0.283
t	-	0.182
t	ʦ	0.164
t_n̥	n	1.0
t_ʏ	s	1.0
tʰ	ʦ	1.0
u	ɪ	0.284
u	ˈa	0.284
v	v	0.726
v	b	0.218
v	-	0.047
v	f	0.034
v_ʏ	p	0.71
v_ʏ	f	0.209
x	ç	0.495
ç	h	1.0
ð	t	0.727
ð	d	0.129
ð	-	0.101
ð	s	0.045
ð_ʏ	t	1.0
ŋ	ŋ	0.798
ŋ	ɪ	0.111
ŋ	-	0.085
ɑu̯	ɪ	0.495
ɛ	-	1.0
ɛː	ɪ	0.495
ɟ̊	ɡ	0.805
ɟ̊	-	0.156
ɟ̊ː	k	0.121
ɡ̊	ɡ	0.447
ɡ̊	-	0.41
ɡ̊	k	0.085
ɡ̊	ç	0.054
ɡ̊_a	ə	1.0
ɡ̊_ʏ	ç	1.0
ɡ̊ː	k	0.871
ɡ̊ː	-	0.052
ɣ	ɡ	0.53
ɣ	ç	0.173
ɣ	ʦ	0.173
ɣ_ʏ	k	1.0
ɪ	ɐ	0.573
ɪ	-	0.352
ɪ	ə	0.062
ɲ	ŋ	0.495
ʏ	-	0.901
ʏ	ə	0.092
ʰk	ŋ_k	0.667
ʰk	k	0.333
ʰp	f	0.574
ʰp	p͡f	0.284
ʰt	x_t	0.496
ʰt	s	0.194
ʰt	-	0.133
ʰt	v	0.127
ʰt_ʏ	t	1.0
ˈa	ˈa	0.712
ˈa	ˈɛ	0.186
ˈa	ˈaʊ̯	0.062
