Icelandic	German	probability
a	ə	0.632
a	n	0.207
a	-	0.16
b̥	b	0.948
b̥	-	0.055
c	k	0.66
c	ç	0.161
cʰ	kʰ	1.0
d̥	tʰ	0.711
d̥	t	0.236
d̥	ʦ	0.051
d̥_ʏ	t	1.0
f	f	0.944
f	p	0.058
f_j	f	0.494
h	h	0.984
h	-	0.036
j	-	0.81
j	ˈiː	0.105
j	x	0.052
j	ˈeː	0.044
j_a	ə	0.494
j_ˈoːu̯	ˈeː	1.0
j_ˈɛ	ˈɛ	1.0
k	ç	0.474
k	k	0.282
k	x	0.167
kʰ	kʰ	0.619
kʰ	-	0.369
l	l	1.0
l̥	l	1.0
m	m	0.967
m	n	0.044
m_ʏ	m	1.0
n	n	0.87
n	-	0.081
n	t	0.047
nː	n	0.638
nː	n_d	0.226
nː	l	0.13
n̥	n	0.653
n̥	-	0.245
n̥	m	0.092
p	f	0.715
p	-	0.198
p_ʏ	f	1.0
r	ʁ	0.531
r	ɐ	0.427
r	z	0.034
r	-	0.034
r_j	ʁ	1.0
r_t	ɐ	1.0
rː̥	ɐ	0.494
r̥	-	0.856
r̥	ɐ	0.134
s	z	0.381
s	ʃ	0.338
s	s	0.266
s	ʁ	0.03
s_c	ʃ	1.0
s_k	ʃ	1.0
sː	s	1.0
t	-	0.295
t	t	0.273
t	s	0.257
t	ʦ	0.161
t_r	s	0.121
t_ʏ	s	0.626
t_ʏ	t	0.372
tʰ	ʦ	1.0
u	ˈa	0.284
u	ɪ	0.284
v	v	0.718
v	b	0.216
v	-	0.046
v	p͡f	0.033
v	f	0.033
v_ʏ	p	0.71
v_ʏ	f	0.208
x	ç	0.494
ç	h	1.0
ð	t	0.733
ð	d	0.122
ð	-	0.103
ð	s	0.043
ð_ʏ	t	1.0
ŋ	ŋ	0.798
ŋ	ɪ	0.111
ŋ	-	0.085
ɑu̯	ɪ	0.494
ɛ	-	1.0
ɛː	ɪ	0.494
ɟ̊	ɡ	0.694
ɟ̊	-	0.226
ɟ̊	k	0.057
ɡ̊	-	0.449
ɡ̊	ɡ	0.399
ɡ̊	k	0.1
ɡ̊	ç	0.05
ɡ̊_a	ə	1.0
ɡ̊_ʏ	ç	0.699
ɡ̊_ʏ	k	0.149
ɣ	ɡ	0.683
ɣ	ʦ	0.223
ɣ_ʏ	k	0.683
ɣ_ʏ	ç	0.223
ɪ	ɐ	0.573
ɪ	-	0.352
ɪ	ə	0.062
ɲ	ŋ	0.494
ʏ	-	0.956
ʏ	ə	0.048
ʏ_r̥	ɐ	0.728
ʏ_r̥	ə	0.267
ʰk	ŋ_k	0.667
ʰk	k	0.333
ʰp	f	0.574
ʰp	p͡f	0.284
ʰt	x_t	0.339
ʰt	x	0.295
ʰt	s	0.194
ʰt	v	0.127
ʰt_ʏ	t	1.0
ˈa	ˈa	0.703
ˈa	ˈɛ	0.184
ˈa	ˈaʊ̯	0.061
