Westphalian	Old English	probability
aɪ̯	iːy̯	1.0
b	b	0.893
b	t	0.059
d	d	0.644
d	θ	0.311
f	f	0.906
f	-	0.051
h	h	1.0
j	j	1.0
k	ʧ	0.509
k	k	0.344
l	l	0.653
l	ɫ	0.28
m	m	0.841
m	-	0.061
n	n	0.869
n	-	0.076
p	p	0.833
p	pː	0.136
r	r	0.877
r	r̥	0.059
s	s	0.972
t	t	0.714
t	d	0.123
t	r_t	0.062
t	θ	0.062
v	f	0.431
v	v	0.427
v	-	0.103
w	w	0.849
w	ʍ	0.151
x	ɡ	0.485
x	j	0.263
x	ç	0.174
x	x	0.066
z	z	1.0
ç	j	0.552
ç	x	0.176
ç	ʤ	0.133
ç	ç	0.109
ŋ	ŋ	0.777
ŋ	ɣ	0.124
ŋ	j	0.099
ɐ	r	0.384
ɐ	e	0.322
ɐ	o	0.149
ɐ	d_e	0.067
ɐ	ˈeː	0.054
ə	e	0.59
ə	ɑ	0.271
ə	lː	0.087
ə	u	0.052
ɡ	ɣ	0.31
ɡ	ʤː	0.271
ɡ	j	0.262
ɡ	ʤ	0.156
ɣ	ɣ	1.0
ɪ	i	1.0
ʃ	ʃ	0.569
ʃ	s	0.372
ʃ	ʃː	0.058
ˈa	ˈɑ	0.45
ˈa	ˈæɑ̯	0.194
ˈa	ˈæ	0.149
ˈa	ˈoː	0.06
ˈa	ˈu	0.06
ˈaɪ̯	ˈeːo̯	0.562
ˈaɪ̯	ˈiːy̯	0.282
ˈaɪ̯	ˈɑː	0.103
ˈaʊ̯	ˈæːɑ̯	0.644
ˈaʊ̯	ˈeːo̯	0.11
ˈaʊ̯	ˈuː	0.089
ˈaʊ̯	ˈoː	0.058
ˈaʊ̯	ˈeː	0.056
ˈaː	ˈæ	0.825
ˈaː	ˈæɑ̯	0.129
ˈeː	ˈɑː	0.932
ˈiə̯	ˈi	1.0
ˈiɛ̯	w	0.437
ˈiɛ̯	ˈe	0.242
ˈiɛ̯	j	0.185
ˈiɛ̯	ˈeːo̯	0.136
ˈiː	ˈiː	0.671
ˈiː	ˈeː	0.2
ˈiː	ˈeːo̯	0.077
ˈiː	ˈiːy̯	0.051
ˈoː	ˈoː	0.944
ˈoː	ˈɑː	0.056
ˈuə̯	ˈu	0.816
ˈuə̯	ˈoː	0.184
ˈuː	ˈuː	0.838
ˈuː	ˈyː	0.162
ˈuːə̯	ˈo	0.422
ˈuːə̯	ˈu	0.344
ˈuːə̯	ˈy	0.196
ˈyə̯	nː	1.0
ˈyː	ˈeːo̯	0.295
ˈyː	ˈæː	0.203
ˈyː	ˈyː	0.196
ˈyː	ˈi	0.166
ˈyː	ˈiːy̯	0.095
ˈyːœ̯	ˈo	1.0
ˈø	ˈeːo̯	0.551
ˈø	ˈɛ	0.449
ˈøː	ˈeː	0.601
ˈøː	ˈiːy̯	0.351
ˈœː	ˈiːy̯	0.506
ˈœː	ˈo	0.494
ˈɒː	ˈɑ	1.0
ˈɔ	ˈo	0.567
ˈɔ	ˈæɑ̯	0.318
ˈɔ	ˈæːɑ̯	0.115
ˈɔː	ˈoː	0.296
ˈɔː	ˈæː	0.234
ˈɔː	ˈæːɑ̯	0.206
ˈɔː	ˈɑ	0.147
ˈɔː	ˈɑː	0.096
ˈɛ	ˈe	0.495
ˈɛ	ˈi	0.333
ˈɛ	ˈeːo̯	0.073
ˈɛ	ˈɑ	0.05
ˈɛː	ˈeo̯	0.69
ˈɛː	ˈe	0.189
ˈɛː	ˈæ	0.121
ˈɪ	ˈi	0.801
ˈɪ	ˈeː	0.069
ˈɪə̯	ˈeo̯	0.401
ˈɪə̯	ˈiy̯	0.322
ˈɪə̯	ˈo	0.175
ˈɪə̯	ˈi	0.103
ˈɪɛ̯	ˈe	0.52
ˈɪɛ̯	ˈeo̯	0.375
ˈɪɛ̯	w	0.053
ˈɪɛ̯	ˈi	0.051
ˈʊ	ˈu	0.882
ˈʊ	ˈuː	0.118
ˈʏ	ˈy	0.531
ˈʏ	ˈo	0.236
ˈʏ	ˈyː	0.133
ˈʏ	ˈeo̯	0.1
