East Franconian	English	probability
β	v	1.0
ˈɛː	ˈiː	1.0
ˈɛ_ɐ	ˈɑː	1.0
ˈɘ	-	1.0
ˈɒː	ˈeɪ̯	1.0
ˈɒ_x	ˈaɪ̯	1.0
ˈɒ_l	ˈɑː	1.0
ˈuː_ɣ̊	ˈaʊ̯	1.0
ˈoː_ŋ	ˈeɪ̯	1.0
ˈiː_ŋ	ˈaɪ̯	1.0
ˈa	ˈɑː	1.0
ʦ_n	t	1.0
ʃ_l	s_l	1.0
ʃ_d̥	s_t	1.0
ɾ	ð	1.0
ɪ	ɪ	1.0
ɣ	ˈeɪ̯	1.0
ɡ̊_s	k_s	1.0
ɡ̊_n	ʤ	1.0
ç_d̥	t	1.0
x_d̥	t	1.0
x	k	1.0
v̥	p	1.0
r_ˈaɪ̯	ɜː	1.0
n_s	s	1.0
n_a	n	1.0
l_n	ɫ	1.0
j	j	1.0
i	-	1.0
h	h	1.0
eː	ˈiː_n	1.0
d̥_ˈɪ	θ_ˈɪ	1.0
d̥_ˈuː	d_ˈe	1.0
d̥_n	d	1.0
b̥͡v̥	pʰ	1.0
b̥	b	1.0
a	-	1.0
m	m	0.9
v	w	0.881
r	ɹ	0.864
f	f	0.852
ˈɔ_ɐ	ˈɔː	0.774
ˈʊ	ˈɐ	0.767
ˈaɪ̯	ˈaɪ̯	0.716
ŋ	ŋ	0.715
kʰ	kʰ	0.713
ɡ̊	ɡ	0.702
z̥	t	0.674
l	l	0.672
d̥	d	0.666
ʃ	ʃ	0.661
ˈɪ	ˈɪ	0.65
ˈaʊ̯	ˈaʊ̯	0.624
ˈɛ	ˈe	0.603
s	s	0.603
ç	-	0.58
n	n	0.568
ʦ	tʰ	0.559
ɐ	ə	0.543
ˈoː	-	0.537
ˈiː	ˈiː	0.5
ˈɒ	ˈæ	0.451
ʦ	t	0.441
n	-	0.432
ç	ʧ	0.42
ˈaː	ˈəʊ̯	0.416
ˈɛ	-	0.397
s	t	0.397
ˈeː	-	0.383
ˈaʊ̯	ˈɐ	0.376
ˈɔ	ˈʊ	0.375
ˈɔ	ˈɒ	0.375
ʃ	s	0.339
ˈeː	ˈɪ	0.331
l	ɫ	0.328
z̥	z	0.326
ˈaː	ˈiː	0.31
ɡ̊	k	0.298
kʰ	ʧ	0.287
ˈeː	ˈe	0.286
ŋ	k	0.285
d̥	θ	0.265
ˈɪ	ˈaɪ̯	0.257
ˈɔ	-	0.25
ˈuː	ˈɐ	0.242
ˈʊ	-	0.233
ˈɔ_ɐ	ˈɜː	0.226
ɐ	ˈɔː	0.216
ˈuː	-	0.205
ˈuː	ˈuː	0.194
ˈiː	ˈɪ	0.189
ˈoː	ˈiː	0.182
ˈiː	ˈəʊ̯	0.172
ˈuː	ˈʊ	0.16
ˈaː	ˈe	0.143
ˈoː	ˈeɪ̯	0.141
ˈoː	ˈɑː	0.14
r	ɹ_ˈe	0.136
ˈaː	-	0.131
ˈɒ	ˈɒ	0.127
ˈɒ	ˈe	0.127
ˈaɪ̯	-	0.125
ˈɒ	ˈɑː	0.121
v	-	0.119
ˈuː	ˈe	0.106
ɐ	ˈɜː	0.106
m	v	0.1
ˈuː	ˈaʊ̯	0.094
ˈɪ	-	0.093
ˈɒ	ˈəʊ̯	0.088
ˈɒ	ˈɔː	0.088
ˈaɪ̯	ˈɪ	0.083
f	v	0.081
ˈaɪ̯	ˈiː	0.076
ˈiː	-	0.071
ˈiː	ˈaɪ̯	0.068
f	p	0.068
d̥	t	0.052
ɐ	-	0.051
