Valencian	Ligurian	probability
b	b	1.0
f	f	1.0
j	-	1.0
z	-	1.0
ŋ	ŋ	1.0
ɐ	a	1.0
ɣ	ɡ	1.0
ʃ	ʃ	1.0
β	v	1.0
t	t_u	0.211
w	ʒ_e	0.291
ʎ	ʤ_u	0.11
ˈe	-	0.101
ˈɒ	ˈuː	0.061
ˈɒ	ˈɔ	0.11
ˈɒ	ˈøː	0.131
r	-	0.302
t	-	0.12
t	t	0.472
w	e	0.12
w	u	0.182
ɲ	n	0.2
ɾ	j	0.062
ɾ	r	0.572
ʎ	ʤ	0.12
ʎ	l	0.662
ʤ	ʤ	0.402
ˈo	ˈu_ŋ	0.182
ˈu	ˈy	0.342
ˈæ	ˈɛː	0.242
d	d	0.943
p	ʧ	0.073
s	s	0.813
u	-	0.063
v	v	0.943
ð	t	0.33
ˈe	ˈe	0.63
ˈi	ˈeː	0.133
ˈi	ˈiː	0.273
ˈo	ˈu	0.303
a	a	0.604
m	-	0.094
s	-	0.154
u	u	0.554
w	-	0.144
w	w	0.264
ɡ	ɡ	0.734
ˈe	ˈɛ	0.144
ˈi	ˈi	0.574
ˈu	ˈu	0.194
e	u	0.15
i	j	0.175
i	i	0.825
k	ɡ	0.105
l	-	0.535
m	m_e	0.125
n	ŋ	0.485
n	n	0.515
t	t_e	0.165
ɞ	a	0.825
ˈa	ˈɛː	0.055
ˈa	ˈaː	0.215
ˈa	ˈa	0.485
ˈæ	ˈeː	0.155
a	-	0.396
k	k	0.746
u	w	0.276
ɡ	-	0.266
ˈa	-	0.166
ˈe	ˈa	0.086
ˈɒ	ˈɔː	0.36
d	-	0.057
e	e	0.787
l	l	0.387
p	p	0.927
v	-	0.057
ð	-	0.67
ɜ	a	0.777
ɞ	e	0.067
ɾ	-	0.367
ˈo	ˈy	0.107
ˈo	ˈuː	0.407
ˈu	ˈø	0.147
k	ɡ_u	0.08
l	j	0.078
m	m	0.758
u	j	0.108
ɜ	u	0.18
ɞ	u	0.108
ɲ	ɲ	0.8
ʎ	l_u	0.108
ʤ	z	0.598
ˈu	ˈyː	0.318
ˈæ	ˈe	0.568
ˈɒ	ˈu	0.308
r	j	0.089
r	r	0.609
ˈa	ˈa_ŋ	0.079
