Ukrainian	Kashubian	probability
ˈɪ_j	i	1.0
ˈu	ˈõ	1.0
ˈi_ɫ	ˈa_w	1.0
ˈi_ɦ	ˈu_k	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʍ	w	1.0
ʋʲ	v_j	1.0
ʋ	v	1.0
ʃ	ʃ	1.0
ɛ	ɛ	1.0
ɔ_#>	ɔ_#>	1.0
zʲ	z	1.0
z	z	1.0
x	x	1.0
w	f	1.0
tʲ	ʦ	1.0
t_e	ʦ	1.0
t_#>	t_#>	1.0
sʲ	s	1.0
s	s	1.0
rʲ	ʐ	1.0
pʲ	p	1.0
p	p	1.0
n_e	n	1.0
n	n	1.0
m	m	1.0
lʲ	l	1.0
kʲ	k	1.0
k_ˈɪ	ʧ	1.0
k	k	1.0
e_j	i	1.0
bʲ	b	1.0
b_#>	p_#>	1.0
<#_ɫ	<#_l	1.0
<#_w	<#_v	1.0
<#_j	<#_j	1.0
<#	<#_j	1.0
ɫ	w	0.833
ɦ	ɡ	0.8
r	r	0.783
ˈɛ	ˈɛ	0.778
t	t	0.75
ˈɑ	a	0.647
j	i	0.643
d	d	0.632
nʲ	ɲ	0.571
ˈɪ	ˈə	0.545
ʒ	ʒ	0.5
ʒ	ʃ	0.5
b	p	0.5
b	b	0.5
nʲ	n	0.429
i	-	0.429
ɐ	a	0.385
j	j	0.357
ɔ	-	0.318
ˈɔ	u̯ˈɛ	0.294
i	ˈɞ	0.286
i	e	0.286
ˈɪ	ˈi	0.273
ɔ	u̯ˈɛ	0.273
t	ʦ	0.25
ˈi	ˈa	0.238
ˈɔ	ˈɞ	0.235
ˈɔ	ˈɛ	0.235
ɐ	ˈɞ	0.231
ɐ	ˈa_ŋ	0.231
ɔ	ˈɔ	0.227
ˈɛ	-	0.222
d	ʣ	0.211
ɦ	-	0.2
ˈi	ˈɔ	0.19
ˈɪ	ə	0.182
ɔ	u̯ɛ	0.182
ɫ	l	0.167
d	t	0.158
ɐ	a_ŋ	0.154
ˈi	ˈu	0.143
ˈi	ˈe	0.143
r	ʐ	0.13
ˈɔ	ˈɔ	0.118
ˈɔ	-	0.118
ˈɑ	ˈɛ	0.118
ˈɑ	ˈa_ŋ	0.118
ˈɑ	ˈa	0.118
ˈi	ˈɛ	0.095
ˈi	ɛ	0.095
ˈi	u̯ˈɛ	0.095
r	ʂ	0.087
