Swabian	East Low German	probability
ˈɪ	ˈɪ	1.0
ˈɛː	ˈɛ	1.0
ˈɔe̯	ˈae̯	1.0
ˈɔ_ʕ	ˈuː_æ	1.0
ˈɔ	ˈɔ	1.0
ˈuː	ˈaʊ̯	1.0
ˈuə̯_#>	ˈaʊ̯_#>	1.0
ˈo_l	ˈʊ_l	1.0
ˈeə̯_#>	n_#>	1.0
ˈe_ŋ	ˈɪ_ŋ	1.0
ˈe	ˈœ	1.0
ˈae̯_#>	ˈae̯_#>	1.0
ˈa_ʕ	ˈaː	1.0
ˈa_l	ˈa_l	1.0
ʦ	t	1.0
ʕ_#>	æ_#>	1.0
ʕ	ˈaː	1.0
ʌ_#>	æ_#>	1.0
ʃ_#>	ʃ_#>	1.0
ʃ	s	1.0
ʁ_ˈoː	r_ˈaʊ̯	1.0
ʁ_ˈae̯	r_ˈʏ	1.0
ʁ_a	æ_n	1.0
ʁ	r	1.0
ɪ	ɪ	1.0
ç_d	ç	1.0
ç_#>	k_#>	1.0
x_#>	k_#>	1.0
x	x	1.0
t_#>	t_#>	1.0
s_a	t_n	1.0
n_d	n	1.0
n_#>	n_#>	1.0
n	n	1.0
m	m	1.0
l_#>	l_#>	1.0
l	l	1.0
e	-	1.0
b̥͡f	p	1.0
b_#>	f_#>	1.0
b	m	1.0
<#_ˈɛ	<#_ˈɛ	1.0
<#_ˈɔe̯	<#_ˈae̯	1.0
<#_ˈi	<#_ˈɪ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʦ	<#_tʰ	1.0
<#_ʋ	<#_v	1.0
<#_ʃ	<#_ʃ	1.0
<#_ʁ	<#_r	1.0
<#_s	<#_z	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_kʰ	1.0
<#_j	<#_j	1.0
<#_h	<#_h	1.0
<#_f	<#_f	1.0
<#_d	<#_d	1.0
<#_b	<#_b	1.0
ˈao̯	ˈuː	0.75
ɡ_#>	ç_#>	0.75
ŋ	ŋ	0.75
#>	n_#>	0.75
ˈo	ˈʊ	0.727
ˈuə̯	ˈaʊ̯	0.714
ˈiə̯	ˈae̯	0.714
ˈa	ˈa	0.684
ˈɔː	ˈɒː	0.667
ˈi	ˈɪ	0.667
f_#>	p_#>	0.667
ˈəi̯	ˈiː	0.615
<#_ɡ	<#_ɡ	0.615
ˈaː	ˈɒː	0.6
f	m	0.6
ˈoː	ˈɒː	0.571
d_#>	t_#>	0.548
a_#>	n_#>	0.513
ʋ	w	0.5
ʋ	v	0.5
s_#>	t_#>	0.5
s_#>	s_#>	0.5
a_#>	#>	0.487
d_#>	d_#>	0.452
ˈu	ˈʏ	0.429
ˈoː	ˈaʊ̯	0.429
d	ɾ	0.412
ˈaː	ˈaː	0.4
f	p	0.4
<#_ɡ	<#_j	0.385
ɡ	k	0.353
d	t	0.353
ˈɔː	ˈoː	0.333
f_#>	f_#>	0.333
ɡ	ŋ	0.294
ˈɛ	ˈɛ	0.286
ˈuə̯	ˈɔʏ̯	0.286
ˈu	ˈʊ	0.286
ˈu	-	0.286
ˈiə̯	ˈɔʏ̯	0.286
ˈo	ˈɔ	0.273
ˈao̯	ˈaʊ̯	0.25
ɡ_#>	x_#>	0.25
ŋ	ŋ_k	0.25
#>	ç_#>	0.25
ɡ	ɡ	0.235
ˈəi̯	ˈyː	0.231
ˈa	ˈɒː	0.211
ˈi	ˈœː	0.167
ˈi	ˈiː	0.167
ˈəi̯	ˈɪ	0.154
ˈɛ	ˈʏ	0.143
ˈɛ	ˈɛː	0.143
ˈɛ	ˈiː	0.143
ˈɛ	ˈa	0.143
ˈɛ	-	0.143
ɡ	-	0.118
d	d	0.118
d	-	0.118
ˈa	ˈɔ	0.105
