Eastern Lombard	Eastern Lombard	probability
ˈy	ˈu	1.0
ˈu_n	ˈɔ_n	1.0
ˈi_d	j	1.0
ˈa_r	ˈɛ_r	1.0
ˈa_d	ˈɛ_r	1.0
ˈa_#>	ˈe_#>	1.0
ʋ	v	1.0
ɲ	ɲ	1.0
ø	-	1.0
y	u	1.0
w_a	a	1.0
u	o	1.0
r_t	r_t	1.0
r_#>	#>	1.0
p_#>	p_#>	1.0
p	p	1.0
n	n	1.0
m_#>	m_#>	1.0
m	m	1.0
l_ˈɛ	l_ˈe	1.0
k_w	k	1.0
k_#>	k_#>	1.0
f_ˈɛ	f_ˈɛ	1.0
e_#>	#>	1.0
d	d	1.0
b	b	1.0
a	a	1.0
<#_ˈɛ	<#_v_ˈɛ	1.0
<#_ˈe	<#_v_ˈi	1.0
<#_ʤ	<#_ɡ_l	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_v	1.0
f	f	0.929
r	r	0.923
z	ʒ	0.875
ˈa	ˈa	0.854
l	l	0.853
t	t	0.85
ɡ	ɡ	0.75
ŋ	ŋ	0.75
e	e	0.724
ˈɔ	ˈɔ	0.714
ˈi	ˈi	0.704
ˈɛ	ˈɛ	0.667
#>	n_#>	0.611
i	e	0.6
o	o	0.533
k	k	0.525
j	l	0.5
j	j	0.5
ˈo	ˈo	0.444
s	s	0.444
k	ʨ	0.425
ˈu	ˈo_w	0.421
ˈø	w_ˈɛ	0.4
ʧ	t	0.4
ʧ	d_l	0.4
ʤ	ʥ	0.4
ʤ	d_l	0.4
i	i	0.4
ˈe	ˈe	0.37
ˈu	ˈo	0.368
ˈø	ˈu	0.35
ˈɛ	ˈe	0.333
ˈi	ˈe_j	0.296
s	ʃ	0.292
ˈo	ˈɔ	0.278
ɡ	-	0.25
ŋ	-	0.25
#>	e_#>	0.222
ˈu	ˈo_n	0.211
e	-	0.207
ʧ	k_l	0.2
ʤ	ʤ	0.2
o	e	0.2
ˈe	ˈɛ_n	0.185
ˈe	j_ˈɛ	0.185
ˈo	ˈa_w	0.167
#>	a_#>	0.167
ˈø	-	0.15
ˈe	ˈi	0.148
l	-	0.147
ˈa	ˈɛ	0.146
ˈɔ	w_ˈɛ	0.143
ˈɔ	w	0.143
o	u	0.133
o	-	0.133
z	-	0.125
ˈo	w	0.111
ˈe	ˈɛ	0.111
ˈø	ˈɔ	0.1
s	ʦ	0.097
r	-	0.077
t	d	0.075
t	-	0.075
f	v_e	0.071
s	ʨ	0.069
s	ʧ	0.069
e	j	0.069
