Yiddish	Luxembourgish	probability
a	-	1.0
b	b	0.645
b	v	0.21
b	ə_f	0.079
d	d	0.491
d	t	0.307
d	-	0.202
f	f	0.902
f	ə_f	0.081
h	h	0.978
j	j	1.0
k	kʰ	0.494
k	k	0.338
k	ɕ	0.115
k	-	0.053
l	l	0.991
m	m	0.964
n	n	0.867
n	-	0.068
n	ŋ	0.064
p	p	1.0
s	s	0.81
s	ʃ	0.165
t	t	0.66
t	d	0.296
v	v	0.729
v	w	0.231
z	z	0.627
z	s	0.373
ŋ	ŋ	0.978
ə	ɐ	0.759
ə	ə	0.206
ɛ	-	0.756
ɛ	ɐ	0.244
ɡ	ɡ	0.371
ɡ	-	0.311
ɡ	k	0.215
ɪ	ə	0.622
ɪ	e	0.378
ʀ	ʀ	0.458
ʀ	ɐ	0.455
ʀ	-	0.087
ʃ	ʃ	0.973
ʦ	ʦ	1.0
ʧ	ʃ	1.0
ˈa	ˈaː	0.46
ˈa	ˈɑ	0.346
ˈa	ˈiː	0.061
ˈa	ˈæ	0.054
ˈa	ˈɛː	0.054
ˈaɪ̯	ˈæːɪ̯	0.58
ˈaɪ̯	ˈɑɪ̯	0.188
ˈaɪ̯	ˈə	0.076
ˈaɪ̯	ˈe	0.076
ˈɔ	ˈoː	0.266
ˈɔ	ˈaː	0.148
ˈɔ	ˈuː	0.146
ˈɔ	ˈo	0.141
ˈɔ	ˈu	0.119
ˈɔ	ˈɑ	0.067
ˈɔ	ˈəʊ̯	0.059
ˈɔ	ˈuə̯	0.055
ˈɔɪ̯	ˈaː	0.309
ˈɔɪ̯	ˈəʊ̯	0.195
ˈɔɪ̯	ˈæːʊ̯	0.166
ˈɔɪ̯	ˈɑʊ̯	0.095
ˈɛ	ˈɛː	0.162
ˈɛ	ˈə	0.152
ˈɛ	ˈiə̯	0.14
ˈɛ	ˈi	0.126
ˈɛ	ˈɜɪ̯	0.1
ˈɛ	ˈɛ	0.079
ˈɛ	ˈeː	0.078
ˈɛ	ˈe	0.063
ˈɛɪ̯	ˈeː	0.63
ˈɛɪ̯	ˈɜɪ̯	0.205
ˈɛɪ̯	ˈoː	0.147
ˈɪ	ˈɑ	0.319
ˈɪ	ˈə	0.206
ˈɪ	ˈɜɪ̯	0.146
ˈɪ	ˈiː	0.134
ˈɪ	ˈe	0.116
ˈʊ	ˈo	0.41
ˈʊ	ˈu	0.201
ˈʊ	ˈʊ	0.126
ˈʊ	ˈɔ	0.077
ˈʊ	ˈuː	0.059
χ	ɕ	0.771
χ	χ	0.198
