Proto-Germanic	Proto-Germanic	probability
θ_ɑ̃	d̥	1.0
ˈɑː	-	1.0
ˈɑi̯_w	ˈeː	1.0
ˈɑi̯	ˈaɪ̯	1.0
ˈɑ_x	ˈɛː	1.0
ˈĩː	ˈaɪ̯	1.0
ˈiː	ˈaɪ̯	1.0
ˈiu̯	ˈɔʏ̯	1.0
ˈeː	ˈiː	1.0
ɸ	f	1.0
ɣ_ɑ	ɡ̊	1.0
ɣ_j	k	1.0
ɡʷ	ə	1.0
ɡ	-	1.0
ɛː	ɐ	1.0
ɔ̃ː_#>	#>	1.0
ɔ̃ː	ə	1.0
ɔːu̯	-	1.0
ɔː_θ	a	1.0
ɑ̃_#>	#>	1.0
ɑː_n	n	1.0
ɑi̯	ˈa_n	1.0
ɑ_z_#>	#>	1.0
ŋ	ŋ	1.0
z_#>	#>	1.0
z	-	1.0
x_t	ç_t	1.0
x_s	k_s	1.0
x_r	ʁ	1.0
wː	ˈaʊ̯	1.0
tː	-	1.0
t_ɑ	s	1.0
t_s	s	1.0
sː	s	1.0
s_ɑ̃	z̥	1.0
s_t	s_t	1.0
s_l	ʃ_l	1.0
s_k	ʃ	1.0
s_#>	#>	1.0
r_ˈi	ʁ_ˈaɪ̯	1.0
r_ɔː	ɐ	1.0
r_ɑ	ɐ	1.0
r_ð	ɐ_t	1.0
r_u	ɐ	1.0
r_n	ɐ_n	1.0
r_i	ɐ	1.0
r_#>	#>	1.0
pː	-	1.0
p_ɑ	f	1.0
p	f	1.0
nː	n	1.0
n	n	1.0
mː	m	1.0
lː	l	1.0
l_ɑ	l	1.0
l_d	l_t	1.0
l	l	1.0
kː	k	1.0
kʷ	-	1.0
k_i	x	1.0
jː	ˈaɪ̯	1.0
iː	-	1.0
e_x	eː	1.0
e_r	ɐ	1.0
d_u	d̥	1.0
<#_ˈɑ	<#_ˈa	1.0
<#_ɣ	<#_ɡ	1.0
<#_x	<#	1.0
<#_t	<#_ʦ	1.0
<#_r	<#_ʁ	1.0
<#_p	<#_p͡f	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
#>	ə_#>	1.0
m	m	0.939
b	b	0.917
j	-	0.909
ð	t	0.9
ˈuː	ˈaʊ̯	0.857
w	v	0.853
ˈeu̯	ˈiː	0.833
u	-	0.789
ɣ	ɡ	0.786
ɑ_n	n	0.781
ˈi	ˈɪ	0.759
ˈɛː	ˈaː	0.75
x	h	0.719
i	-	0.71
θ	d	0.7
d	tʰ	0.652
ˈɔː	ˈuː	0.647
xʷ	v	0.6
ɔːː	ə	0.583
s	z	0.581
β	b	0.571
ˈɑ	ˈa	0.56
r	ʁ	0.525
ɔː	ə	0.5
k	ç	0.5
r	ɐ	0.475
ˈe	ˈɛ	0.467
ɑ	-	0.444
ˈɑu̯	ˈaʊ̯	0.438
β	b̥	0.429
ɔːː	-	0.417
xʷ	-	0.4
ˈu	ˈɔ	0.383
ˈɑu̯	ˈoː	0.375
t	t	0.375
t	s	0.375
ɑ	ç	0.333
k	k	0.333
ˈu	ˈʊ	0.319
ɔː	-	0.3
s	ʃ	0.279
d	d̥	0.261
ˈɑ	ˈaː	0.26
ˈɛː	ˈoː	0.25
t	ʦ	0.25
ˈɔː	ˈyː	0.235
i	ə	0.226
ɑ	ɐ	0.222
ɑ_n	ə_n	0.219
ɣ	-	0.214
u	ə	0.211
ˈe	ˈeː	0.2
ɔː	ɐ	0.2
ˈɑu̯	ˈøː	0.188
x	x	0.188
θ	d̥	0.167
ˈeu̯	-	0.167
ˈe	ˈɪ	0.167
k	x	0.167
ˈu	ˈʏ	0.149
w	-	0.147
ˈuː	ˈuː	0.143
ˈi	-	0.138
ˈɑ	ˈɛ	0.12
ˈɔː	-	0.118
ˈu	ˈoː	0.106
ˈi	ˈiː	0.103
ˈe	ˈiː	0.1
ð	-	0.1
x	-	0.094
s	z̥	0.093
j	j	0.091
d	d	0.087
b	-	0.083
θ	t	0.067
θ	-	0.067
ˈe	-	0.067
i	ɐ	0.065
m	n	0.061
ˈɑ	ˈeː	0.06
