Lower Sorbian	Slovak	probability
a	a	1.0
b	b	1.0
bʲ	b	1.0
d	d	1.0
e	ɛ	1.0
j	j	1.0
kʲ	k	1.0
m	m	1.0
mʲ	m	1.0
n	n	1.0
p	p	1.0
pʲ	p	1.0
rʲ	r	1.0
s	s	1.0
t	t	1.0
x	x	1.0
z	z	1.0
ɛ	ɛ	1.0
ɡ	ɦ	1.0
ɲ	ɲ	1.0
ʂ	ʃ	1.0
ʐ	ʒ	1.0
ʑ	ɟ	1.0
ʨ	c	1.0
ˈi	ˈi	1.0
ˈɨ	ˈi	1.0
w	ˈɫ̩	0.211
ɔ	ɛ	0.071
ɕ	-	0.141
ɕ	c	0.81
ˈu	ˈuː	0.171
ˈɛ	-	0.261
ˈɪ	ˈæ	0.141
k	x	0.142
l	l	0.602
ʦ	ʦ	0.662
ˈa	-	0.102
i	iː	0.893
v	v	0.123
ɨ	iː	0.713
ˈe	ˈɛ	0.773
ˈɔ	ˈa	0.373
ˈɔ	ˈɔ	0.433
vʲ	ʋ	0.904
ˈa	ˈa	0.474
r	ˈr̩	0.075
r	r	0.925
ɨ	i	0.25
ˈɔ	ˈɛ	0.195
vʲ	v	0.096
w	ɫ	0.66
ˈa	ˈaː	0.106
ˈa	ˈɛ	0.26
ˈɛ	ˈɔ	0.696
ˈɪ	ɪ̯ˈɛ	0.376
ˈɪ	ˈɛ	0.396
i	i	0.107
v	ʋ	0.877
ˈe	ˈr̩	0.227
ˈɪ	ˈa	0.087
k	k	0.858
ʦ	ʧ	0.338
ˈa	ɪ̯ˈɛ	0.058
l	ɫ	0.119
l	ʎ	0.279
w	l	0.129
ɔ	ɔ	0.929
ˈu	ˈu	0.829
