Campidanese	Campidanese	probability
β_ɛ	v	1.0
β_j	ʤ	1.0
β	-	1.0
ˈo_ɣ	ˈɛ	1.0
ˈa_i	ˈe_r	1.0
ʦ	-	1.0
ʒ_i	j_s	1.0
ɾ_ˈo	ˈɔ_r	1.0
ɾ_u	ˈɛ_r	1.0
ɲ	ɲ	1.0
ɛ	-	1.0
ɖː_u	l	1.0
ɖː	l	1.0
ɔ̆	-	1.0
ŋ	ŋ	1.0
ð_u	j_t	1.0
ð_i_#>	#>	1.0
ð_a	ə	1.0
w	w	1.0
ŭ	-	1.0
u_#>	#>	1.0
t_a	t_ə	1.0
t	t	1.0
s_ˈɛ	s_ˈɔ	1.0
s_ˈi	s_ˈɛ	1.0
r	r	1.0
nː	n	1.0
n_u	j_n	1.0
n_a	n_ə	1.0
l	l	1.0
k_ˈo	k_ˈɔ	1.0
ĭ	-	1.0
i_ɣ	ʤ	1.0
i_n_i_#>	#>	1.0
f_ɾ	f_l	1.0
f	f	1.0
e	-	1.0
ă	-	1.0
a_n	ã_n	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈã	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#	1.0
i_#>	#>	0.933
m	m	0.917
p	p	0.906
ʧ	ʦ	0.8
n	n	0.795
ɾ	r	0.791
a	ə	0.786
ɡ	ɡ	0.75
z	s	0.733
d	d	0.7
ð	j	0.667
s	s	0.615
ʒ	z	0.6
ʃ	s	0.6
ɣ	-	0.6
o	-	0.6
#>	t_#>	0.6
ɾ_i	r	0.588
b	v	0.576
j	-	0.571
ʤ	ʤ	0.533
ɭː	ʎ	0.5
ɭː	l	0.5
ɣ_u_#>	j_#>	0.5
ɣ_u_#>	#>	0.5
ɔ	u	0.5
ɔ	-	0.5
k_ɾ	k_l	0.5
k_ɾ	k	0.5
k	k	0.5
k	ʧ	0.444
ˈi	ˈi	0.442
ˈo	ˈũ	0.438
j	j	0.429
b	b	0.424
ɾ_i	r_ə	0.412
ʒ	ʦ	0.4
ʃ	j_s	0.4
ɣ	ɡ	0.4
o	ɔ	0.4
#>	s_#>	0.4
ˈe	ˈɛ	0.375
ˈu	ˈy	0.364
ˈɛ	ˈẽ	0.357
ð	-	0.333
d	-	0.3
u	ə	0.279
s	e_s	0.269
ʤ	-	0.267
z	-	0.267
ˈa	ˈa	0.255
ˈɛ	ˈɛ	0.25
ɡ	k	0.25
ˈi	ˈĩ	0.233
u	-	0.233
ˈa	ˈã	0.218
ˈɔ	ˈũ	0.214
ˈu	ˈu	0.212
ʧ	-	0.2
ʤ	ɲ	0.2
ˈo	ˈɔ	0.188
ˈo	ˈu	0.188
ˈo	w	0.188
ˈe	j_ˈɛ	0.188
ˈe	-	0.188
i	ə	0.182
i	j	0.182
i	-	0.182
ˈɔ	ˈu	0.179
a	a	0.179
ɾ	-	0.163
n	-	0.154
ˈɔ	ˈɔ	0.143
ˈɔ	w	0.143
ˈa	ˈɛ	0.127
ˈe	ˈẽ	0.125
ˈe	j	0.125
ˈu	ˈỹ	0.121
ˈu	ˈũ	0.121
ˈi	ˈɔ_j	0.116
s	-	0.115
i	ˈe_r	0.114
i	r_ə	0.114
ˈa	ˈe	0.109
ˈa	j	0.109
ˈɛ	ˈɔ_j	0.107
ˈɛ	ˈi	0.107
ˈɛ	j_ˈɛ	0.107
ˈɔ	w_ˈɛ	0.107
p	-	0.094
ˈi	ˈɔ	0.093
u	w	0.093
ˈu	ˈɔ	0.091
ˈu	-	0.091
ˈa	ˈã_j	0.091
m	-	0.083
ˈɛ	ˈɔ	0.071
ˈɔ	ˈy_j	0.071
ˈɔ	ˈy	0.071
ˈɔ	r	0.071
ˈi	-	0.07
u	u	0.07
u	r	0.07
u	j	0.07
i	r	0.068
i_#>	f_#>	0.067
k	-	0.056
ˈa	ˈɔ	0.055
n	j_n	0.051
