Campidanese	Campidanese	probability
ˈɛ_ɖː	o	1.0
ˈɛ_n	ɑ̃	1.0
ˈɔ_ɾ	œ_ʁ	1.0
ˈɔ_z	u	1.0
ˈɔ_n	ɔ̃	1.0
ˈɔ_i	œ_f	1.0
ˈu_ɣ	u	1.0
ˈo_ɣ	ø	1.0
ˈo_u	œ_f	1.0
ˈo_n	ɔ̃	1.0
ˈi_n	ɛ̃	1.0
ˈa_ð	e	1.0
ˈa_t	ɛ	1.0
ˈa_n	ɛ̃	1.0
ˈa_i	e	1.0
ʦ_a	s	1.0
ʦ	-	1.0
ʤ_a	ɲ	1.0
ʒ_i	a	1.0
ʃ	-	1.0
ɾ_ˈa	ʁ_ɛ	1.0
ɾ_u	ʁ	1.0
ɭː_a	j	1.0
ɛ	ə	1.0
ɖː_a	l	1.0
ɔ̆	-	1.0
ŋ	-	1.0
ð_u	a	1.0
ð	-	1.0
z	-	1.0
w	-	1.0
ŭ	-	1.0
u_ɾ	ʁ	1.0
u_z	ø	1.0
t_ɛ	t	1.0
t_u	i	1.0
t_a_#>	t_#>	1.0
s_ˈi	s_ɛ	1.0
s_u	o	1.0
s_t	t	1.0
r	ʁ	1.0
p_u_z_ŭ_#>	#>	1.0
o	ɔ	1.0
nː_u	ɑ̃	1.0
n_t	ɑ̃	1.0
n_i	ɛ̃	1.0
n_a	n	1.0
l_u_#>	#>	1.0
l	l	1.0
k_ɾ	k	1.0
k_a	ʃ	1.0
j	-	1.0
ĭ	-	1.0
i_ɾ	d	1.0
i_#>	#>	1.0
f_ɾ	f	1.0
f	f	1.0
e	-	1.0
d_ɾ	d	1.0
a_#>	#>	1.0
<#_t	<#_t	1.0
<#_s	<#_e	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a_r	<#_ʁ	1.0
#>	a_#>	1.0
u_#>	#>	0.95
p	p	0.9
m	m	0.812
s	s	0.792
ʤ	ʒ	0.733
ʧ	s	0.727
ɡ	ɡ	0.714
ɣ	-	0.7
d	d	0.7
k	k	0.69
β	-	0.667
a	a	0.667
ɾ_i	ʁ	0.636
b	v	0.568
ˈi	i	0.541
ɾ	ʁ	0.5
ɖː	l	0.5
ɖː	-	0.5
t	t	0.5
t	-	0.5
nː	n	0.5
nː	-	0.5
<#_ˈa	<#_a	0.5
<#_ˈa	<#	0.5
ˈe	-	0.467
b	b	0.432
ʒ	z	0.429
ˈo	ɔ	0.417
ˈo	u	0.417
ˈu	y	0.4
ˈe	ɛ	0.4
n	-	0.381
ɔ	ɔ	0.375
ɔ	-	0.375
ɾ_i	a_ʁ	0.364
ˈa	ɛ	0.345
β	v	0.333
ˈɔ	ɔ	0.333
ɭː	l	0.333
ɭː	j	0.333
ɭː	-	0.333
i	-	0.311
ˈa	a	0.31
k	ʃ	0.31
ɣ	ɡ	0.3
d	ʒ	0.3
ʒ	s	0.286
ʒ	-	0.286
ɡ	-	0.286
ˈɛ	ɛ	0.281
ʧ	-	0.273
ˈu	u	0.267
ʤ	-	0.267
ɔ	u	0.25
u	ʁ	0.25
u	-	0.25
ˈi	w	0.243
a	-	0.238
ɾ	-	0.237
ˈɔ	-	0.222
ˈɛ	w	0.219
s	-	0.208
ˈa	-	0.207
ˈu	-	0.2
n	ɑ̃	0.19
n	n	0.19
m	-	0.188
ˈɔ	ɥ	0.167
ˈɔ	u	0.167
ˈo	ɔ̃	0.167
ɾ	l	0.158
ˈɛ	j	0.156
ˈɛ	-	0.156
i	ʁ	0.156
u	u	0.15
u	o	0.15
n	ɔ̃	0.143
ˈi	ɛ	0.135
ˈu	w	0.133
ˈe	ɑ̃	0.133
i	a	0.133
ˈɛ	i	0.125
ˈɔ	œ	0.111
u	ø	0.1
u	i	0.1
p	-	0.1
n	ɛ̃	0.095
a	ʁ	0.095
i	w	0.089
i	e	0.089
ˈi	-	0.081
ˈa	ʁ	0.069
ˈa	e	0.069
i	i_ʁ	0.067
i	i	0.067
ˈɛ	ə	0.062
ɾ	ɛ_ʁ	0.053
ɾ	d	0.053
