Limburgish	Limburgish	probability
ˈʏː	-	1.0
ˈʊ	ˈʊ	1.0
ˈɛːi̯	-	1.0
ˈɔu̯	-	1.0
ˈɑː	ˈa	1.0
ˈœː	-	1.0
ˈyː	-	1.0
ˈuː	ˈʉː	1.0
ˈu	ˈøː	1.0
ˈi_#>	ˈøː_#>	1.0
ʀ_t	ʈː	1.0
ʀ_d̥	ɖ	1.0
ɣ̊	ɡ	1.0
ɡ	jː	1.0
ə_ʀ	r	1.0
ə_ɣ̊_#>	j_#>	1.0
ə_#>	#>	1.0
ŋ_k_#>	ŋː_#>	1.0
ŋ_k	kː	1.0
z̥_#>	s_#>	1.0
w	-	1.0
v̥_#>	v_#>	1.0
v_ə	v_ɛ	1.0
n_d	nː	1.0
n_#>	#>	1.0
l_ə	l	1.0
k_#>	#>	1.0
j_ə	d_a	1.0
j	-	1.0
i	ɔ	1.0
d̥_#>	#>	1.0
d̥	d	1.0
b	b	1.0
<#_β	<#	1.0
<#_ʀ	<#_r	1.0
<#_t	<#_tʰ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
ɦ	h	0.913
β	v	0.909
v	f	0.905
<#_d	<#_d	0.867
ʀ	r	0.857
n	n	0.838
ɣ	ɡ	0.812
ˈɪː	ˈɪ	0.8
ˈiː	ˈiː	0.8
t	t	0.778
z	s	0.76
l	l	0.76
m	m	0.741
ʃ	ɧ	0.714
d	tʰ	0.688
ə	a	0.679
ˈœ	ˈʏ	0.667
ˈoː	ˈuː	0.667
ˈɒː	ˈoː	0.636
ʀ_ə	r	0.625
ˈɛ	ˈɛ	0.6
ˈæː	ˈɛ	0.6
p	p	0.583
ŋ	ŋː	0.571
ˈɛː	ˈeː	0.562
ˈɪ	-	0.5
ˈɔ	-	0.5
ˈœi̯	ˈœ	0.5
ˈœi̯	-	0.5
ˈøː	ˈøː	0.5
ˈøː	-	0.5
ˈæ	ˈa	0.5
ˈæ	-	0.5
#>	n_#>	0.5
s	s	0.474
ˈɑ	ˈa	0.444
ŋ	ŋ	0.429
ˈɛ	ˈɪ	0.4
ˈæː	ˈa	0.4
ˈaː	ˈɑː	0.4
x	tː	0.4
x	-	0.4
ˈi	ˈoː	0.375
ˈi	-	0.375
ʀ_ə	ɳ	0.375
k	k	0.355
ˈʊː	ˈuː	0.348
ˈɔː	ˈɵ	0.333
ˈɔː	ˈɔ	0.333
ˈɔː	ˈøː	0.333
ˈɑ	ˈɛ	0.333
ˈœ	-	0.333
ˈoː	ˈoː	0.333
#>	ɛ_#>	0.333
k	kʰ	0.323
ˈeː	ˈʉː	0.3
ʃ	s_k	0.286
s	s_k	0.263
m	mː	0.259
ˈɪ	ˈɪ	0.25
ˈɪ	ˈɛ	0.25
ˈɛː	ˈɛ	0.25
ˈɔ	ˈɵ	0.25
ˈɔ	ˈɔ	0.25
ˈi	ˈɛ	0.25
ˈaː	ˈa	0.25
p	pː	0.25
ə	ɛ	0.245
z	ɧ	0.24
ˈɑ	-	0.222
t	tː	0.222
ˈʊː	ˈɵ	0.217
ˈɪː	-	0.2
ˈiː	-	0.2
x	k_t	0.2
ˈɛː	-	0.188
ɣ	j	0.188
d	d	0.188
ˈɒː	ˈɑː	0.182
ˈɒː	-	0.182
ˈʊː	ˈoː	0.174
p	pʰ	0.167
#>	s_#>	0.167
n	nː	0.162
k	kː	0.161
l	j	0.16
ˈaː	ˈa_l	0.15
ˈeː	ˈɛ	0.133
<#_d	<#	0.133
d	ɕ	0.125
s	s_t	0.105
s	-	0.105
ˈeː	ˈɛː	0.1
ˈeː	ˈyː	0.1
ˈeː	j	0.1
ˈaː	ˈoː	0.1
ˈaː	-	0.1
k	ɡː	0.097
v	-	0.095
β	-	0.091
ˈʊː	ˈʊ	0.087
ˈʊː	ˈœ	0.087
ˈʊː	ˈøː	0.087
ɦ	j	0.087
l	lː	0.08
ə	l	0.075
ˈeː	ˈɛː_d	0.067
ˈeː	ˈæː	0.067
ˈeː	j_ˈʉː	0.067
ˈeː	-	0.067
k	ɕ_ˈʏ	0.065
s	ʈ	0.053
