Ligurian	Aragonese	probability
f	f	1.0
o	o	1.0
ɲ	ɲ	1.0
ʧ	-	1.0
ˈøː	w_ˈe	1.0
a	a	0.951
b	β	0.231
b	b_w	0.411
d	ð	0.091
j	ˈi	0.051
j	u_s	0.061
r	ɾ	0.781
u	o	0.871
w	w	0.411
z	ʧ	0.461
ʃ	f	0.121
ˈeː	ˈe	0.61
ˈi	ˈi	0.811
ˈø	ˈu	0.331
ˈɔː	ˈo	0.061
e	ɾ_e	0.12
m	m	0.902
p	p	0.922
v	-	0.152
v	b	0.512
z	-	0.312
ʃ	-	0.162
ʒ	-	0.422
ʒ	θ	0.422
ʤ	ʧ	0.212
ˈu	ˈe	0.332
ˈu	ˈo	0.52
ˈɔː	w_ˈe	0.882
i	o_s	0.183
s	s	0.613
ˈa	ˈa	0.883
ˈaː	ˈa_l	0.053
ˈeː	-	0.083
ˈeː	j_ˈe	0.183
ˈø	ˈe	0.433
ˈɔ	ˈe	0.093
ˈɛ	ˈe_j	0.833
d	d_j	0.074
e	w	0.094
i	-	0.164
i	e	0.274
j	j	0.054
r	r	0.144
s	θ	0.274
t	t	0.754
u	e	0.084
w	-	0.124
ˈiː	ˈi_ɾ	0.534
ˈy	ˈu	0.974
ˈyː	ˈu_ɾ	0.104
ˈɛː	j	0.064
e	e	0.555
n	-	0.105
ŋ	n_o	0.195
ɡ	ɡ	0.195
ɡ	ɣ	0.625
ʒ	b	0.155
ˈaː	l_ˈa	0.065
ˈaː	ˈa	0.415
ˈe	j_ˈe	0.255
ˈe	ˈe	0.745
ˈeː	ˈe_l	0.125
ˈuː	ˈo	0.755
e	a	0.066
e	-	0.166
j	-	0.236
k	k	0.986
n	n	0.846
ŋ	ŋ	0.116
ˈiː	ˈi	0.466
ˈuː	l_ˈo_ɾ	0.126
ˈyː	ˈu	0.896
ˈø	w_ˈe	0.236
d	d	0.527
s	-	0.097
t	-	0.157
w	o	0.377
ʃ	j_ʃ	0.717
ʤ	ʎ	0.697
ˈaː	ˈa_ɾ	0.467
ˈɔ	ˈo	0.907
ˈɔː	ˈo_ɾ	0.057
ˈɛ	j_ˈe	0.167
b	b	0.358
d	-	0.308
l	ʎ	0.268
l	l	0.698
m	m_b	0.098
p	β	0.078
w	ˈa	0.088
z	s	0.228
ŋ	n	0.618
ˈa	l_ˈa	0.058
ˈu	ˈu	0.148
i	i	0.379
j	ɾ	0.599
v	β	0.299
ɡ	-	0.179
ˈi	ˈe	0.189
ˈuː	ˈu	0.119
ˈɛː	ˈa	0.299
ˈɛː	j_ˈe	0.59
