Sassarese	Venetian	probability
ˈɛ_dː	ˈɛ	1.0
ˈɔ_n	ˈo_n	1.0
ˈo_tː	ˈu_t	1.0
ʧː	ʧ	1.0
ʧ	ʧ	1.0
ʦː	s	1.0
ʤː	z	1.0
ʣ	z	1.0
ʒ	z	1.0
ʎː	ʤ	1.0
ʃː	s	1.0
ɡː	ɡ	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
z	z	1.0
x	k	1.0
w	w	1.0
v	v	1.0
u_r	o_ɰ	1.0
tː	t	1.0
t	t	1.0
sː_u	s_o	1.0
sː	r_s	1.0
s_ˈo	s_ˈo	1.0
s	s	1.0
r_u	r_o	1.0
r_a	r_a	1.0
pː	s_p	1.0
p	p	1.0
o	-	1.0
nː	n	1.0
mː	m	1.0
lː	-	1.0
l	ɰ	1.0
kː	k	1.0
k	k	1.0
i_d	ˈe_d	1.0
f	f	1.0
e	e	1.0
a_r	r	1.0
ˈa	ˈa	0.968
u	o	0.923
m	m	0.909
a	a	0.908
β	v	0.904
b	b	0.827
ʦ	z	0.772
ˈo	ˈo	0.761
d	d	0.718
n	n	0.689
ˈu	ˈu	0.669
i	e	0.645
r	r	0.621
dː	-	0.621
ˈi	ˈi	0.574
ˈe	ˈe	0.573
ɬ	s	0.572
ˈɔ	ˈɔ	0.571
ɲː	ɲ	0.559
rː	r_n	0.549
xː	r_k	0.545
bː	-	0.523
ˈɛ	ˈɛ	0.52
ˈɛ	ˈe	0.48
bː	v	0.477
xː	k	0.455
rː	r	0.451
ɲː	ŋ_z	0.441
j	j	0.43
ˈɔ	ˈo	0.429
j	-	0.408
n	ŋ	0.311
d	-	0.282
ˈu	ˈo	0.27
ɬ	l	0.262
ˈo	ˈɔ	0.239
r	ɰ	0.232
ʦ	s	0.228
ˈe	ˈɛ	0.226
i	-	0.226
dː	t	0.223
b	v	0.173
ɬ	r	0.166
j	r	0.162
ˈi	e_r	0.156
dː	d	0.155
r	o	0.147
ˈi	-	0.144
ˈe	ˈi	0.135
β	-	0.096
a	-	0.092
m	-	0.091
i	i	0.085
ˈi	ˈi_r	0.07
ˈe	j_ˈɛ	0.066
ˈu	ˈi	0.061
ˈi	i	0.056
