Danish	Alsatian	probability
#>	#>	0.711
#>	ʁ_#>	0.128
#>	d̥_#>	0.06
<#	<#	0.98
b̥	b̥	0.742
b̥	f	0.173
b̥	p͡f	0.051
d̥	d̥	0.634
d̥	t	0.341
e	i	0.501
f	f	1.0
h	h	0.928
h	-	0.068
i	i	0.251
j	-	0.548
j	x	0.135
j	j	0.102
j	ʋ	0.093
j	ˈæ	0.093
j_#>	#>	0.251
jˀ	j	0.331
jˀ	v	0.166
k	-	0.458
k	k	0.288
k	ʃ	0.166
k_#>	#>	1.0
kʰ	kʰ	0.758
kʰ	f	0.138
kʰ	ɡ̊	0.095
l	l	1.0
lˀ	l	0.883
lˀ	-	0.09
m	m	0.794
m	ʁ_m	0.201
mˀ	e	0.5
mˀ	m	0.5
n	n	0.848
n	-	0.149
n_#>	#>	1.0
nˀ	n	0.804
nˀ	l	0.093
nˀ	s	0.093
s	ʃ	0.483
s	s	0.452
t	t	0.44
t	x	0.253
t	ʦ	0.198
t	-	0.099
w	ə	0.549
w	v	0.326
w	-	0.089
w_#>	#>	0.501
wˀ	ə	1.0
ð̞ˠ	t	0.481
ð̞ˠ	s	0.431
ð̞ˠ	-	0.07
ŋ	ŋ	0.57
ŋ	n	0.242
ŋ	-	0.151
ŋˀ	ŋ	1.0
ɐ	-	0.311
ɐ	ə	0.213
ɐ	t_ə	0.201
ɐ	d̥_ə	0.12
ɐ	ˈɒ	0.079
ɐ	i	0.052
ɐ_#>	#>	0.251
ɐˀ	ˈo	0.298
ɐˀ	i	0.213
ɐˀ	ˈu	0.213
ə	ə	0.686
ə	-	0.163
ə	d̥_ə	0.079
ə	i	0.06
ə_#>	#>	1.0
ɡ̊	ɡ̊	0.65
ɡ̊	k	0.228
ɡ̊	-	0.111
ʁ	ʁ	1.0
ʋ	ʋ	0.67
ʋ	-	0.187
ʋ	w	0.086
ʋ	m	0.058
ʦʰ	ʦ	0.552
ʦʰ	d̥	0.446
ˈa	ˈɒ	0.75
ˈa	ˈɒː	0.233
ˈaː	ˈɒ	0.251
ˈe	ˈi	0.711
ˈe	ˈe	0.218
ˈeˀ	ˈəi̯	0.501
ˈeˀ	ə	0.105
ˈeˀ	ˈeː	0.105
ˈeˀ	ˈei̯	0.08
ˈeˀ	ˈæ	0.08
ˈeˀ	ˈɛ	0.066
ˈeˀ	ˈe	0.062
ˈeː	ˈæː	0.574
ˈeː	ˈɒ	0.288
ˈi	ˈiː	0.66
ˈi	ˈeː	0.166
ˈiˀ	ˈiː	0.389
ˈiˀ	ˈi	0.216
ˈiˀ	ˈeː	0.179
ˈiˀ	ˈæ	0.124
ˈiː	ˈiː	0.668
ˈiː	ˈaː	0.141
ˈiː	ˈi	0.134
ˈo	w	0.242
ˈo	ˈʊː	0.242
ˈo	-	0.199
ˈo	ʋ	0.184
ˈoˀ	ˈʊː	0.692
ˈoˀ	ˈəi̯	0.175
ˈoˀ	ˈøː	0.116
ˈoː	ˈøː	0.341
ˈoː	ˈɒ	0.341
ˈoː	ˈɔi̯	0.196
ˈu	ˈo	0.519
ˈu	ˈe	0.239
ˈu	ˈu	0.239
ˈuˀ	ˈyː	0.502
ˈuˀ	ˈæː	0.138
ˈuˀ	ˈø	0.138
ˈuˀ	ˈøi̯	0.138
ˈuˀ	ˈiː	0.07
ˈuː	ˈi	1.0
ˈy	ˈi	0.331
ˈy	ˈu	0.166
ˈyˀ	ˈiː	0.627
ˈyˀ	ˈei̯	0.209
ˈyˀ	ˈi	0.138
ˈyː	ˈiː	1.0
ˈæ	ˈe	0.501
ˈæˀ	ˈɒː	0.251
ˈø	ˈi	0.251
ˈøː	ˈeː	0.281
ˈøː	ˈoː	0.245
ˈøː	ˈʊː	0.141
ˈœ	ˈi	0.316
ˈœ	ˈu	0.276
ˈœ	w	0.113
ˈœ	ˈai̯	0.081
ˈœ	ˈiː	0.078
ˈœ	ˈoː	0.078
ˈœˀ	ˈoː	0.496
ˈœˀ	ˈiː	0.272
ˈœˀ	ˈæː	0.124
ˈœˀ	ˈʊː	0.061
ˈɑ	ˈɒ	0.431
ˈɑ	ˈæː	0.177
ˈɑ	ˈi	0.117
ˈɑ	ˈaː	0.111
ˈɑˀ	ˈɒː	0.683
ˈɑˀ	ˈæ	0.226
ˈɑː	ˈɒ	1.0
ˈɒ	ˈo	0.501
ˈɒˀ	ˈoː	0.251
ˈɒː	ˈo	0.19
ˈɒː	ˈoː	0.19
ˈɔ	ˈu	0.683
ˈɔ	ˈyː	0.226
ˈɔˀ	ˈɒː	0.425
ˈɔˀ	ˈoː	0.245
ˈɔˀ	ˈɒ	0.141
ˈɔː	ˈoː	1.0
ˈɛ	ˈɒ	0.314
ˈɛ	ˈi	0.159
ˈɛ	ˈe	0.105
ˈɛ	ˈeː	0.105
ˈɛ	ˈoː	0.083
ˈɛ	-	0.081
ˈɛ	ˈɒː	0.08
ˈɛ	ˈəi̯	0.063
ˈɛˀ	ˈɒː	0.213
ˈɛˀ	ˈe	0.196
ˈɛˀ	ˈei̯	0.196
ˈɛˀ	ˈəi̯	0.133
ˈɛː	ˈæ	0.281
ˈɛː	ˈɒː	0.281
ˈɛː	ˈɒ	0.081
ˈʌ	ˈi	0.2
ˈʌ	ˈʊː	0.2
ˈʌ	ˈɒ	0.182
ˈʌ	ˈu	0.164
ˈʌ	ˈœ	0.125
ˈʌˀ	ˈoː	0.66
ˈʌˀ	ˈʊː	0.166
