German	North Frisian	probability
<#_b	<#_b	1.0
<#_f	<#_f	1.0
<#_h	<#_h	1.0
<#_kʰ	<#_k	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p͡f	<#_p	1.0
<#_tʰ	<#_d	1.0
<#_z	<#_s	1.0
<#_ʁ	<#_r	1.0
<#_ʦ	<#_t	1.0
b̥	ə_v	1.0
b̥_#>	f_#>	1.0
d_ə	d	1.0
f_n	p_ə	1.0
k	k	1.0
k_n_#>	j_#>	1.0
kʰ	-	1.0
l	l	1.0
l_#>	l_#>	1.0
l_t	lʲ_#>	1.0
l_ə	l_#>	1.0
m	m	1.0
m_#>	m_#>	1.0
n_d	n	1.0
n_d̥	n	1.0
n_ə	n	1.0
n_ɪ	n_i	1.0
s_t	s_t	1.0
t_n	dʲ_ə	1.0
x	k	1.0
x_t	x_t	1.0
ç_ə	k_#>	1.0
ŋ	ŋ	1.0
ŋ_#>	ŋ_#>	1.0
ɐ	r	1.0
ɐ_#>	r_#>	1.0
ɡ_n	d_ə	1.0
ɡ̊	-	1.0
ɪ_ç_#>	i_#>	1.0
ʃ_#>	ʃ_#>	1.0
ʦ	t	1.0
ˈa_n	ˈœ	1.0
ˈa_s	ˈɒː_s	1.0
ˈa_ɐ	ˈa_r	1.0
ˈaɪ̯_n	ˈiː_nʲ	1.0
ˈaɪ̯_s	ˈi_t	1.0
ˈiː_ɐ	ˈeː_#>	1.0
ˈuː_#>	ˈyː_#>	1.0
ˈøː	ˈiː	1.0
ˈɔ_l	l	1.0
ˈɛ_l	ˈeː_l	1.0
ˈɪ_ŋ	ˈai̯_ŋ	1.0
ˈʊ	ˈʊ	1.0
<#	<#_j	0.571
d̥_#>	d_#>	0.571
s_#>	t_#>	0.211
s_#>	tʲ_#>	0.211
ˈa	ˈɔː	0.091
ˈa	ˈœ	0.091
ˈaɪ̯	ˈiː	0.381
<#_d	<#_tʲ	0.182
f_#>	v_#>	0.222
f_#>	ə_n	0.222
n	n	0.692
ə	ə	0.192
ʁ	-	0.12
ˈa	ˈuː	0.182
ˈa	ˈɒː	0.182
ˈa	ˈʊ	0.182
ˈaʊ̯	-	0.2
ˈaʊ̯	ˈøː	0.2
ˈɛ	ˈeː	0.2
<#_ʃ	<#_ʃ	0.333
<#_ˈa	<#_ˈɒː	0.333
<#_ˈa	<#	0.333
<#_ˈa	<#_ˈeː	0.333
b	ə	0.333
s	z	0.333
s	ə	0.333
s	tʲ	0.333
t	ə	0.333
v	-	0.273
ç	k_ə	0.333
ç_#>	ŋ_#>	0.333
ˈa	ˈɒ	0.273
ˈaʊ̯	ˈyː	0.3
ˈaʊ̯	ˈuː	0.3
ˈaː	-	0.143
ˈaː	ˈɒ	0.143
ˈoː	ˈuː	0.273
ˈoː	ˈɔu̯	0.273
ˈɔ	-	0.143
ˈɔ	ˈɔː	0.143
ˈɔ	ˈaː	0.143
ˈɔ	ˈʊ	0.143
ˈɛ	ˈɛː	0.3
ˈɪ	ˈi	0.353
<#_l	<#_j	0.154
<#_ɡ	<#_j	0.154
n	-	0.154
n	i_ŋ	0.154
t_#>	d_#>	0.4
ə	-	0.654
ˈaː	ˈeː	0.214
ˈaː	ˈɛː	0.214
ˈiː	ˈa	0.154
ˈuː	ˈœ	0.714
ˈɔʏ̯	ˈøː	0.4
ˈʏ	ˈeː	0.4
d	d_ə	0.5
d	d	0.5
n_#>	#>	0.085
t_#>	dʲ_#>	0.25
t_#>	t_#>	0.35
z	-	0.5
z	z	0.5
ˈaɪ̯	ˈa	0.095
ˈaɪ̯	ˈɒ	0.095
ˈeː	-	0.25
ˈeː	ˈi	0.25
ˈeː	ˈiː	0.5
ˈoː	ˈyː	0.455
ˈyː	ˈɛ	0.5
ˈyː	ˈɛi̯	0.5
ˈɛ	ˈa	0.5
ˈɪ	ˈa	0.235
<#_l	<#_l	0.846
<#_v	<#_v	0.826
<#_ɡ	<#_ɡ	0.846
f_#>	p_#>	0.556
n_#>	n_#>	0.356
ɡ	w	0.286
ɡ	j_ə	0.286
ˈaː	ˈɛi̯	0.286
ˈiː	ˈiː	0.846
ˈuː	ˈɛ	0.286
ˈɔʏ̯	ˈyː	0.6
ˈɪ	ˈʊ	0.176
ˈʏ	-	0.6
<#_v	<#_ˈuː	0.087
<#_v	<#_ˈʊ	0.087
<#_ʃ	<#_s	0.667
b	v_ə	0.667
t	t	0.667
v	v	0.727
ç	x	0.667
ç_#>	k_#>	0.667
ə	w	0.077
ə	s	0.077
<#_d	<#_t	0.818
ʁ	r	0.88
ˈɪ	ˈaː	0.118
ˈɪ	ˈœ	0.118
<#	<#_ʃ	0.429
d̥_#>	nʲ_#>	0.429
n_#>	ə_#>	0.559
s_#>	s_#>	0.579
ɡ	j	0.429
ˈaɪ̯	ˈi	0.429
ˈɔ	ˈɔ	0.429
