Fuzhounese	Fuzhounese	probability
⁵³	¹¹	1.0
ɥ_ŋ	ŋ	1.0
ɛ_j	i	1.0
ɔ	-	1.0
ɑ_w	ɔ	1.0
²¹³	⁵³	1.0
w_ɔ	ɔ	1.0
w_ŋ	ŋ	1.0
u_j	i	1.0
tʰ	tʰ	1.0
pʰ	pʰ	1.0
nˡ_y	n̩	1.0
nˡ	ɲ	1.0
m	m	1.0
l̃	l	1.0
j_a	a	1.0
h_w	f	1.0
e_w	w	1.0
a_⁵⁵	a_⁴⁴	1.0
a_j	ɛ	1.0
<#_nˡ	<#_n	1.0
²⁴	¹	0.947
⁵⁵	⁴⁴	0.938
²⁴²	⁵³	0.833
³³	³¹	0.778
ʦʰ	ʦʰ	0.75
⁵	⁵	0.7
u	u	0.667
i	i	0.667
a_ŋ	a_m	0.667
s	s	0.643
ø	ʊ	0.625
o	ɔ	0.611
a	a	0.611
w_o	a	0.6
o_w	u	0.6
ʦ	ʦ	0.571
p	p	0.571
e	a	0.556
ŋ	n	0.522
ʔ	t̚	0.519
ɥ	ʊ	0.5
ɥ	j	0.5
ɑ	a	0.5
y	u	0.5
y	j_ʊ	0.5
k	k	0.5
h	h	0.5
h	f	0.5
<#_h	<#_j	0.5
<#_h	<#	0.5
ʔ	k̚	0.444
e	-	0.444
ŋ	ŋ	0.435
j	j	0.423
w_o	u	0.4
o_w	ʊ	0.4
w	w	0.391
ɛ	i	0.375
ɛ	a	0.375
ø	j	0.375
<#	<#_ɲ	0.375
<#	<#_h	0.375
t	t	0.364
s	ɕ	0.357
u	-	0.333
a_ŋ	n	0.333
⁵	¹	0.3
ɑ	ɔ	0.3
ʦ	s	0.286
k	c	0.286
t	tʰ	0.273
w	-	0.261
ʦʰ	ʨʰ	0.25
ɛ	j	0.25
kʰ	ç	0.25
kʰ	kʰ	0.25
kʰ	h	0.25
kʰ	-	0.25
<#	<#_ʋ	0.25
³³	⁴⁴	0.222
o	o	0.222
a	-	0.222
p	pʰ	0.214
p	f	0.214
k	cʰ	0.214
ɑ	-	0.2
j	-	0.192
t	ʦʰ	0.182
t	ʦ	0.182
w	ʋ	0.174
w	u	0.174
²⁴²	³¹	0.167
o	a_w	0.167
a	e	0.167
j	i	0.154
ʦ	ʨ	0.143
i	z̩	0.133
i	o	0.133
j	ɛ	0.077
j	o	0.077
j	a	0.077
i	z	0.067
⁵⁵	⁵³	0.062
²⁴	²	0.053
