Auvergnat	Auvergnat	probability
ˈɪ̃	-	1.0
ˈɛ	j	1.0
ˈɔ̃	ˈɔ̃	1.0
ˈỹ_ɲ	ˈœ̃	1.0
ˈũ_ŋ	ˈɔ̃	1.0
ˈũ	ˈɔ̃	1.0
ˈu_ʀ	ˈuː	1.0
ˈu_s	w_ˈɛ	1.0
ˈĩ	ˈẽ	1.0
ˈi_w	ˈiː	1.0
ˈi_#>	ˈi_#>	1.0
ˈẽ_ŋ	ˈɛ̃	1.0
ˈe_ʎ	ˈiː	1.0
ˈe_l	j_ˈa	1.0
ˈã_ŋ	ˈɑ̃	1.0
ˈa_s	ˈɔː	1.0
ˈa_#>	ˈe_#>	1.0
ʧ_ɔ	ʃ	1.0
ʤ_ə	ʧ	1.0
ʤ_ɒ	ɲː	1.0
ʒ	ʒ	1.0
ʎ_ɔ	j	1.0
ʃ	s	1.0
ʀ_ˈe	ʀ	1.0
ɲ	ɲ	1.0
ɥ	u_w	1.0
ɡʲ	w	1.0
ə_#>	#>	1.0
ɔ_#>	#>	1.0
ɒ_ʤ	ɛː	1.0
œ	-	1.0
ŋ_#>	#>	1.0
z	-	1.0
y	-	1.0
w_ˈɔ	ˈɔ	1.0
w_ˈẽ	ˈu	1.0
w_#>	#>	1.0
vʲ	v	1.0
v_ə	v_i	1.0
v	v	1.0
ũ	ɔ̃	1.0
t_ɔ	ˈɛ_s	1.0
t	t	1.0
s_ˈɪ	s	1.0
s_ˈã	s	1.0
s_#>	#>	1.0
pʲ	ʧ_f	1.0
p	p	1.0
n_w	n	1.0
mʲ	m	1.0
lː	j	1.0
l_ɔ	j	1.0
l_#>	#>	1.0
k_w	k	1.0
k_#>	#>	1.0
j_ˈɔ	ˈuː	1.0
j_s	ʃ	1.0
j_#>	#>	1.0
j	-	1.0
ĩ	ẽ	1.0
fʲ	f	1.0
f	f	1.0
e	-	1.0
d_ɔ	j	1.0
b_ʀ	f	1.0
b_w	b	1.0
ã	ɑ̃	1.0
a	a	1.0
<#_ʎ	<#_l	1.0
<#_ʀ	<#_ʀ	1.0
<#_ɒ	<#_a	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_ɛ	1.0
ʀ	ʀ	0.909
k	k	0.9
s	s	0.88
l	l	0.815
u	ɔ	0.8
m	m	0.792
ɪ	s	0.778
j_ʀ	ʀ	0.714
b	b	0.714
ʧ	ʧ	0.68
ˈi	ˈɛ	0.667
ʤ	ʤ	0.667
n	n	0.647
d	d	0.632
ʀ_ə_#>	#>	0.6
ˈa_w	ˈoː	0.556
ˈœ	ˈuː	0.5
ˈœ	-	0.5
ˈã	w	0.5
ˈã	-	0.5
ɡ	ɡ	0.5
ɡ	-	0.5
ə	ɛ	0.5
ə	-	0.5
i	ɛ	0.5
i	-	0.5
w	-	0.474
ˈu	ˈɔ	0.471
ɔ	n	0.455
ˈa_w	ˈɔː	0.444
ˈy	ˈy	0.429
ˈu	ˈøː	0.412
ˈɔ	ˈa	0.4
ʎ	-	0.4
ʀ_ə_#>	p_#>	0.4
d	-	0.368
ɒ	ɛ	0.364
ɒ	a	0.364
ŋ	ˈɛ̃	0.357
ˈɔ	ˈuː	0.333
ʤ	-	0.333
ˈe	ˈɛ	0.32
w	w	0.316
ʎ	ˈa	0.3
ʎ	j	0.3
ˈy	ˈøː	0.286
ˈy	-	0.286
ŋ	-	0.286
j_ʀ	ˈe	0.286
b	-	0.286
#>	ˈi_#>	0.286
#>	ˈe_#>	0.286
#>	ʀ_#>	0.286
ˈɪ	ˈɛ	0.278
ˈɪ	w	0.278
ɔ	w	0.273
ɔ	j	0.273
ɒ	-	0.273
ˈɔ	-	0.267
ˈe	-	0.24
ʧ	t	0.24
n	ˈɛ̃	0.235
ˈɪ	w_ˈɛ	0.222
ˈɪ	-	0.222
ɪ	-	0.222
ŋ	ˈɔ̃	0.214
w	ˈoː	0.211
ˈa	ˈa	0.209
m	-	0.208
ˈe	ˈiː	0.2
u	-	0.2
ˈi	ˈiː	0.167
ˈi	-	0.167
ˈa	ˈiː	0.163
ˈe	j	0.16
ŋ	ˈẽ	0.143
#>	j_#>	0.143
s	ʃ	0.12
ˈu	ˈuː	0.118
n	ˈɛ̃ː	0.118
l	ˈa	0.111
k	-	0.1
ˈa	ˈɛ	0.093
ˈa	ˈɔː	0.093
ˈa	ˈe	0.093
ˈa	-	0.093
ʀ	-	0.091
ˈe	ˈɛː	0.08
ʧ	-	0.08
l	-	0.074
ˈa	w	0.07
