Ladin	Ladin	probability
ˈɛ_n	ˈɛ̃	1.0
ˈɛ_l	j_ˈa	1.0
ˈɛ_k_#>	#>	1.0
ˈɔ_s	s	1.0
ˈɔ_r	w_ˈa	1.0
ˈu_ɲ	ˈœ̃	1.0
ˈo_s	ˈɔ	1.0
ˈo_n	ˈɔ̃	1.0
ˈi_n	ˈẽ	1.0
ˈi_#>	ˈi_#>	1.0
ˈe_#>	ˈe_#>	1.0
ˈa_t	ˈa	1.0
ˈa_n	ˈɑ̃	1.0
ʨ_#>	#>	1.0
ʧ	s	1.0
ʦ	-	1.0
ʒ_ɡ	v	1.0
ʃ_ʨ	ʃ	1.0
ʃ_e	ʃ	1.0
ɲ	ɲ	1.0
ŋ_k_#>	#>	1.0
ŋ	-	1.0
w_ˈɛ	ˈuː	1.0
w_ʃ	ˈɛ	1.0
u	uː	1.0
t_a	j	1.0
t_#>	#>	1.0
t	t	1.0
s_ˈa	s	1.0
s_#>	#>	1.0
r_ˈe	ʀ_w	1.0
p_a	p_a	1.0
n_t	ˈɛ̃	1.0
n_a_#>	#>	1.0
l_ˈo	l	1.0
l_a_#>	j_#>	1.0
l_#>	#>	1.0
j_t_#>	ˈɛ_#>	1.0
i_ŋ	ẽ	1.0
i	-	1.0
f_#>	#>	1.0
f	f	1.0
e_r_#>	#>	1.0
e_#>	#>	1.0
e	-	1.0
d_l_#>	#>	1.0
d_l	j	1.0
d_a_#>	#>	1.0
b	b	1.0
a_v	f	1.0
a_j	ɛː	1.0
a_#>	#>	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
p	p	0.931
k	k	0.88
r	ʀ	0.833
m	m	0.826
l	l	0.8
d	-	0.8
v	v	0.773
s	s	0.765
ʨ	ʧ	0.722
w	ˈøː	0.714
ɡ	ɡ	0.667
ʃ	s	0.6
o	ɔ	0.6
<#	<#_ɛ	0.6
a	a	0.571
ˈu	-	0.5
ˈa_w	ˈɔː	0.5
ˈa_w	ˈoː	0.5
ʒ	ʤ	0.5
ʒ	-	0.5
r_t	ˈa_ʀ	0.5
r_t	ʀ	0.5
n	n	0.5
j	j	0.455
j_ˈɛ	ˈiː	0.429
o	-	0.4
<#	<#_v	0.4
ˈi	ˈɛ	0.357
ˈi	ˈiː	0.357
ˈɔ	ˈɔ	0.353
ɡ	-	0.333
ˈa	ˈa	0.32
ˈo	-	0.294
w	ˈoː	0.286
j_ˈɛ	ˈi	0.286
j_ˈɛ	j_ˈu	0.286
a	ɛ	0.286
ʨ	s	0.278
ʃ	ʃ	0.267
ˈu	ˈɔ	0.25
ˈu	ˈu	0.25
ˈe	ˈɛ	0.241
ˈe	w	0.241
ˈe	-	0.241
ˈɛ	ˈɛ	0.24
ˈɛ	ˈe	0.24
ˈo	ˈɔ	0.235
ˈo	w	0.235
s	ʃ	0.235
j	ʀ	0.227
ˈɛ	ˈiː	0.2
d	l	0.2
ˈɔ	ˈuː	0.176
ˈɔ	ˈoː	0.176
ˈɔ	-	0.176
m	-	0.174
r	-	0.167
n	ˈɔ̃	0.167
ˈa	ˈɛ	0.16
ˈa	ˈɔː	0.16
ˈa	-	0.16
ˈi	ˈi	0.143
ˈi	-	0.143
a	j	0.143
ˈe	ˈiː	0.138
v	f	0.136
j	ˈeː	0.136
ʃ	-	0.133
n	ˈẽ	0.125
n	-	0.125
ˈa	w	0.12
k	-	0.12
ˈɔ	w	0.118
ˈo	ˈɔ̃	0.118
ˈo	ˈøː	0.118
l	j_ˈa	0.1
l	j	0.1
v	-	0.091
j	ˈɛ	0.091
j	-	0.091
n	ˈɛ̃	0.083
ˈɛ	ˈa	0.08
ˈɛ	j_ˈɛ	0.08
ˈɛ	j	0.08
ˈɛ	-	0.08
ˈa	ˈɑ̃	0.08
ˈe	ˈɔ	0.069
ˈe	ˈøː	0.069
p	-	0.069
