Insular North Frisian	Swedish	probability
ˈɛ_n	ˈɵ_nː	1.0
ˈɔː_x	ˈɔ	1.0
ˈaː	-	1.0
ˈaʊ̯	-	1.0
ʃ	ɧ	1.0
ʁ̥	r	1.0
ɪ_ç	j	1.0
ɪ	-	1.0
ɣ̥	ɡ	1.0
ɐ_n	ɳ	1.0
ŋ_k	kː	1.0
ð_ɐ	r	1.0
x_t	tː	1.0
x	-	1.0
tʲ	ɕ	1.0
tʰ	tʰ	1.0
s_k	ɧ	1.0
r_s	ʂ	1.0
r	r	1.0
pʰ	pʰ	1.0
nʲ	n_d	1.0
lʲ	l_d	1.0
kʰ	kʰ	1.0
e	-	1.0
d_ˈiː	j_ˈʉː	1.0
d	tː	1.0
b	b	1.0
aɪ̯	ɔ	1.0
k	k	0.885
h	h	0.874
l	l	0.873
f	f	0.865
s	s	0.852
n	n	0.835
ɾ	d	0.767
v	v	0.736
ɡ	ɡ	0.689
m	m	0.637
ˈa	ˈa	0.624
ˈua̯	ˈøː	0.622
ʁ̥_t	ɖ	0.62
p	p	0.613
t	t	0.606
ˈøː	ˈuː	0.567
ˈɛː	-	0.562
ˈœ	-	0.535
ə	-	0.53
ˈɔː	ˈɑː	0.529
j	-	0.525
ˈoː	-	0.514
ŋ	ŋː	0.508
ˈaɪ̯	ˈɑː_ɡ	0.5
ˈaɪ̯	-	0.5
ɐ	r	0.5
ŋ	ŋ	0.492
j	ˈɛ	0.475
ə	ɛ	0.47
ˈyː	ˈyː	0.441
ˈɛː	ˈæː	0.438
ˈə	ˈɪ	0.436
ˈøː	-	0.433
ˈeː	-	0.431
ç	ɡ	0.408
ˈɔ	ˈɔ	0.394
p	pː	0.387
ʁ̥_t	ʈː	0.38
ˈua̯	-	0.378
ɐ	ɛ_r	0.365
ˈə	ˈiː	0.364
m	mː	0.363
ˈʏ	ˈʉː	0.354
ç	-	0.349
ˈyː	ˈʉː	0.335
ˈʏ	ˈɵ	0.322
ɡ	-	0.311
ˈʊ	ˈɵ	0.309
ˈuː	ˈoː	0.3
ˈoː	ˈøː	0.296
ˈiː	-	0.29
ˈiː	ˈiː	0.287
ˈiː	ˈeː	0.281
ˈeː	ˈɛ	0.265
ˈɔ	ˈuː	0.26
ˈuː	-	0.26
ˈuː	ˈuː	0.258
ˈa	-	0.246
ç	ɡː	0.243
ɾ	-	0.233
ˈʊ	-	0.225
ˈyː	-	0.224
ˈeː	ˈøː	0.217
ˈɛ	ˈœ	0.213
ˈʏ	-	0.202
t	tː	0.201
ˈœ	ˈuː	0.194
ˈoː	ˈoː	0.19
v	-	0.185
ˈɛ	ˈɛ	0.184
ˈuː	ˈa	0.182
ˈɔː	ˈɛ	0.175
t	-	0.175
ˈɔ	ˈɛ	0.173
ˈɔ	-	0.173
ˈɔː	ˈa	0.17
ˈœ	ˈa	0.158
ˈɛ	ˈa	0.152
ɐ	ɳ	0.135
f	v	0.135
ˈa	ˈæ	0.13
ˈɔː	ˈoː	0.126
h	j	0.126
ˈʊ	ˈʊ	0.125
ˈʊ	ˈa	0.125
ˈʏ	ˈoː	0.121
ˈə	-	0.119
ˈʊ	ˈuː	0.118
ˈɛ	ˈøː	0.117
k	kː	0.115
ˈœ	ˈœ	0.112
ˈɛ	ˈʉː	0.102
ˈiː	ˈɛː	0.101
ˈɛ	ˈeː	0.1
ˈʊ	ˈɔ	0.098
ˈeː	ˈa	0.088
l	lː	0.086
ˈɛ	ˈʏ	0.082
ˈə	ˈʉː	0.081
v	v_ˈeː	0.079
s	ɧ	0.077
n	ŋ_n	0.06
n	nː	0.059
ˈɛ	ˈɪ	0.05
