Middle High German	West Frisian	probability
ˈɑ_n	ˈɔː	1.0
ˈøː	-	1.0
ˈøy̯	ˈaː	1.0
ˈæː	ʦ_ˈiː	1.0
ˈu_n	ˈuː	1.0
ˈou̯	ˈɪə̯	1.0
ˈo_r	ˈoə̯	1.0
ˈei̯_n	ˈiə̯_n	1.0
ʦː	t	1.0
ʦ_w	t_v	1.0
ʦ	t	1.0
ʃː	s_k	1.0
ɡ̊	χ	1.0
ɛ	ɪ	1.0
ə_r	r	1.0
ə_l	l	1.0
ɑ	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
v	f	1.0
tː	d	1.0
s̻ː	t	1.0
s̻	t	1.0
s_t	s_t	1.0
r_ə	r	1.0
p͡f	p	1.0
p	p	1.0
oː	ə	1.0
ou̯	ˈɪə̯	1.0
nː	n	1.0
n_d̥	n	1.0
n_d	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
kː_ə	χ	1.0
k	k	1.0
i	ə	1.0
h_ə	n	1.0
h	h	1.0
fː	p	1.0
f	p	1.0
b_ə	v_ə	1.0
b	b	1.0
l	l	0.939
ə	ə	0.868
x	χ	0.846
s	s	0.821
r	r	0.809
n	n	0.802
ˈyə̯	ˈiə̯	0.794
ə_n	ə	0.793
ˈoː	ˈɪə̯	0.748
xː	k	0.667
w	ʋ	0.633
ˈuə̯	ˈuə̯	0.626
ˈe	-	0.617
ˈo	ˈɔ	0.605
ˈɑː	ˈiə̯	0.576
ʃ	s	0.573
kː	k	0.563
ɡ	ɡ	0.525
ˈuː	ˈuː	0.519
ˈi	ˈɪ	0.5
ˈeː	ˈiə̯	0.5
ˈeː	-	0.5
d̥	n	0.5
t	t	0.494
ˈiː	ˈi	0.476
ˈy	-	0.457
kː	ɣ	0.437
ʃ	s_k	0.427
ˈɑ	ˈa	0.415
ˈy	ˈɪ	0.41
ˈɛ	-	0.406
d	-	0.398
ˈo	-	0.395
ˈe	ˈɪ	0.383
d	ʦ	0.376
d̥	d̥	0.357
ˈiː	ˈiː	0.355
ˈyː	j	0.338
xː	ˈi_k	0.333
ˈyː	j_ˈuə̯	0.325
ˈei̯	-	0.317
ˈu	ˈoə̯	0.304
ˈɛ	ˈɛ	0.301
ˈuː	-	0.277
t	d̥	0.266
ˈoː	-	0.252
ˈei̯	ˈɛi̯	0.252
ˈi	ˈi	0.25
ˈiə̯	ˈiə̯	0.247
ˈiə̯	j_ˈɪ	0.247
ˈiə̯	j	0.247
ˈu	ˈɔ	0.24
ˈuə̯	ˈoː	0.234
d	d	0.227
ˈɑː	-	0.218
ˈu	ˈu	0.217
ˈɑ	-	0.212
w	v	0.21
ˈɑ	ˈaː	0.207
ə_n	j_ə	0.207
ˈɑː	ˈoə̯	0.206
ˈyə̯	ˈu̯o	0.206
ˈuː	ˈɔ	0.203
ɡ	ɣ	0.19
t	d	0.186
ɡ	-	0.182
ˈyː	ˈuː	0.176
ˈiː	ˈɛ	0.169
ˈyː	ˈøə̯	0.161
x	k	0.154
r	-	0.153
ˈei̯	ˈaː_j	0.146
ˈei̯	ˈɪə̯	0.143
ˈei̯	ˈɪ	0.143
d̥	-	0.143
ˈuə̯	-	0.139
ˈu	ˈɪ	0.138
ˈɛ	ˈiə̯	0.133
ˈy	ˈɛː	0.133
ˈiə̯	ˈɪə̯	0.129
ˈiə̯	ˈiː	0.129
ə	n	0.108
ɡ	z	0.103
ˈu	ˈyː	0.101
ˈɛ	ˈɪə̯	0.098
s	z	0.097
ˈi	ˈɔ	0.093
ˈi	ˈiː	0.089
w	-	0.088
s	ɕ	0.083
ˈɑ	ˈɪə̯	0.076
w	ˈɔ	0.069
ˈi	-	0.068
ˈɛ	ˈeː	0.063
l	-	0.061
ˈɑ	ˈɛː	0.059
n	ˈiː	0.055
t	-	0.054
n	-	0.051
